cytokine,estimate,std.error,statistic,p.value,use_log,p.adj
vegf,-0.09929699474377547,0.053699094366041845,-1.8491372324999351,0.06860096731818294,TRUE,0.48020677122728056
il.8,1388.8036620474904,1126.3461769215903,1.2330167141359871,0.22163644026822724,FALSE,0.6537377324936214
kc.like,9.130273083374918,21.016360684566173,0.43443644788985447,0.6652890109538538,FALSE,0.7761705127794962
il.10,0.13135221513373624,0.12674821406835757,1.0363239916177096,0.3035677561091277,TRUE,0.6537377324936214
ccl2,0.0030087177820073063,0.04018389759431826,0.07487371713869587,0.9405257505822677,TRUE,0.9405257505822677
tnf.a,0.09445706093747333,0.12914949428391398,0.7313777065965507,0.46695552320972966,TRUE,0.6537377324936214
tgf.b,-0.052418924194797295,0.05990969889046708,-0.8749655759518142,0.38454292652563826,TRUE,0.6537377324936214
