cytokine,collection,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
ccl2,C5,GOCC_FILAMENTOUS_ACTIN,GOCC_FILAMENTOUS_ACTIN,26,-0.912304422497076,-1.96837687659562,0.00770606020773853,0.961394576447672,0.961394576447672,94,"tags=12%, list=1%, signal=11%",CD2AP/MYO18B/MYO1A
ccl2,C5,GOBP_GLYCOSYL_COMPOUND_BIOSYNTHETIC_PROCESS,GOBP_GLYCOSYL_COMPOUND_BIOSYNTHETIC_PROCESS,17,0.940856149570771,1.96827857792934,0.010482982520506,0.961394576447672,0.961394576447672,176,"tags=12%, list=1%, signal=12%",ADAL/PRTFDC1
ccl2,C5,GOCC_PRC1_COMPLEX,GOCC_PRC1_COMPLEX,14,-0.939748402475942,-1.96812351693817,0.00642293232399328,0.961394576447672,0.961394576447672,5,"tags=14%, list=0%, signal=14%",PHC2/PCGF1
ccl2,C5,GOCC_NUCLEAR_CYCLIN_DEPENDENT_PROTEIN_KINASE_HOLOENZYME_COMPLEX,GOCC_NUCLEAR_CYCLIN_DEPENDENT_PROTEIN_KINASE_HOLOENZYME_COMPLEX,11,-0.962743741168404,-1.96792869282414,0.00625999227306971,0.961394576447672,0.961394576447672,6,"tags=18%, list=0%, signal=18%",CDK19/CCNC
ccl2,C5,HP_ESOPHAGEAL_NEOPLASM,HP_ESOPHAGEAL_NEOPLASM,28,-0.905961167032308,-1.96388600289781,0.0119827992636718,0.961394576447672,0.961394576447672,3,"tags=7%, list=0%, signal=7%",DLEC1/CTHRC1
ccl2,C5,HP_ABNORMAL_RENAL_CORTICOMEDULLARY_DIFFERENTIATION,HP_ABNORMAL_RENAL_CORTICOMEDULLARY_DIFFERENTIATION,20,0.92142626131688,1.96123862564255,0.015829353769803,0.961394576447672,0.961394576447672,251,"tags=20%, list=2%, signal=20%",DZIP1L/TSC2/NIPBL/VPS33B
ccl2,C5,HP_ECTOPIA_PUPILLAE,HP_ECTOPIA_PUPILLAE,20,0.920240128976531,1.95871396506071,0.0163896705008871,0.961394576447672,0.961394576447672,5,"tags=5%, list=0%, signal=5%",MAB21L2
ccl2,C5,GOBP_REGULATION_OF_OSTEOBLAST_PROLIFERATION,GOBP_REGULATION_OF_OSTEOBLAST_PROLIFERATION,26,-0.907732518285108,-1.95851259192164,0.0100943739110337,0.961394576447672,0.961394576447672,3,"tags=8%, list=0%, signal=8%",SMAD3/CTHRC1
ccl2,C5,HP_HYPEREXTENSIBILITY_OF_THE_FINGER_JOINTS,HP_HYPEREXTENSIBILITY_OF_THE_FINGER_JOINTS,20,0.918105126897543,1.95416965292319,0.0183507824557843,0.961394576447672,0.961394576447672,124,"tags=10%, list=1%, signal=10%",HDAC4/PTDSS1
ccl2,C5,GOBP_GLYCOLYTIC_PROCESS_THROUGH_FRUCTOSE_6_PHOSPHATE,GOBP_GLYCOLYTIC_PROCESS_THROUGH_FRUCTOSE_6_PHOSPHATE,17,0.93318325252462,1.95222681603834,0.0162617758931644,0.961394576447672,0.961394576447672,184,"tags=18%, list=1%, signal=17%",SLC4A1/GALK1/PFKL
ccl2,C5,HP_SKIN_APPENDAGE_NEOPLASM,HP_SKIN_APPENDAGE_NEOPLASM,14,-0.931747301215483,-1.95136673872964,0.00777585462872896,0.961394576447672,0.961394576447672,181,"tags=29%, list=1%, signal=28%",CTNNB1/DICER1/KEAP1/WNT10A
ccl2,C5,GOCC_OUTER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX,GOCC_OUTER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX,16,0.940448042717961,1.95093449472402,0.0160396108407492,0.961394576447672,0.961394576447672,18,"tags=6%, list=0%, signal=6%",TOMM20
ccl2,C5,HP_DYSTROPHIC_TOENAIL,HP_DYSTROPHIC_TOENAIL,17,-0.921326258427515,-1.94867683955277,0.0257780177503977,0.961394576447672,0.961394576447672,25,"tags=18%, list=0%, signal=18%",SMARCE1/KLHL24/WNT10A
ccl2,C5,HP_ABNORMAL_ERYTHROCYTE_ADENOSINE_DEAMINASE_ACTIVITY,HP_ABNORMAL_ERYTHROCYTE_ADENOSINE_DEAMINASE_ACTIVITY,21,-0.916690541242531,-1.94850909035854,0.0336598888212445,0.961394576447672,0.961394576447672,108,"tags=14%, list=1%, signal=14%",RPL11/RPS17/RPL35A
ccl2,C5,GOBP_OSTEOBLAST_PROLIFERATION,GOBP_OSTEOBLAST_PROLIFERATION,30,-0.902221542836111,-1.94636421661325,0.006766818780955,0.961394576447672,0.961394576447672,3,"tags=7%, list=0%, signal=7%",SMAD3/CTHRC1
ccl2,C5,GOBP_REGULATION_OF_ENDOCYTIC_RECYCLING,GOBP_REGULATION_OF_ENDOCYTIC_RECYCLING,16,0.93816540681053,1.94619922714046,0.0185945309893526,0.961394576447672,0.961394576447672,21,"tags=6%, list=0%, signal=6%",EHD2
ccl2,C5,HP_DRY_HAIR,HP_DRY_HAIR,15,-0.914094952167174,-1.9459123800146,0.0482477689885668,0.961394576447672,0.961394576447672,22,"tags=13%, list=0%, signal=13%",ERCC6/WNT10A
ccl2,C5,HP_PALMAR_HYPERHIDROSIS,HP_PALMAR_HYPERHIDROSIS,11,-0.951738072319845,-1.94543218561806,0.0103216345819563,0.961394576447672,0.961394576447672,22,"tags=18%, list=0%, signal=18%",LAMB3/WNT10A
ccl2,C5,GOBP_NEUTROPHIL_HOMEOSTASIS,GOBP_NEUTROPHIL_HOMEOSTASIS,18,0.927830739979027,1.94019338295349,0.0207866901645502,0.961394576447672,0.961394576447672,66,"tags=11%, list=0%, signal=11%",ANXA1/MTHFD1
ccl2,C5,GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_BIOSYNTHETIC_PROCESS,GOBP_NUCLEOBASE_CONTAINING_SMALL_MOLECULE_BIOSYNTHETIC_PROCESS,15,0.948155460386724,1.94012131423002,0.0171516160110561,0.961394576447672,0.961394576447672,176,"tags=13%, list=1%, signal=13%",ADAL/PRTFDC1
ccl2,C5,GOBP_REGULATION_OF_SKELETAL_MUSCLE_ADAPTATION,GOBP_REGULATION_OF_SKELETAL_MUSCLE_ADAPTATION,11,-0.948143148558424,-1.93808386091223,0.0115270606688054,0.961394576447672,0.961394576447672,234,"tags=18%, list=2%, signal=18%",MYH7/TNNT1
ccl2,C5,GOBP_PROTEIN_IMPORT_INTO_MITOCHONDRIAL_MATRIX,GOBP_PROTEIN_IMPORT_INTO_MITOCHONDRIAL_MATRIX,11,0.976457871613127,1.9366611769949,6.0610481056213e-4,0.961394576447672,0.961394576447672,18,"tags=9%, list=0%, signal=9%",TOMM20
ccl2,C5,GOBP_INNER_DYNEIN_ARM_ASSEMBLY,GOBP_INNER_DYNEIN_ARM_ASSEMBLY,13,-0.9361967933238,-1.93631051261615,0.0272432953023286,0.961394576447672,0.961394576447672,17,"tags=15%, list=0%, signal=15%",DNAAF1/DNAH1
ccl2,C5,GOMF_LIGAND_ACTIVATED_TRANSCRIPTION_FACTOR_ACTIVITY,GOMF_LIGAND_ACTIVATED_TRANSCRIPTION_FACTOR_ACTIVITY,49,-0.88100927427338,-1.93587301819969,0.00272304973240522,0.961394576447672,0.961394576447672,37,"tags=8%, list=0%, signal=8%",RARA/RORA/NR1D1/NR5A2
ccl2,C5,HP_ORTHOKERATOSIS,HP_ORTHOKERATOSIS,15,-0.908688102812095,-1.93440235573104,0.0550957503219652,0.961394576447672,0.961394576447672,22,"tags=13%, list=0%, signal=13%",CERS3/WNT10A
ccl2,C5,GOCC_ALPHA_KETOACID_DEHYDROGENASE_COMPLEX,GOCC_ALPHA_KETOACID_DEHYDROGENASE_COMPLEX,13,0.960368655501657,1.93405371872747,0.0116126135013421,0.961394576447672,0.961394576447672,28,"tags=8%, list=0%, signal=8%",DLAT
ccl2,C5,GOBP_POSITIVE_REGULATION_OF_MACROPHAGE_CHEMOTAXIS,GOBP_POSITIVE_REGULATION_OF_MACROPHAGE_CHEMOTAXIS,17,-0.914333422157782,-1.93388644586002,0.0295735095455159,0.961394576447672,0.961394576447672,325,"tags=12%, list=2%, signal=11%",C5AR1/MSTN
ccl2,C5,HP_HEAT_INTOLERANCE,HP_HEAT_INTOLERANCE,17,0.924292132131617,1.93362652117783,0.0202210747889613,0.961394576447672,0.961394576447672,14,"tags=6%, list=0%, signal=6%",ORAI1
ccl2,C5,GOBP_PROTEIN_TRANSMEMBRANE_IMPORT_INTO_INTRACELLULAR_ORGANELLE,GOBP_PROTEIN_TRANSMEMBRANE_IMPORT_INTO_INTRACELLULAR_ORGANELLE,25,0.92815614135418,1.93231078004683,0.00423561347687201,0.961394576447672,0.961394576447672,173,"tags=8%, list=1%, signal=8%",TOMM20/PEX5L
ccl2,C5,HP_POLYCYTHEMIA,HP_POLYCYTHEMIA,20,0.905766695554639,1.92790753174709,0.0261952622004288,0.961394576447672,0.961394576447672,186,"tags=10%, list=1%, signal=10%",SLC4A1/EDNRB
ccl2,C5,HP_ABNORMAL_CSF_CARBOXYLIC_ACID_CONCENTRATION,HP_ABNORMAL_CSF_CARBOXYLIC_ACID_CONCENTRATION,19,0.923387236899035,1.92635899468251,0.02902608212731,0.961394576447672,0.961394576447672,28,"tags=5%, list=0%, signal=5%",DLAT
ccl2,C5,GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION,GOBP_REGULATION_OF_VIRAL_GENOME_REPLICATION,60,-0.857843979392049,-1.92632450291873,0.00368939116643155,0.961394576447672,0.961394576447672,73,"tags=7%, list=1%, signal=7%",SRPK1/VAPB/FKBP6/NR5A2
ccl2,C5,GOBP_ADENOSINE_METABOLIC_PROCESS,GOBP_ADENOSINE_METABOLIC_PROCESS,10,0.974813074186384,1.92629076046228,0.00399689639920184,0.961394576447672,0.961394576447672,16,"tags=10%, list=0%, signal=10%",ADAL
ccl2,C5,HP_PURE_RED_CELL_APLASIA,HP_PURE_RED_CELL_APLASIA,24,-0.900926123021841,-1.92520760885105,0.0300157174888477,0.961394576447672,0.961394576447672,108,"tags=12%, list=1%, signal=12%",RPL11/RPS17/RPL35A
ccl2,C5,HP_ABNORMALITY_OF_SOMATOSENSORY_EVOKED_POTENTIALS,HP_ABNORMALITY_OF_SOMATOSENSORY_EVOKED_POTENTIALS,17,0.920010023639786,1.92466831601896,0.0227663457336508,0.961394576447672,0.961394576447672,4,"tags=6%, list=0%, signal=6%",YEATS2
ccl2,C5,GOMF_PROTEIN_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,GOMF_PROTEIN_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,13,0.954640514670141,1.92251801104572,0.0184110618657152,0.961394576447672,0.961394576447672,18,"tags=8%, list=0%, signal=8%",TOMM20
ccl2,C5,GOBP_RESPONSE_TO_STIMULUS_INVOLVED_IN_REGULATION_OF_MUSCLE_ADAPTATION,GOBP_RESPONSE_TO_STIMULUS_INVOLVED_IN_REGULATION_OF_MUSCLE_ADAPTATION,12,0.960959536578538,1.92081293623771,0.0086770871840601,0.961394576447672,0.961394576447672,122,"tags=17%, list=1%, signal=17%",HDAC4/SCN5A
ccl2,C5,GOBP_NEGATIVE_REGULATION_OF_T_HELPER_CELL_DIFFERENTIATION,GOBP_NEGATIVE_REGULATION_OF_T_HELPER_CELL_DIFFERENTIATION,16,0.925236374557193,1.91937829301046,0.0288142625878315,0.961394576447672,0.961394576447672,27,"tags=6%, list=0%, signal=6%",ANXA1
ccl2,C5,HP_QUADRICEPS_MUSCLE_WEAKNESS,HP_QUADRICEPS_MUSCLE_WEAKNESS,22,-0.894714939502724,-1.91853778610986,0.016143695089602,0.961394576447672,0.961394576447672,432,"tags=14%, list=3%, signal=13%",COL6A3/POLG/TNNT1
ccl2,C5,GOMF_MINUS_END_DIRECTED_MICROTUBULE_MOTOR_ACTIVITY,GOMF_MINUS_END_DIRECTED_MICROTUBULE_MOTOR_ACTIVITY,16,-0.911010512561088,-1.91832950046527,0.0338677344394718,0.961394576447672,0.961394576447672,17,"tags=12%, list=0%, signal=12%",KIF25/DNAH1
ccl2,C5,HP_REDUCED_BRAIN_N_ACETYL_ASPARTATE_LEVEL_BY_MRS,HP_REDUCED_BRAIN_N_ACETYL_ASPARTATE_LEVEL_BY_MRS,14,0.949821496913873,1.91722852102633,0.00520239680490585,0.961394576447672,0.961394576447672,20,"tags=7%, list=0%, signal=7%",CNP
ccl2,C5,GOBP_INNER_EAR_RECEPTOR_CELL_STEREOCILIUM_ORGANIZATION,GOBP_INNER_EAR_RECEPTOR_CELL_STEREOCILIUM_ORGANIZATION,29,-0.896120372079157,-1.91687041039029,0.0249345910737274,0.961394576447672,0.961394576447672,3,"tags=7%, list=0%, signal=7%",ANKRD24/CTHRC1
ccl2,C5,GOBP_MITOTIC_G2_DNA_DAMAGE_CHECKPOINT_SIGNALING,GOBP_MITOTIC_G2_DNA_DAMAGE_CHECKPOINT_SIGNALING,33,0.912637211543706,1.9166588702302,0.00294620939861315,0.961394576447672,0.961394576447672,39,"tags=6%, list=0%, signal=6%",TAOK3/FZR1
ccl2,C5,GOBP_ATTACHMENT_OF_MITOTIC_SPINDLE_MICROTUBULES_TO_KINETOCHORE,GOBP_ATTACHMENT_OF_MITOTIC_SPINDLE_MICROTUBULES_TO_KINETOCHORE,17,0.915972658689804,1.91622211630399,0.0250288119412697,0.961394576447672,0.961394576447672,12,"tags=6%, list=0%, signal=6%",SKA1
ccl2,C5,HP_ABNORMAL_GLOBUS_PALLIDUS_MORPHOLOGY,HP_ABNORMAL_GLOBUS_PALLIDUS_MORPHOLOGY,21,0.904717499762347,1.91596630038045,0.0595288696722486,0.961394576447672,0.961394576447672,28,"tags=5%, list=0%, signal=5%",DLAT
ccl2,C5,GOMF_ALKALI_METAL_ION_BINDING,GOMF_ALKALI_METAL_ION_BINDING,14,0.949166079548817,1.91590555153202,0.00578447415024527,0.961394576447672,0.961394576447672,13,"tags=7%, list=0%, signal=7%",HDAC4
ccl2,C5,GOBP_TUBULIN_DEACETYLATION,GOBP_TUBULIN_DEACETYLATION,21,0.90467981067394,1.91588648427952,0.0595288696722486,0.961394576447672,0.961394576447672,214,"tags=14%, list=2%, signal=14%",YEATS2/SGF29/PRKAA1
ccl2,C5,GOBP_PROTEIN_K11_LINKED_UBIQUITINATION,GOBP_PROTEIN_K11_LINKED_UBIQUITINATION,23,0.907731163643204,1.91569657482984,0.0241437131335907,0.961394576447672,0.961394576447672,39,"tags=9%, list=0%, signal=9%",UBE2E3/FZR1
ccl2,C5,GOCC_INTERCELLULAR_BRIDGE,GOCC_INTERCELLULAR_BRIDGE,74,0.878320716054635,1.91508251364605,6.2791378761521e-4,0.961394576447672,0.961394576447672,98,"tags=5%, list=1%, signal=5%",SKA1/EHD2/NGRN/TEX14
ccl2,C5,HP_NEOPLASM_OF_HEAD_AND_NECK,HP_NEOPLASM_OF_HEAD_AND_NECK,33,-0.890373047819783,-1.91493449664857,0.0117063505343692,0.961394576447672,0.961394576447672,3,"tags=9%, list=0%, signal=9%",CTNNB1/DLEC1/CTHRC1
ccl2,C5,GOBP_SKELETAL_MUSCLE_TISSUE_GROWTH,GOBP_SKELETAL_MUSCLE_TISSUE_GROWTH,11,-0.936410345744387,-1.91410103109194,0.0174139260070526,0.961394576447672,0.961394576447672,12,"tags=18%, list=0%, signal=18%",IGF2/MSTN
ccl2,C5,GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE,GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE,23,0.906932097123569,1.91401020660097,0.0260975186847556,0.961394576447672,0.961394576447672,18,"tags=4%, list=0%, signal=4%",TOMM20
ccl2,C5,GOBP_CYCLIC_NUCLEOTIDE_CATABOLIC_PROCESS,GOBP_CYCLIC_NUCLEOTIDE_CATABOLIC_PROCESS,14,0.947892852778299,1.9133355247574,0.00592999361744241,0.961394576447672,0.961394576447672,20,"tags=7%, list=0%, signal=7%",CNP
ccl2,C5,GOMF_HISTONE_READER_ACTIVITY,GOMF_HISTONE_READER_ACTIVITY,17,0.914524239338525,1.91319201145504,0.0253116203835287,0.961394576447672,0.961394576447672,4,"tags=6%, list=0%, signal=6%",YEATS2
ccl2,C5,HP_RECURRENT_JOINT_DISLOCATION,HP_RECURRENT_JOINT_DISLOCATION,12,0.95687006091414,1.91263869220391,0.0111152275529346,0.961394576447672,0.961394576447672,5,"tags=8%, list=0%, signal=8%",MAB21L2
ccl2,C5,GOBP_EMBRYONIC_BODY_MORPHOGENESIS,GOBP_EMBRYONIC_BODY_MORPHOGENESIS,11,0.964295323248957,1.91253854363306,0.00368168337348961,0.961394576447672,0.961394576447672,5,"tags=9%, list=0%, signal=9%",MAB21L2
ccl2,C5,GOBP_MACROMOLECULE_DEACYLATION,GOBP_MACROMOLECULE_DEACYLATION,50,0.887716256311925,1.91067915352384,0.0040965360739766,0.961394576447672,0.961394576447672,214,"tags=10%, list=2%, signal=10%",YEATS2/HDAC4/SGF29/HDAC7/PRKAA1
ccl2,C5,GOBP_PROTEIN_INSERTION_INTO_MITOCHONDRIAL_OUTER_MEMBRANE,GOBP_PROTEIN_INSERTION_INTO_MITOCHONDRIAL_OUTER_MEMBRANE,11,0.963271411571969,1.91050776478315,0.00404619510641344,0.961394576447672,0.961394576447672,18,"tags=9%, list=0%, signal=9%",TOMM20
ccl2,C5,GOBP_NEGATIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION,GOBP_NEGATIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION,20,0.897550768474891,1.91042008406871,0.0351935473677979,0.961394576447672,0.961394576447672,27,"tags=5%, list=0%, signal=5%",ANXA1
ccl2,C5,GOCC_90S_PRERIBOSOME,GOCC_90S_PRERIBOSOME,20,-0.905909516855278,-1.91041092216518,0.0212583821652264,0.961394576447672,0.961394576447672,78,"tags=15%, list=1%, signal=15%",UTP4/WDR12/NOL6
ccl2,C5,GOBP_PEPTIDE_CROSS_LINKING,GOBP_PEPTIDE_CROSS_LINKING,17,0.912906532247678,1.9098077553031,0.0264428544707543,0.961394576447672,0.961394576447672,266,"tags=18%, list=2%, signal=17%",ANXA1/TGM3/PI3
ccl2,C5,HP_APNEIC_EPISODES_PRECIPITATED_BY_ILLNESS_FATIGUE_STRESS,HP_APNEIC_EPISODES_PRECIPITATED_BY_ILLNESS_FATIGUE_STRESS,10,-0.94875627830678,-1.90927769108659,0.025135238369971,0.961394576447672,0.961394576447672,7,"tags=20%, list=0%, signal=20%",SNAP25/CHRNE
ccl2,C5,GOCC_ATAC_COMPLEX,GOCC_ATAC_COMPLEX,12,0.95466399726858,1.90822910425846,0.0124060111954462,0.961394576447672,0.961394576447672,43,"tags=17%, list=0%, signal=17%",YEATS2/SGF29
ccl2,C5,GOCC_MEDIATOR_COMPLEX,GOCC_MEDIATOR_COMPLEX,31,-0.878757442761972,-1.90766591024578,0.0340347297335122,0.961394576447672,0.961394576447672,6,"tags=6%, list=0%, signal=6%",THRAP3/CCNC
ccl2,C5,GOBP_POSITIVE_REGULATION_OF_JUN_KINASE_ACTIVITY,GOBP_POSITIVE_REGULATION_OF_JUN_KINASE_ACTIVITY,25,0.916296543232267,1.90762050620502,0.00865376761386574,0.961394576447672,0.961394576447672,9,"tags=4%, list=0%, signal=4%",TAOK3
ccl2,C5,HP_ASYMMETRIC_SEPTAL_HYPERTROPHY,HP_ASYMMETRIC_SEPTAL_HYPERTROPHY,12,-0.925764675067225,-1.90748189547667,0.0389096362202983,0.961394576447672,0.961394576447672,243,"tags=25%, list=2%, signal=25%",FHOD3/MYH7/KLHL24
ccl2,C5,GOMF_SEMAPHORIN_RECEPTOR_BINDING,GOMF_SEMAPHORIN_RECEPTOR_BINDING,23,0.903243803178769,1.90622634684159,0.0322573123435199,0.961394576447672,0.961394576447672,2,"tags=4%, list=0%, signal=4%",SEMA3B
ccl2,C5,GOBP_PROTEIN_DEACETYLATION,GOBP_PROTEIN_DEACETYLATION,38,0.904673174910208,1.90606636675718,0.00353864471808741,0.961394576447672,0.961394576447672,214,"tags=13%, list=2%, signal=13%",YEATS2/HDAC4/SGF29/HDAC7/PRKAA1
ccl2,C5,HP_NEMALINE_BODIES,HP_NEMALINE_BODIES,17,-0.900970977930025,-1.90562383492468,0.0333752385986547,0.961394576447672,0.961394576447672,94,"tags=18%, list=1%, signal=18%",RYR3/MYO18B/TNNT1
ccl2,C5,HP_ERYTHROID_HYPOPLASIA,HP_ERYTHROID_HYPOPLASIA,25,-0.89216439315798,-1.90561800037758,0.0194522160865572,0.961394576447672,0.961394576447672,108,"tags=12%, list=1%, signal=12%",RPL11/RPS17/RPL35A
ccl2,C5,HP_BILIARY_TRACT_NEOPLASM,HP_BILIARY_TRACT_NEOPLASM,13,0.946107476249676,1.90533361566317,0.0294285201236186,0.961394576447672,0.961394576447672,25,"tags=8%, list=0%, signal=8%",DZIP1L
ccl2,C5,GOBP_REGULATION_OF_RESPONSE_TO_NUTRIENT_LEVELS,GOBP_REGULATION_OF_RESPONSE_TO_NUTRIENT_LEVELS,23,0.902676819792388,1.90502977215651,0.0339402611892468,0.961394576447672,0.961394576447672,329,"tags=13%, list=2%, signal=13%",GFRAL/GHR/PPARA
ccl2,C5,GOBP_REGULATION_OF_VESICLE_FUSION,GOBP_REGULATION_OF_VESICLE_FUSION,20,0.894949508051042,1.90488334973327,0.0368828024315919,0.961394576447672,0.961394576447672,65,"tags=10%, list=0%, signal=10%",ANXA1/ANKRD27
