"Gene","Pathway"
"CD34","GOBP_EXTRACELLULAR_EXOSOME_ASSEMBLY"
"PDCD6IP","GOBP_EXTRACELLULAR_EXOSOME_ASSEMBLY"
"SDC1","GOBP_EXTRACELLULAR_EXOSOME_ASSEMBLY"
"SDC4","GOBP_EXTRACELLULAR_EXOSOME_ASSEMBLY"
"SDCBP","GOBP_EXTRACELLULAR_EXOSOME_ASSEMBLY"
"STAM","GOBP_EXTRACELLULAR_EXOSOME_ASSEMBLY"
"TSG101","GOBP_EXTRACELLULAR_EXOSOME_ASSEMBLY"
