id,group
X1771,low
Abrams,high
CLL1390,low
CMT12,high
HMPOS,low
Nike,high
Moresco,low
OSA8,low
Parks,high
STSA.1,low
Yamane,low
D.17,high
CML.6M,high
OS2.4,low
