Cytokine,ICC,p-value
VEGF,0.6140710366376576,<0.001
IL-8,0.20902688369615974,<0.001
KC-like,0.09590896067061465,0.055
IL-10,0.1147807534989541,0.028*
CCL2,0.7540026220329907,<0.001
TNF-α,0.18232829958924346,0.002**
TGF-β,0.6281570241455331,<0.001
