ensembl_gene_id,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000006096,NDUFAF7,440.9555266,0.532673158,0.214493809,2.483396422,0.013013617,0.514316961
ENSCAFG00000001779,ASB15,64.1579359,-2.321070926,0.935573201,-2.48090788,0.013104824,0.516755071
ENSCAFG00000016039,PSEN2,417.8853033,-0.864946131,0.348968089,-2.478582307,0.013190567,0.518967313
ENSCAFG00000009703,FAM160B2,822.6949418,-0.701747433,0.283760048,-2.473031132,0.013397247,0.5247405
ENSCAFG00000048487,NA,22.56477978,-2.678083598,1.082752415,-2.473403487,0.013383295,0.5247405
ENSCAFG00000013736,SPATA5L1,497.7799181,0.558590007,0.226071482,2.470855687,0.01347902,0.526764919
ENSCAFG00000001797,CRY1,782.8529504,-0.454866708,0.184310488,-2.467937189,0.013589416,0.528838655
ENSCAFG00000003952,PRKAR2B,1197.183506,-1.398633193,0.568194032,-2.461541508,0.013834139,0.528838655
ENSCAFG00000006556,APAF1,418.8597118,-0.77215514,0.313168414,-2.465622668,0.013677533,0.528838655
ENSCAFG00000011415,MCUB,677.4429841,-1.160917907,0.471403199,-2.462685679,0.013790075,0.528838655
ENSCAFG00000012236,MLPH,2.289290006,-4.573466043,1.856235998,-2.463838676,0.013745796,0.528838655
ENSCAFG00000014554,ACOX3,472.8485694,0.66713024,0.270533832,2.465977122,0.013664006,0.528838655
ENSCAFG00000016304,DDX41,1711.980024,0.665697398,0.270008083,2.465472106,0.013683283,0.528838655
ENSCAFG00000024473,MEFV,2.474159735,3.134265733,1.273072038,2.461970446,0.013817605,0.528838655
ENSCAFG00000028707,ITM2C,1841.900287,-1.283266859,0.520819923,-2.463935812,0.013742072,0.528838655
ENSCAFG00000046699,MACROD2,115.6243233,-1.781899576,0.722515508,-2.466244054,0.013653827,0.528838655
ENSCAFG00000022463,NA,68.17102904,0.911339617,0.370437305,2.460172356,0.013887031,0.529703993
ENSCAFG00000010012,NA,56.01325335,0.538668859,0.219155151,2.457933826,0.013973892,0.531858481
ENSCAFG00000031977,C1QL4,152.554565,2.606815631,1.061537666,2.455697724,0.014061138,0.534018216
ENSCAFG00000003541,AP2A1,4485.86918,0.541502653,0.220754627,2.452961741,0.014168541,0.53577281
ENSCAFG00000004534,EXOC3L2,6.485611057,-3.552974522,1.448092298,-2.453555293,0.014145179,0.53577281
ENSCAFG00000007553,MRPL35,687.0373292,0.740845006,0.30255986,2.448589863,0.014341665,0.536525365
ENSCAFG00000016588,BRME1,9.727462179,-2.64437171,1.079724499,-2.449117079,0.014320689,0.536525365
ENSCAFG00000023153,CCDC152,150.98702,3.736908763,1.525964764,2.448882733,0.014330009,0.536525365
