gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000010370,MS4A7,247.6623952,0.336934713,1.264542894,0.002497664,0.553064854
ENSCAFG00000021628,NA,11.64639446,0.104194774,0.439066453,0.002470726,0.553064854
ENSCAFG00000011216,HADH,1759.735808,-0.051591919,0.172736125,0.002545282,0.555320558
ENSCAFG00000030472,NRXN3,24.97180961,0.295747992,1.113043597,0.00259798,0.558603409
ENSCAFG00000003405,KLF11,348.7617619,0.049737457,0.158733952,0.002804319,0.559546623
ENSCAFG00000005773,CACNB4,131.6414683,0.230084782,0.913827917,0.002915434,0.559546623
ENSCAFG00000009786,MAB21L3,31.01964593,-0.224939963,0.898423753,0.002946569,0.559546623
ENSCAFG00000010718,NA,237.0399898,0.147746864,0.627416855,0.003010403,0.559546623
ENSCAFG00000012473,SEMA6C,440.3209798,0.104004923,0.453819632,0.002782105,0.559546623
ENSCAFG00000015410,RCSD1,50.7276183,-0.243385247,0.936605607,0.002695872,0.559546623
ENSCAFG00000015538,PCDH15,18.39060928,0.272921944,1.086431644,0.002971896,0.559546623
ENSCAFG00000017147,ANGEL1,147.1015874,0.146522767,0.603307104,0.002687487,0.559546623
ENSCAFG00000017523,PAQR5,64.18556384,-0.22703255,0.905787518,0.002944291,0.559546623
ENSCAFG00000019537,C8G,5.84341091,0.091214436,0.41368896,0.003017237,0.559546623
ENSCAFG00000022269,NA,45.9241997,0.059129961,0.264087048,0.002888471,0.559546623
ENSCAFG00000003910,RASIP1,252.3952684,-0.114815113,0.517491243,0.003263735,0.563032321
ENSCAFG00000013175,GAL3ST2,19.43746837,-0.214814892,0.891403543,0.003258423,0.563032321
ENSCAFG00000014220,C1R,757.9380891,0.198746288,0.820441299,0.003134919,0.563032321
ENSCAFG00000018418,RHBDL3,86.9122192,0.128705982,0.570603564,0.003262078,0.563032321
ENSCAFG00000019173,ZFR2,132.9711317,0.219107271,0.890817083,0.003084204,0.563032321
ENSCAFG00000024647,SERPINB5,283.8393151,-0.154513698,0.665117145,0.00322852,0.563032321
ENSCAFG00000000995,SEPTIN3,38.18456636,0.24250031,1.04837873,0.003610632,0.565503436
ENSCAFG00000001018,CCDC134,7.436749589,0.072562481,0.346912278,0.003376254,0.565503436
ENSCAFG00000003665,SLC17A7,17.6303831,0.203837045,0.884441603,0.003660753,0.565503436
ENSCAFG00000004263,LRRC41,2323.07891,-0.04597383,0.142634211,0.00345709,0.565503436
ENSCAFG00000005331,CAMK1,334.9216675,0.074333614,0.362434823,0.003608283,0.565503436
ENSCAFG00000016422,TNFRSF1B,295.2535307,0.151869885,0.679779605,0.003658569,0.565503436
ENSCAFG00000016737,PRCC,1491.470566,-0.043555318,0.14127348,0.003697347,0.565503436
ENSCAFG00000025850,NA,6.193297454,0.071617404,0.346517677,0.003496734,0.565503436
ENSCAFG00000044133,NA,24.4630655,-0.235489237,1.021212391,0.003657462,0.565503436
ENSCAFG00000046192,NA,62.07487135,-0.061273078,0.297860591,0.003524021,0.565503436
ENSCAFG00000049135,NA,53.73342004,-0.066144342,0.135710241,0.003643053,0.565503436
ENSCAFG00000000267,TNFAIP3,447.9569634,0.08285367,0.408061428,0.003852608,0.56702989
ENSCAFG00000014346,C1S,287.1944446,0.162323669,0.732278327,0.003860206,0.56702989
ENSCAFG00000030693,KIAA0040,170.9572551,-0.074566499,0.367838892,0.003749407,0.56702989
ENSCAFG00000043715,SNX27,1365.371235,0.040953559,0.177067899,0.003829758,0.56702989
ENSCAFG00000004105,KBTBD12,66.35464165,-0.13258751,0.619494289,0.003976782,0.568072425
ENSCAFG00000006952,DHX37,3439.018889,0.066377374,0.132355924,0.004034979,0.568072425
ENSCAFG00000013863,CEMIP,11264.28954,0.200062794,0.90034941,0.00402967,0.568072425
ENSCAFG00000015250,SPNS3,588.9906929,-0.140617213,0.655058302,0.004044088,0.568072425
ENSCAFG00000015683,PIM2,26.26436574,-0.11556,0.553570003,0.004058754,0.568072425
ENSCAFG00000000646,NA,118.2622349,-0.05176619,0.129360025,0.004216421,0.575220092
ENSCAFG00000002936,HOXA1,87.27526175,0.065490835,0.340786689,0.004324559,0.575220092
ENSCAFG00000011850,KLHL24,170.2937761,-0.047859162,0.247065552,0.004345671,0.575220092
ENSCAFG00000013889,RTP4,48.12694137,0.171191911,0.800261848,0.00437697,0.575220092
ENSCAFG00000015174,SLC66A1,162.6036971,0.037439101,0.149455841,0.004332062,0.575220092
ENSCAFG00000017030,RANGRF,330.8303883,0.049988476,0.260524382,0.004381226,0.575220092
ENSCAFG00000025857,NA,42.35679498,0.058999193,0.306618388,0.004261428,0.575220092
ENSCAFG00000014854,CNTNAP1,57.9081521,0.156956173,0.742636451,0.00443602,0.577305202
ENSCAFG00000007470,IL20RB,14.24075215,-0.124786111,0.610202065,0.004518925,0.577818801
ENSCAFG00000014594,ABHD12B,16.65928874,0.142245233,0.684925387,0.004533094,0.577818801
ENSCAFG00000016515,PEAR1,2166.586394,-0.166750997,0.791927034,0.004556808,0.577818801
ENSCAFG00000007695,SLMAP,1520.311118,-0.044061923,0.126113558,0.004624761,0.581465754
ENSCAFG00000001981,SLC29A1,4747.155134,-0.062398162,0.336321571,0.004790415,0.587481976
ENSCAFG00000009480,PKIG,1210.576748,-0.088950195,0.462720551,0.004791407,0.587481976
ENSCAFG00000011362,NA,6321.189846,-0.035661531,0.158041927,0.004719216,0.587481976
ENSCAFG00000031426,PIH1D2,30.35927006,-0.038575087,0.126808676,0.004887827,0.594391868
ENSCAFG00000000075,TNFRSF11A,126.5960874,0.07361062,0.415882447,0.005893808,0.597226726
ENSCAFG00000000126,FECH,1522.475895,-0.030389164,0.144646055,0.006161683,0.597226726
ENSCAFG00000002614,NA,24.13346383,0.031044735,0.144486346,0.005929244,0.597226726
ENSCAFG00000003713,ZYG11B,663.5984085,-0.036929899,0.118657446,0.005793746,0.597226726
ENSCAFG00000004049,HDAC2,4932.777838,-0.048127681,0.121797471,0.005299642,0.597226726
ENSCAFG00000005384,CCNB1IP1,15.14058869,-0.045535582,0.26674876,0.006049667,0.597226726
ENSCAFG00000006930,TCF15,107.6833721,0.04246647,0.245266963,0.005907701,0.597226726
ENSCAFG00000008028,SLC9A9,113.9429124,0.04974231,0.29298861,0.006129043,0.597226726
ENSCAFG00000008479,NA,106.922298,-0.033312978,0.169934339,0.005663332,0.597226726
ENSCAFG00000008653,GRIA2,238.8557566,0.176176594,0.931619457,0.005787258,0.597226726
ENSCAFG00000008747,DGUOK,305.5951896,-0.040335592,0.235993858,0.006193919,0.597226726
ENSCAFG00000008860,PAQR3,116.372216,0.034393722,0.129690809,0.00530301,0.597226726
ENSCAFG00000009989,BRSK2,66.81049726,0.096808826,0.537664246,0.006239562,0.597226726
ENSCAFG00000011155,STARD9,525.1889027,0.038656651,0.224586797,0.006195339,0.597226726
ENSCAFG00000012729,CGN,65.92742823,0.134642683,0.681700425,0.005220236,0.597226726
ENSCAFG00000013159,FZD9,220.6659032,0.100118147,0.528194375,0.005309242,0.597226726
ENSCAFG00000013286,KLHL18,596.8289109,0.060097553,0.117378383,0.005887411,0.597226726
ENSCAFG00000016901,ALDH6A1,672.8426154,-0.039345292,0.123545112,0.005097325,0.597226726
ENSCAFG00000017007,ASPHD1,14.9007791,-0.106452288,0.583960247,0.006219424,0.597226726
ENSCAFG00000017326,CNN1,902.9366376,-0.145221491,0.753739792,0.005723726,0.597226726
ENSCAFG00000017422,IQCH,5.10973032,-0.081834565,0.435449548,0.005001235,0.597226726
ENSCAFG00000018175,CAPN6,19.19256212,0.136350045,0.686710305,0.00515527,0.597226726
ENSCAFG00000018704,SLC1A3,290.4026193,-0.175189097,0.859574487,0.004996341,0.597226726
ENSCAFG00000019359,P2RX1,189.5090621,-0.104985454,0.551776897,0.005352863,0.597226726
ENSCAFG00000023780,MUC5B,10.96945856,-0.117871118,0.636537757,0.006129277,0.597226726
ENSCAFG00000025801,NA,34.19186835,0.037842357,0.205144851,0.005459131,0.597226726
ENSCAFG00000028542,NA,21.93102229,-0.157786978,0.816172381,0.005701092,0.597226726
ENSCAFG00000029755,PYURF,1500.857967,-0.044707208,0.119773767,0.005544768,0.597226726
ENSCAFG00000029882,MISP,564.7963863,-0.154963696,0.825659508,0.006120877,0.597226726
ENSCAFG00000037206,NA,7.32158165,-0.137189515,0.709919314,0.005612248,0.597226726
ENSCAFG00000042300,NA,350.4921022,-0.033209487,0.129136362,0.005556336,0.597226726
ENSCAFG00000046219,NA,19.86722193,0.053920821,0.303795375,0.005390871,0.597226726
ENSCAFG00000046588,C1orf54,36.44185361,-0.07577817,0.429718643,0.006039502,0.597226726
ENSCAFG00000003029,CXCL8,4100.70351,0.137372959,0.743064495,0.006367933,0.59794088
ENSCAFG00000008369,PBK,1385.021868,-0.035084512,0.11563818,0.006318373,0.59794088
ENSCAFG00000012521,TLK1,2011.050282,-0.033467612,0.116922913,0.006331403,0.59794088
ENSCAFG00000004115,KIAA1549,320.5035459,0.029162933,0.131757288,0.006607613,0.609639713
ENSCAFG00000004221,MOB3C,140.4583267,-0.03144538,0.118194515,0.006544097,0.609639713
ENSCAFG00000008697,RHEBL1,75.40646477,0.036078372,0.214329162,0.006719221,0.609639713
ENSCAFG00000025133,FADS6,86.60184781,0.112279874,0.627821693,0.006736375,0.609639713
ENSCAFG00000029881,SAMD14,45.74110093,0.063777462,0.380576658,0.006739075,0.609639713
ENSCAFG00000045857,NA,267.9800653,-0.043578414,0.114274733,0.00672081,0.609639713
ENSCAFG00000002487,GABBR2,348.0380169,0.094806257,0.542920868,0.006859546,0.614175888
ENSCAFG00000016022,KLB,12.53008748,0.043226179,0.264666148,0.006872014,0.614175888
ENSCAFG00000012173,UGT8,52.84836088,0.068862578,0.410939686,0.006931953,0.61582312
ENSCAFG00000013464,HOXD3,80.21227186,-0.063634653,0.383950448,0.006991626,0.61742718
ENSCAFG00000004473,ESD,826.7416458,-0.046326177,0.113246838,0.007180089,0.619324388
ENSCAFG00000010602,ELF3,21.36105361,-0.062696372,0.381306957,0.007145858,0.619324388
ENSCAFG00000024271,NA,237.6066088,-0.027961098,0.125041735,0.007176949,0.619324388
ENSCAFG00000028220,NA,21.094021,-0.03869724,0.238337235,0.007114923,0.619324388
ENSCAFG00000000131,GLS2,80.3068225,0.027942752,0.122249125,0.007272322,0.619417837
ENSCAFG00000024839,KIF21B,694.975178,-0.067154954,0.408083364,0.007306425,0.619417837
