gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000014717,PIANP,41.04541417,1.60136387,1.866778359,0.000459388,0.109285998
ENSCAFG00000023919,SLC8A3,218.4440013,1.935138124,2.656697033,0.000475226,0.109285998
ENSCAFG00000026374,NA,8.747931626,-0.479983389,0.669289429,0.000478716,0.109285998
ENSCAFG00000031968,C5H11orf52,15.43070414,1.379803232,1.681967288,0.000511468,0.109285998
ENSCAFG00000045825,ZNF274,548.6611012,-0.243061211,0.250596268,0.000493022,0.109285998
ENSCAFG00000011317,SELPLG,747.1802379,-1.848825703,2.604244946,0.000518965,0.109326268
ENSCAFG00000008917,LBP,213.0592265,1.813487009,2.443285461,0.000537251,0.111606457
ENSCAFG00000043116,NA,49.17969823,0.670188405,0.938775167,0.000568479,0.116475913
ENSCAFG00000002782,MEI4,11.41782629,1.738138977,2.389714537,0.000577743,0.116510363
ENSCAFG00000018290,XRCC3,209.5427788,-0.358653956,0.530215717,0.000592007,0.116510363
ENSCAFG00000018339,ADRB2,134.0511701,1.128713614,1.474731685,0.000592016,0.116510363
ENSCAFG00000001840,B4GALT1,1625.878333,0.224757736,0.226159512,0.000635035,0.120230614
ENSCAFG00000014413,SPOCK2,55.01059667,-1.370891894,1.809720441,0.000627792,0.120230614
ENSCAFG00000016192,SDK1,290.5036152,1.297199688,1.705733593,0.00062167,0.120230614
ENSCAFG00000004909,ZNF513,436.2916486,-0.220584898,0.201492554,0.000650584,0.121634834
ENSCAFG00000007268,DNMT3B,1125.808381,-1.301245225,1.785768956,0.000692095,0.123288936
ENSCAFG00000009404,TNNC1,114.1905576,1.0669617,1.465032149,0.000674189,0.123288936
ENSCAFG00000010991,ACACB,180.3010246,-0.81598398,1.17175177,0.000692403,0.123288936
ENSCAFG00000028691,BTBD18,5.140416476,-0.722724142,1.053172879,0.000682684,0.123288936
ENSCAFG00000010910,FEZ1,61.2314501,1.541242818,2.261582005,0.000706847,0.124380185
ENSCAFG00000003366,TGFA,44.69941694,1.392749353,1.994845476,0.000743489,0.129306641
ENSCAFG00000006550,NEURL3,11.91903295,0.946359034,1.399048404,0.000809842,0.137645603
ENSCAFG00000011665,SIPA1L2,183.948938,1.412810006,2.153033434,0.00080538,0.137645603
