Cytokine,ICC,p-value
VEGF,0.6140710366620137,<0.001
IL-8,0.2090271147709219,<0.001
KC-like,0.09590896067382171,0.055
IL-10,0.11478077377288731,0.028
CCL2,0.7540026221520417,<0.001
TNF-α,0.1823282995952649,0.002
TGF-β,0.01961585991151582,0.604
