id,group
X17CM98,high
Abrams,high
Bliley,low
CLL1390,low
CML.10C2,low
CTAC,low
HMPOS,low
MacKinley,low
Moresco,low
STSA.1,low
Yamane,low
D.17,high
OS2.4,low
