id,group
Abrams,high
CLL1390,low
CMT12,high
CTAC,low
DH82,high
Gracie,high
Jones,low
Nike,high
Moresco,low
OSA8,high
STSA.1,high
D.17,low
CML.6M,high
OS2.4,low
