ID,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000067,GDF11,589.7496673,0.0386253,0.290372311,0.133019913,0.894177632,0.981845828
ENSCAFG00000000068,VPS4B,237.1368301,0.096423689,0.36989828,0.26067623,0.794342198,0.959619587
ENSCAFG00000000069,KDSR,1318.091497,0.213666983,0.197150741,1.083774689,0.27846471,0.743419696
ENSCAFG00000000070,BCL2,1144.838814,0.270466862,0.356084767,0.759557518,0.447519121,0.844213649
ENSCAFG00000000071,NA,710.8718954,0.024199606,0.163145834,0.148331132,0.882081447,0.981276179
ENSCAFG00000000072,PHLPP1,574.4237956,-0.016708061,0.618923617,-0.026995352,0.978463441,0.997676081
ENSCAFG00000000073,NA,1101.271005,0.158352906,0.199958395,0.791929269,0.428401919,0.836658144
ENSCAFG00000000074,NA,1099.523528,-0.015857894,0.796693973,-0.019904624,0.984119456,0.997689763
ENSCAFG00000000075,ZCCHC2,81.89116592,0.106778347,0.611442641,0.174633464,0.861367652,0.976445683
ENSCAFG00000000076,MMP19,808.5654259,-0.089379443,0.228485565,-0.391182013,0.695662702,0.929971388
ENSCAFG00000000078,TNFRSF11A,3677.648645,0.031235244,0.364876075,0.085605075,0.931780364,0.989001378
ENSCAFG00000000079,PYM1,783.1145236,0.059664835,0.259430751,0.229983667,0.818104462,0.96600051
ENSCAFG00000000080,DGKA,80.23557308,0.638860457,0.545895074,1.170298996,0.241880666,0.717593104
ENSCAFG00000000081,RELCH,414.9724019,0.087404848,0.259905271,0.336295018,0.736648407,0.942413279
ENSCAFG00000000082,PMEL,1158.657857,0.345768791,0.177756839,1.945178553,0.051753492,0.427972533
ENSCAFG00000000083,NA,490.4140646,0.471512,0.290426627,1.623515053,0.104479348,0.544896975
ENSCAFG00000000086,CDK2,0.286667863,1.202042846,3.149932431,0.381609089,0.702751341,NA
ENSCAFG00000000087,PIGN,1477.536935,0.009146312,0.256171846,0.035703815,0.971518528,0.996995308
ENSCAFG00000000088,CDH20,537.9200502,-0.299242674,0.320687919,-0.933127368,0.35075421,0.792099171
ENSCAFG00000000093,RAB5B,158.1318656,0.111062905,1.193303817,0.093071775,0.92584654,0.987944069
ENSCAFG00000000094,SUOX,5601.36818,-0.07875903,0.26437954,-0.297901379,0.765778435,0.950791678
ENSCAFG00000000097,NA,106.4145703,-0.665154957,0.699419198,-0.951010437,0.341599077,0.787001322
ENSCAFG00000000098,MC4R,2.215073707,0.585762882,1.19473635,0.490286315,0.62393131,NA
ENSCAFG00000000100,CCBE1,2077.27502,0.218607766,0.196215023,1.114123489,0.265226213,0.733166991
ENSCAFG00000000102,LMAN1,12102.54873,-0.008590164,0.192750122,-0.044566321,0.964452988,0.996113219
ENSCAFG00000000103,CPLX4,788.551092,-0.831990046,1.080511554,-0.769996436,0.441302007,0.841318486
ENSCAFG00000000105,ERBB3,877.8588928,0.255153309,0.236599413,1.078419024,0.280846801,0.7453584
ENSCAFG00000000107,RAX,2151.01568,-1.169418165,1.007976356,-1.160164282,0.245981926,0.721495171
ENSCAFG00000000108,GRP,6579.522715,-0.138498416,0.307435811,-0.450495393,0.652353275,0.916587521
ENSCAFG00000000109,SEC11C,3781.817723,0.169004429,0.158758877,1.064535303,0.287086271,0.750322902
ENSCAFG00000000110,NA,438.5246677,-0.491470165,0.439665194,-1.117828227,0.263640363,0.733104141
ENSCAFG00000000111,PA2G4,728.3470842,0.174036378,0.145583864,1.195437277,0.231916229,0.708638386
ENSCAFG00000000113,ZNF532,2646.371719,-0.107199466,0.294567163,-0.363921982,0.715916269,0.935575551
ENSCAFG00000000115,MALT1,10728.66542,-0.083593315,0.248862934,-0.335901027,0.736945502,0.942475583
ENSCAFG00000000116,ALPK2,4226.269923,-0.63671217,0.475284686,-1.339643773,0.180361186,0.662285541
ENSCAFG00000000118,ESYT1,2779.924626,-0.042100269,0.182678309,-0.230461236,0.817733382,0.96600051
ENSCAFG00000000119,SMARCC2,844.0037043,0.286383696,0.247725331,1.156053339,0.24765934,0.722443934
ENSCAFG00000000120,MYL6B,34.00571646,-0.555253821,0.521809222,-1.064093538,0.287286328,0.750322902
ENSCAFG00000000121,RNF41,1298.880776,-0.188925943,0.269647646,-0.700640059,0.483527672,0.858654176
ENSCAFG00000000122,ANKRD52,3.097542063,0.355717728,0.700352514,0.507912403,0.611514776,0.906436473
ENSCAFG00000000123,CS,1927.451828,-0.672594852,0.58021667,-1.15921325,0.246369272,0.721502896
ENSCAFG00000000124,NEDD4L,1493.145838,0.51770747,0.20206228,2.562118328,0.010403587,0.230538082
ENSCAFG00000000125,NA,5875.525368,-0.057504051,0.183540542,-0.313304357,0.75404944,0.948469255
ENSCAFG00000000126,PAN2,1301.323443,0.170565134,0.303789467,0.561458353,0.574485114,0.892949168
ENSCAFG00000000127,IL23A,18.84668522,1.862815563,0.692348406,2.690575364,0.007132892,0.197211142
ENSCAFG00000000128,STAT2,1.52608297,0.914649047,0.899911343,1.01637684,0.30944997,NA
ENSCAFG00000000130,APOF,319.0638352,0.10534383,0.218317537,0.482525736,0.629432521,0.911878686
ENSCAFG00000000131,ATP8B1,67.15785132,0.802252537,0.31891229,2.515589902,0.011883337,0.244190162
ENSCAFG00000000132,TIMELESS,81.68745831,0.133956757,0.212804211,0.629483585,0.529032512,0.876736416
ENSCAFG00000000133,NARS1,1461.311982,-0.123069367,0.189713263,-0.648712508,0.516524218,0.871786176
ENSCAFG00000000134,FECH,782.764159,0.059838811,0.550792401,0.108641315,0.91348699,0.984211518
ENSCAFG00000000135,ONECUT2,3356.370844,0.370114599,0.198517596,1.864391903,0.062266689,0.453540789
ENSCAFG00000000136,MIP,33466.30061,-0.040293561,0.199041034,-0.202438463,0.839573962,0.971663654
ENSCAFG00000000137,ST8SIA3,3824.393575,-0.170229468,0.13608889,-1.250869694,0.210982022,0.691699915
ENSCAFG00000000140,SPRYD4,1686.505004,-0.083495356,0.476247897,-0.175319108,0.860828899,0.976342286
ENSCAFG00000000141,GLS2,13915.13991,0.186096636,0.21073035,0.883103152,0.377180542,0.809177924
ENSCAFG00000000142,NA,776.1206886,0.269352492,0.205443553,1.311077853,0.189831462,0.67256543
ENSCAFG00000000143,WDR7,231.9932747,0.265029903,0.411785815,0.643611055,0.51982768,0.872558566
ENSCAFG00000000144,RBMS2,35.30623586,0.847621291,1.056966597,0.801937632,0.422589036,0.833801251
ENSCAFG00000000145,BAZ2A,54.94432304,2.30686685,1.234225489,1.869080544,0.061611609,0.452341824
ENSCAFG00000000147,ATP5F1B,378.2212386,0.450557888,0.165523842,2.722012022,0.006488578,0.192141435
ENSCAFG00000000148,TXNL1,24.88503795,0.065096508,0.659336308,0.098730355,0.921352367,0.986558151
ENSCAFG00000000149,TCF4,200.778384,0.185260212,0.277763811,0.666970298,0.504791106,0.867438553
ENSCAFG00000000150,NACA,250.1317039,0.341940453,0.231194128,1.479018766,0.139135299,0.607346824
ENSCAFG00000000153,NA,209.2100117,0.462863622,0.231337362,2.000816548,0.045412163,0.410182298
ENSCAFG00000000156,HSD17B6,29.65659647,0.828966686,0.41915205,1.977723085,0.047959955,0.419037507
ENSCAFG00000000157,CCDC68,0.87650673,1.196971097,1.751278097,0.683484307,0.494300863,NA
ENSCAFG00000000158,RAB27B,1667.957227,0.150324336,0.236534649,0.63552776,0.525084268,0.874597793
ENSCAFG00000000159,C1H18orf54,349.4290026,0.503266835,0.215807772,2.332014416,0.019699933,0.30098898
ENSCAFG00000000160,RDH16,1026.628518,0.116865908,0.490278284,0.238366479,0.811596864,0.965427194
ENSCAFG00000000162,STARD6,1274.943246,0.267683134,0.23139844,1.156806128,0.247351578,0.722312255
ENSCAFG00000000163,POLI,3528.426714,0.118422868,0.233151838,0.507921659,0.611508285,0.906436473
ENSCAFG00000000164,NA,1092.516545,0.038389347,0.247572829,0.155062843,0.876771775,0.980464516
ENSCAFG00000000165,MYO1A,252.6596251,1.532420404,0.638109388,2.401501109,0.01632796,0.27979227
ENSCAFG00000000166,DCC,267.4023042,0.059180737,0.147562374,0.401055741,0.688379085,0.927491465
ENSCAFG00000000167,HSD17B4,1436.125565,0.391561491,0.269688925,1.451900521,0.146529268,0.618593763
ENSCAFG00000000168,NEMP1,2411.217939,0.030084739,0.218250558,0.137844961,0.89036295,0.981845828
ENSCAFG00000000172,NAB2,626.2526525,0.023576043,0.190532052,0.123737937,0.901522773,0.982377349
ENSCAFG00000000173,MEX3C,326.4373266,-0.154383224,0.160186172,-0.963773723,0.335159384,0.783099741
ENSCAFG00000000175,STAT6,34.52412893,0.175180251,0.346207868,0.505997313,0.612858536,0.906913402
ENSCAFG00000000178,SMAD4,13536.59386,-1.372765066,0.699258893,-1.963171409,0.04962626,0.422769664
ENSCAFG00000000183,TNFAIP8,22.62832111,-0.587091621,0.292033331,-2.010358266,0.044393284,0.405361628
ENSCAFG00000000184,ELAC1,180.3248751,-0.514505059,1.098732553,-0.468271425,0.6395905,0.912992561
ENSCAFG00000000185,DMXL1,874.0354931,0.508985104,0.375184691,1.356625462,0.174900247,0.656126826
ENSCAFG00000000189,ME2,303.0758483,0.097055338,0.258779337,0.375050572,0.707622856,0.933171033
ENSCAFG00000000190,MRO,21526.4572,0.585689333,0.187469236,3.124189035,0.001782959,0.101337551
ENSCAFG00000000192,MC2R,13.71158897,0.83707973,1.703616677,0.491354506,0.623175735,0.910397027
ENSCAFG00000000193,MC5R,1.826968275,-1.162464851,1.07178367,-1.084607728,0.278095431,NA
ENSCAFG00000000194,FAM210A,1.19189478,-2.529147312,1.292435132,-1.956885301,0.050360955,NA
ENSCAFG00000000195,NA,12333.68298,-0.196795013,0.290226145,-0.678074721,0.497724318,0.864889274
ENSCAFG00000000196,LRP1,169.5071033,0.552103903,1.478626877,0.373389603,0.708858496,0.93373091
ENSCAFG00000000197,NA,694.7267902,-0.109030955,0.200012758,-0.545120004,0.585670985,0.896862868
ENSCAFG00000000200,MOXD1,20.99612616,-2.598460516,1.204260518,-2.157722916,0.030949381,0.357651563
ENSCAFG00000000203,STX7,1685.860755,-0.029803295,0.234841993,-0.126907863,0.899013323,0.982271086
ENSCAFG00000000204,SLC18B1,739.1060802,-0.024418561,0.230746344,-0.105824259,0.915721789,0.984463012
ENSCAFG00000000205,RPS12,1.558870842,1.10944353,1.503110861,0.738098272,0.460454734,NA
ENSCAFG00000000206,SEMA6A,25.13738984,0.096950992,0.719513502,0.134745201,0.892813334,0.981845828
ENSCAFG00000000207,NA,211.4815832,0.034856395,0.127376985,0.273647511,0.784355519,0.956482099
ENSCAFG00000000209,INHBC,3895.21691,-0.221315626,0.221294878,-1.000093754,0.317265139,0.773151592
ENSCAFG00000000210,SHMT2,451.2467745,0.165210982,0.212564229,0.777228522,0.437023957,0.839173818
ENSCAFG00000000212,EYA4,20.94423706,-0.900851219,1.006353254,-0.895164015,0.370699418,0.805302558
