gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,,,,
ENSCAFG00000017013,ETV5,340.2277239,-0.689103781,1.597754959,0.000937035,0.23432133,,,,
ENSCAFG00000048591,NA,104.4704404,-0.208923875,0.518064989,0.000983548,0.241920491,,,,
ENSCAFG00000004938,KDM7A,461.7017106,0.63699307,1.505904581,0.000999721,0.2419324,,,,
ENSCAFG00000001998,NA,4523.170167,0.466713693,1.128813387,0.001061881,0.248944773,,,,
ENSCAFG00000002098,IFT74,36.78452723,-0.673263555,1.681025074,0.001049208,0.248944773,,,,
ENSCAFG00000002573,NA,115.8029549,-0.466287127,1.138811038,0.001091897,0.249096436,,,,
ENSCAFG00000004800,NUCB1,366.1041592,0.112894454,0.156258764,0.001095732,0.249096436,,,,
ENSCAFG00000011271,OTOG,18.8428689,-0.299008077,0.786432859,0.001228724,0.271114319,,,,
ENSCAFG00000011318,COPS4,523.602656,-0.522164675,1.332194767,0.001226066,0.271114319,,,,
ENSCAFG00000002131,ZNF800,3031.310243,0.112070361,0.214403975,0.001267351,0.275584453,,,,
ENSCAFG00000004694,OSR1,137.4536932,-0.259637483,0.707849626,0.001338568,0.282871472,,,,
ENSCAFG00000011507,NA,1032.236219,-0.108684569,0.196175691,0.001325722,0.282871472,,,,
ENSCAFG00000002020,ATP6V1F,277.1084867,0.198289176,0.546165843,0.001364254,0.284295279,,,,
ENSCAFG00000010002,APLNR,14.34034887,-0.207113253,0.583208615,0.001454836,0.291898174,,,,
ENSCAFG00000013434,GPR55,25.76608704,-0.32128321,0.887508654,0.001459102,0.291898174,,,,
ENSCAFG00000041978,TMEM259,27.50273091,-0.466980512,1.27589973,0.001453182,0.291898174,,,,
ENSCAFG00000017739,ZDHHC3,60.83090597,0.112153676,0.254033675,0.001507007,0.293651016,,,,
ENSCAFG00000045183,NA,7.434638839,0.131616715,0.344049229,0.001499413,0.293651016,,,,
ENSCAFG00000012774,ZBTB21,58.57603014,-0.369581198,1.029115644,0.001530499,0.29440518,,,,
ENSCAFG00000012514,PPRC1,499.6437476,-0.105918642,0.222804013,0.001580289,0.297855624,,,,
