"GeneID","GeneName","Spearman_Correlation_Coefficient","P_value","fdrtool_qvalue","BH_qvalue"
"ENSCAFG00000015332","MVB12A",0.817193675889328,2.78714022883248e-06,0.0389958625797951,0.0443879918519382
"ENSCAFG00000024217",NA,0.813241106719368,3.33556204034854e-06,0.0389958625797951,0.0443879918519382
"ENSCAFG00000028908",NA,0.775691699604743,2.0845191456763e-05,0.114272970836921,0.159630452201762
"ENSCAFG00000007151","IFIT5",0.764822134387352,3.3108846166156e-05,0.13229269777263,0.159630452201762
"ENSCAFG00000043826",NA,0.761857707509881,3.73297800629927e-05,0.136427411247923,0.159630452201762
"ENSCAFG00000015270","PGLS",0.759881422924901,4.03825859976193e-05,0.139003590817783,0.159630452201762
"ENSCAFG00000019490","HAGH",0.758893280632411,4.19843383585323e-05,0.140238990724665,0.159630452201762
"ENSCAFG00000043662",NA,0.740851005336544,5.26958270388464e-05,0.152935482749971,0.175312429579862
"ENSCAFG00000015287","PSMA3",0.739130434782609,8.68223806129597e-05,0.17772457826031,0.255739388354585
"ENSCAFG00000008763","SFMBT1",0.736166007905138,9.60884419893235e-05,0.182120179702875,0.255739388354585
"ENSCAFG00000041006",NA,0.733201581027668,0.000106156805222155,0.186213054804212,0.256851215544332
"ENSCAFG00000007467","IDE",0.730237154150198,0.000117082282972454,0.190016018387916,0.259678746775989
"ENSCAFG00000001976","VCP",0.724308300395257,0.000141738536753458,0.196809698400341,0.261521171227911
"ENSCAFG00000006312",NA,0.723320158102767,0.000146238268959059,0.197843234854541,0.261521171227911
"ENSCAFG00000022726","MT-CO2",-0.720355731225296,0.000160454990041428,0.20078603177005,0.261521171227911
"ENSCAFG00000004116","PSMB1",0.719367588932806,0.00016544150235364,0.20171626969437,0.261521171227911
"ENSCAFG00000011816","DGKD",0.716403162055336,0.000181180443415503,0.204362837292181,0.261521171227911
"ENSCAFG00000004243","SLC36A4",0.703236987122249,0.00018180398891086,0.204459549914207,0.261521171227911
"ENSCAFG00000001840","B4GALT1",0.715415019762846,0.000186695557141849,0.205198837536809,0.261521171227911
"ENSCAFG00000009292","NIT2",-0.713438735177866,0.000198145645419043,0.206804840450465,0.263241824299443
"ENSCAFG00000048581",NA,0.711462450592885,0.000210174660835527,0.208326405865505,0.263241824299443
"ENSCAFG00000004239","DEUP1",0.707509881422925,0.00023606454999168,0.211132740013981,0.263241824299443
"ENSCAFG00000012283",NA,0.707509881422925,0.00023606454999168,0.211132740013981,0.263241824299443
"ENSCAFG00000004628","PRCP",0.706521739130435,0.000242936613412982,0.2117878896931,0.263241824299443
"ENSCAFG00000045293",NA,0.703557312252964,0.000264563016390609,0.213649486280253,0.263241824299443
"ENSCAFG00000029851","SMCO4",0.700592885375494,0.000287774827256024,0.215364722425195,0.263241824299443
"ENSCAFG00000014350","MEF2B",0.697628458498024,0.000312665652144432,0.216945064367598,0.263241824299443
"ENSCAFG00000016330","CLN8",0.697628458498024,0.000312665652144432,0.216945064367598,0.263241824299443
"ENSCAFG00000009353",NA,0.695652173913043,0.000330240493228606,0.217928998710146,0.263241824299443
"ENSCAFG00000043687",NA,-0.694664031620553,0.000339333407636337,0.218401210295774,0.263241824299443
"ENSCAFG00000003772","SNX3",0.693675889328063,0.000348635095140667,0.218860733374748,0.263241824299443
