,ensembl_gene_id,Hugo_Symbol
145,ENSCAFG00000000185,STX7
146,ENSCAFG00000000189,SLC18B1
147,ENSCAFG00000000190,RPS12
148,ENSCAFG00000000192,SEMA6A
149,ENSCAFG00000000193,NA
150,ENSCAFG00000000194,INHBC
151,ENSCAFG00000000195,SHMT2
152,ENSCAFG00000000196,EYA4
153,ENSCAFG00000000197,COMMD10
154,ENSCAFG00000000198,ARL14EPL
155,ENSCAFG00000000199,LVRN
156,ENSCAFG00000000200,NDUFA4L2
157,ENSCAFG00000000203,AP3S1
158,ENSCAFG00000000204,ATG12
159,ENSCAFG00000000205,TCF21
160,ENSCAFG00000000206,CDO1
161,ENSCAFG00000000207,TBPL1
162,ENSCAFG00000000209,TMED7
163,ENSCAFG00000000210,FEM1C
164,ENSCAFG00000000211,NA
165,ENSCAFG00000000212,SLC2A12
166,ENSCAFG00000000213,NA
167,ENSCAFG00000000214,CCDC112
168,ENSCAFG00000000215,R3HDM2
169,ENSCAFG00000000217,SGK1
170,ENSCAFG00000000219,TRIM36
171,ENSCAFG00000000220,KCNN2
172,ENSCAFG00000000221,ALDH8A1
173,ENSCAFG00000000223,GLI1
174,ENSCAFG00000000224,YTHDC2
175,ENSCAFG00000000225,NA
176,ENSCAFG00000000226,HBS1L
177,ENSCAFG00000000228,TMED9
178,ENSCAFG00000000229,MARS1
179,ENSCAFG00000000230,MYB
180,ENSCAFG00000000231,B4GALT7
181,ENSCAFG00000000233,DCTN2
182,ENSCAFG00000000234,AHI1
183,ENSCAFG00000000235,N4BP3
184,ENSCAFG00000000236,RMND5B
185,ENSCAFG00000000237,NA
186,ENSCAFG00000000238,KIF5A
187,ENSCAFG00000000239,PDE7B
188,ENSCAFG00000000240,NHP2
189,ENSCAFG00000000241,HNRNPAB
190,ENSCAFG00000000242,PHYKPL
191,ENSCAFG00000000244,MTFR2
192,ENSCAFG00000000245,BCLAF1
193,ENSCAFG00000000246,COL23A1
194,ENSCAFG00000000247,MAP7
195,ENSCAFG00000000248,CLK4
196,ENSCAFG00000000249,PIP4K2C
197,ENSCAFG00000000250,ARHGEF25
198,ENSCAFG00000000251,MAP3K5
199,ENSCAFG00000000252,SLC26A10
200,ENSCAFG00000000253,PEX7
201,ENSCAFG00000000255,B4GALNT1
202,ENSCAFG00000000256,SLC35D3
203,ENSCAFG00000000257,IL20RA
204,ENSCAFG00000000258,IL22RA2
205,ENSCAFG00000000259,OS9
206,ENSCAFG00000000260,IFNGR1
207,ENSCAFG00000000261,RPA3
208,ENSCAFG00000000262,OR1X2
209,ENSCAFG00000000263,NA
