Cytokine,Estimate,Std. Error,p-value
vegf,31.787753143784787,43.27471251023811,0.465
il.8,244.184059918133,276.38099598760994,0.380
kc.like,-0.1550413493266032,5.137372283749234,0.976
il.10,-45.138625219306334,88.11561702904476,0.610
ccl2,1237.7602511456842,1335.6682325535555,0.357
tnf.a,-3.4721716867837187,5.254631040893431,0.511
tgf.b,-1.8083979383344506,1.0004820954481664,0.075
