VEGF,,,,
GeneID,GeneName,Spearman_Correlation_Coefficient,P_value,qvalue
ENSCAFG00000001840,B4GALT1,0.578063241,0.004516789,1
ENSCAFG00000007698,ZNF827,-0.578063241,0.004516789,1
ENSCAFG00000018203,SLC6A7,0.569944964,0.004522247,1
ENSCAFG00000005748,IDO2,0.569057474,0.004599607,1
ENSCAFG00000013661,TMIE,0.568951785,0.004608893,1
ENSCAFG00000030732,ZNF543,-0.568322231,0.004664533,1
ENSCAFG00000011357,PEX11B,-0.575098814,0.004766699,1
ENSCAFG00000044658,NA,-0.567061895,0.004777613,1
ENSCAFG00000042811,NA,-0.566327382,0.004844567,1
ENSCAFG00000020317,NA,-0.565702408,0.004902153,1
ENSCAFG00000042970,NA,-0.565067421,0.004961248,1
ENSCAFG00000017937,CYP1A1,0.563787082,0.005082214,1
ENSCAFG00000019803,DBNDD1,-0.563216084,0.005136952,1
ENSCAFG00000013358,KIF9,-0.562809375,0.00517624,1
ENSCAFG00000038477,NA,0.562644547,0.005192234,1
ENSCAFG00000001390,RMI1,-0.561897719,0.00526522,1
ENSCAFG00000009301,TOMM70,-0.56916996,0.005301486,1
ENSCAFG00000004308,TRIM13,-0.559426753,0.005512842,1
ENSCAFG00000018339,ADRB2,0.559347455,0.005520947,1
ENSCAFG00000043023,NA,-0.558300614,0.005628879,1
ENSCAFG00000005220,SZT2,-0.565217391,0.005685279,1
ENSCAFG00000010951,SDHA,0.565217391,0.005685279,1
ENSCAFG00000017756,UQCRC2,0.565217391,0.005685279,1
ENSCAFG00000009010,ZNF641,0.557645345,0.005697331,1
ENSCAFG00000044030,NA,-0.557181113,0.005746246,1
ENSCAFG00000000049,NA,0.556655735,0.005802025,1
ENSCAFG00000025827,NA,-0.556025701,0.005869511,1
ENSCAFG00000029972,TRIM62,-0.563241107,0.005885745,1
ENSCAFG00000044021,NA,0.555280852,0.005950138,1
ENSCAFG00000026350,NA,-0.55525907,0.00595251,1
ENSCAFG00000008290,NA,-0.555116232,0.005968082,1
ENSCAFG00000023233,PLA2G2E,0.555063813,0.005973805,1
ENSCAFG00000019367,ITGAE,-0.562252964,0.00598818,1
ENSCAFG00000032613,NA,-0.554511866,0.006034345,1
ENSCAFG00000024066,GSTA4,-0.561264822,0.006092104,1
ENSCAFG00000043835,NA,-0.553732193,0.006120734,1
ENSCAFG00000022728,MT-ATP8,-0.559288538,0.006304492,1
ENSCAFG00000025846,NA,-0.551119114,0.006417817,1
ENSCAFG00000000296,ADGRG6,-0.551076355,0.006422776,1
ENSCAFG00000029897,NA,0.551076355,0.006422776,1
ENSCAFG00000001199,NA,-0.549097925,0.006655755,1
ENSCAFG00000011702,CEP95,-0.549048695,0.006661641,1
ENSCAFG00000008763,SFMBT1,0.554347826,0.006862749,1
ENSCAFG00000006805,ADRA2B,0.547203359,0.006885406,1
ENSCAFG00000047566,NA,0.546841032,0.006930067,1
ENSCAFG00000017877,STRA6,0.546083535,0.007024216,1
ENSCAFG00000010103,ASCL2,0.545722114,0.00706951,1
ENSCAFG00000008984,NA,0.544735608,0.007194377,1
ENSCAFG00000045652,NA,-0.544735608,0.007194377,1
ENSCAFG00000031556,MBD6,-0.551383399,0.007217128,1
ENSCAFG00000048570,NA,0.544366232,0.0072416,1
ENSCAFG00000010749,GPR55,-0.544251949,0.007256262,1
ENSCAFG00000038451,NA,-0.544213635,0.007261184,1
ENSCAFG00000044151,NA,-0.544076398,0.007278833,1
ENSCAFG00000030744,LRRC46,-0.543746977,0.007321346,1
ENSCAFG00000005719,TEPSIN,-0.550395257,0.007338602,1
ENSCAFG00000007165,NA,0.550395257,0.007338602,1
ENSCAFG00000000891,CALHM4,-0.543009622,0.007417249,1
ENSCAFG00000008573,SLA2,-0.542753746,0.007450772,1
ENSCAFG00000009364,TFG,-0.548418972,0.00758668,1
ENSCAFG00000019289,SGSM2,-0.548418972,0.00758668,1
ENSCAFG00000003452,KLHL32,-0.541226956,0.007653425,1
ENSCAFG00000010991,ACACB,-0.540153216,0.007798664,1
ENSCAFG00000047522,NA,0.540153216,0.007798664,1
ENSCAFG00000042022,NA,-0.539678916,0.007863544,1
ENSCAFG00000027524,NA,-0.538918332,0.007968518,1
ENSCAFG00000004678,ABHD1,-0.545454545,0.00797191,1
ENSCAFG00000027122,NA,-0.538591419,0.008013994,1
ENSCAFG00000013484,NA,0.538214609,0.008066676,1
ENSCAFG00000006271,RFC3,0.544466403,0.008103893,1
ENSCAFG00000018731,LMBRD2,0.544466403,0.008103893,1
ENSCAFG00000012573,NA,-0.537226642,0.00820617,1
ENSCAFG00000017220,LUC7L3,-0.543478261,0.008237695,1
ENSCAFG00000025826,NA,-0.53680576,0.008266199,1
ENSCAFG00000045069,NA,-0.535509994,0.008453298,1
ENSCAFG00000050004,NA,0.535116581,0.008510792,1
ENSCAFG00000016929,NA,-0.541501976,0.008510834,1
ENSCAFG00000019092,NA,-0.541501976,0.008510834,1
ENSCAFG00000022730,MT-CO3,-0.541501976,0.008510834,1
ENSCAFG00000038075,NA,0.534718826,0.00856925,1
ENSCAFG00000008884,CCNL1,-0.534717091,0.008569505,1
ENSCAFG00000025963,NA,-0.5339198,0.008687685,1
ENSCAFG00000013473,FRMD5,-0.533762466,0.008711165,1
ENSCAFG00000005862,PLCL2,-0.539525692,0.008791485,1
ENSCAFG00000048820,NA,-0.532389518,0.008918291,1
ENSCAFG00000026748,NA,-0.532377722,0.008920088,1
ENSCAFG00000050065,NA,0.53229205,0.008933148,1
ENSCAFG00000017539,LDLR,0.538537549,0.008934677,1
ENSCAFG00000030057,ZNF234,-0.532246124,0.008940156,1
ENSCAFG00000040998,NA,-0.532115756,0.008960074,1
ENSCAFG00000032457,MAFA,0.532084713,0.008964822,1
ENSCAFG00000011044,PDCD6,0.537549407,0.009079808,1
ENSCAFG00000002782,MEI4,0.530911276,0.009145835,1
ENSCAFG00000018394,ARL15,0.530894776,0.009148402,1
ENSCAFG00000004628,PRCP,0.536561265,0.009226897,1
ENSCAFG00000041986,NA,-0.530130123,0.009268,1
ENSCAFG00000002403,CCDC180,0.52911018,0.009429536,1
ENSCAFG00000016671,CCDC189,-0.528786772,0.009481238,1
ENSCAFG00000048581,NA,0.528553915,0.00951861,1
ENSCAFG00000002788,TRA2A,-0.528292579,0.009560696,1
ENSCAFG00000032401,NA,-0.527798385,0.009640703,1
ENSCAFG00000049968,NA,-0.52756504,0.009678671,1
ENSCAFG00000002745,ZNF331,-0.527434568,0.009699955,1
ENSCAFG00000043492,NA,0.527304192,0.009721261,1
ENSCAFG00000019023,NA,0.527073037,0.009759131,1
ENSCAFG00000018279,BAG5,-0.526809999,0.009802373,1
ENSCAFG00000028833,NA,-0.532608696,0.009835255,1
ENSCAFG00000026148,NA,-0.526211929,0.00990128,1
ENSCAFG00000045825,ZNF274,-0.531620553,0.009992449,1
ENSCAFG00000002324,NOL8,-0.530632411,0.010151727,1
ENSCAFG00000019683,SNAPC4,-0.530632411,0.010151727,1
ENSCAFG00000023158,ZKSCAN5,-0.523763403,0.010314831,1
ENSCAFG00000047373,NA,-0.52362537,0.010338561,1
ENSCAFG00000003544,NA,-0.522985729,0.010449116,1
ENSCAFG00000004980,CD79A,-0.528656126,0.01047662,1
ENSCAFG00000010944,CHD1L,-0.528656126,0.01047662,1
ENSCAFG00000031783,CASP6,0.527667984,0.010642279,1
ENSCAFG00000002601,BRSK1,-0.521502782,0.010709174,1
ENSCAFG00000000277,CCDC28A,-0.521373873,0.010732029,1
ENSCAFG00000022739,MT-ND5,-0.526679842,0.010810108,1
ENSCAFG00000009632,TYRO3,-0.52087968,0.010820022,1
ENSCAFG00000049548,NA,-0.52087968,0.010820022,1
ENSCAFG00000021854,NA,-0.52019019,0.010943778,1
ENSCAFG00000008689,PRKCD,0.5256917,0.01098013,1
ENSCAFG00000014421,SMARCAL1,0.524703557,0.011152365,1
ENSCAFG00000015843,PLD2,0.524703557,0.011152365,1
ENSCAFG00000046117,NA,0.518746447,0.011206688,1
ENSCAFG00000008381,AGA,-0.523715415,0.011326837,1
ENSCAFG00000005048,IFT172,-0.51791452,0.011360526,1
ENSCAFG00000029285,NA,-0.517793752,0.011383002,1
ENSCAFG00000004523,ERICH6B,-0.517654912,0.011408886,1
ENSCAFG00000006743,PCMTD1,-0.522727273,0.011503568,1
ENSCAFG00000026246,NA,-0.516759283,0.011577024,1
ENSCAFG00000007048,HAMP,-0.516363414,0.011651987,1
ENSCAFG00000004858,CIC,-0.52173913,0.011682581,1
ENSCAFG00000009549,KCNE2,-0.515655985,0.01178694,1
ENSCAFG00000048950,NA,-0.515103437,0.011893237,1
ENSCAFG00000041069,NA,-0.514995353,0.011914122,1
ENSCAFG00000015771,ODAD4,-0.514455168,0.01201895,1
ENSCAFG00000003542,C15H1orf216,-0.514342487,0.012040912,1
ENSCAFG00000010031,VPS39,-0.519762846,0.01204754,1
ENSCAFG00000028712,NA,-0.514182797,0.012072093,1
ENSCAFG00000026040,NA,-0.51381412,0.012144333,1
ENSCAFG00000029428,NA,-0.512680624,0.012368658,1
ENSCAFG00000003241,NA,-0.512478395,0.012409035,1
ENSCAFG00000011485,NICN1,-0.512478395,0.012409035,1
ENSCAFG00000017085,RAD23A,0.517786561,0.012421897,1
