Cytokine,System,Term,Estimate,SE,95% CI,t,p-value,Adj. p,Overall F,Overall F df,Overall p,Overall Adj. p,Marginal R²,Conditional R²
IL-10,5-category,Carcinoma,0.171,0.165,"[-0.152, 0.495]",1.04,0.303,0.571,0.53,"(4, 68.0)",0.716,0.764,0.018,0.355
IL-10,5-category,Hematopoietic,0.153,0.165,"[-0.170, 0.476]",0.93,0.357,0.571,0.53,"(4, 68.0)",0.716,0.764,0.018,0.355
IL-10,5-category,Melanoma,0.180,0.153,"[-0.119, 0.479]",1.18,0.243,0.571,0.53,"(4, 68.0)",0.716,0.764,0.018,0.355
IL-10,5-category,Sarcoma,0.072,0.216,"[-0.351, 0.495]",0.33,0.740,0.846,0.53,"(4, 68.0)",0.716,0.764,0.018,0.355
IL-8,5-category,(Intercept),4.396,0.050,"[4.298, 4.494]",87.72,<0.001,<0.001,1.45,"(4, 68.0)",0.226,0.764,0.061,0.218
IL-8,5-category,Carcinoma,0.082,0.054,"[-0.024, 0.188]",1.51,0.136,0.402,1.45,"(4, 68.0)",0.226,0.764,0.061,0.218
IL-8,5-category,Hematopoietic,0.017,0.054,"[-0.089, 0.123]",0.32,0.749,0.846,1.45,"(4, 68.0)",0.226,0.764,0.061,0.218
IL-8,5-category,Melanoma,0.106,0.050,"[0.008, 0.204]",2.11,0.038,0.168,1.45,"(4, 68.0)",0.226,0.764,0.061,0.218
IL-8,5-category,Sarcoma,0.007,0.071,"[-0.132, 0.146]",0.10,0.920,0.947,1.45,"(4, 68.0)",0.226,0.764,0.061,0.218
KC-like,5-category,(Intercept),2.997,0.021,"[2.956, 3.037]",145.15,<0.001,<0.001,0.64,"(4, 68.0)",0.636,0.764,0.031,0.114
KC-like,5-category,Carcinoma,-0.008,0.028,"[-0.062, 0.046]",-0.28,0.777,0.850,0.64,"(4, 68.0)",0.636,0.764,0.031,0.114
KC-like,5-category,Hematopoietic,0.005,0.028,"[-0.049, 0.060]",0.19,0.849,0.901,0.64,"(4, 68.0)",0.636,0.764,0.031,0.114
KC-like,5-category,Melanoma,0.021,0.026,"[-0.029, 0.072]",0.83,0.411,0.580,0.64,"(4, 68.0)",0.636,0.764,0.031,0.114
KC-like,5-category,Sarcoma,-0.039,0.036,"[-0.110, 0.032]",-1.07,0.288,0.571,0.64,"(4, 68.0)",0.636,0.764,0.031,0.114
TGF-β,5-category,(Intercept),1.945,0.284,"[1.388, 2.502]",6.85,0.019,0.097,1.20,"(4, 68.0)",0.321,0.764,0.011,0.828
TGF-β,5-category,Carcinoma,0.026,0.076,"[-0.124, 0.176]",0.34,0.734,0.846,1.20,"(4, 68.0)",0.321,0.764,0.011,0.828
TGF-β,5-category,Hematopoietic,-0.143,0.076,"[-0.293, 0.007]",-1.87,0.065,0.254,1.20,"(4, 68.0)",0.321,0.764,0.011,0.828
TGF-β,5-category,Melanoma,-0.038,0.071,"[-0.176, 0.101]",-0.53,0.596,0.772,1.20,"(4, 68.0)",0.321,0.764,0.011,0.828
TGF-β,5-category,Sarcoma,-0.089,0.100,"[-0.285, 0.107]",-0.89,0.375,0.571,1.20,"(4, 68.0)",0.321,0.764,0.011,0.828
TNF-α,5-category,(Intercept),1.388,0.196,"[1.004, 1.772]",7.08,0.009,0.052,0.46,"(4, 68.0)",0.764,0.764,0.018,0.287
TNF-α,5-category,Carcinoma,0.153,0.168,"[-0.176, 0.481]",0.91,0.366,0.571,0.46,"(4, 68.0)",0.764,0.764,0.018,0.287
TNF-α,5-category,Hematopoietic,0.154,0.168,"[-0.175, 0.483]",0.92,0.361,0.571,0.46,"(4, 68.0)",0.764,0.764,0.018,0.287
TNF-α,5-category,Melanoma,0.105,0.155,"[-0.199, 0.410]",0.68,0.500,0.672,0.46,"(4, 68.0)",0.764,0.764,0.018,0.287
TNF-α,5-category,Sarcoma,0.220,0.220,"[-0.210, 0.651]",1.00,0.319,0.571,0.46,"(4, 68.0)",0.764,0.764,0.018,0.287
VEGF,5-category,(Intercept),3.360,0.144,"[3.077, 3.643]",23.29,0.001,0.012,1.18,"(4, 68.0)",0.329,0.764,0.026,0.594
VEGF,5-category,Carcinoma,-0.072,0.070,"[-0.209, 0.065]",-1.03,0.306,0.571,1.18,"(4, 68.0)",0.329,0.764,0.026,0.594
VEGF,5-category,Hematopoietic,-0.113,0.070,"[-0.249, 0.024]",-1.62,0.111,0.388,1.18,"(4, 68.0)",0.329,0.764,0.026,0.594
VEGF,5-category,Melanoma,-0.027,0.065,"[-0.154, 0.099]",-0.42,0.676,0.845,1.18,"(4, 68.0)",0.329,0.764,0.026,0.594
VEGF,5-category,Sarcoma,0.075,0.091,"[-0.104, 0.254]",0.82,0.414,0.580,1.18,"(4, 68.0)",0.329,0.764,0.026,0.594
