cytokine,treatment,donor_1_modz,donor_2_modz,donor_3_modz,histology
il.10,HMPOS,1.02792982,-0.541392411,-0.779999643,OSA
il.10,Jones,-0.53134769,0.195481095,-0.739219279,Mel
il.10,MacKinley,0.249915062,-0.409728375,-0.80117175,OSA
il.10,Nike,1.432846353,117.753481,0,HS
il.10,Moresco,0.298815409,-0.924956394,-0.639493847,OSA
il.10,OS2.4,-0.236321607,-0.02045033,-0.824990369,OSA
il.10,OSA8,0.476913724,117.753481,-0.416224362,OSA
il.10,Parks,0.040780364,1.518617442,-0.618381889,Mel
il.10,STSA-1,-0.407262306,3.488705993,-0.310544275,STS
il.10,Vogel,-0.742226681,1.812861602,-0.643583913,OSA
il.10,Yamane,-0.542414928,3.136118245,-0.693326333,OSA
ccl2,D17,-0.811718958,0.698164725,-0.1463621,OSA
ccl2,1771,-0.903686905,0.824875344,-0.36457994,Lym
ccl2,17CM98 ,-0.800886784,0.498017488,0.121405057,Mel
ccl2,Abrams,-0.754120882,0.744439988,0.719057285,OSA
ccl2,Bliley,-0.731046344,0.954245014,0.755456491,UC
ccl2,CLL1390,-0.774207669,0.950731409,0.118896127,Lym
ccl2,CML-10C2,-0.6745,0.357881127,0.620943584,Mel
ccl2,CML-6M,-0.503880758,0.612106552,-0.0660677,Mel
ccl2,CMT12,-0.522255491,0.402131981,0.294876564,MC
ccl2,CMT27,-0.571714947,0.83047295,0.535442309,MC
ccl2,CTAC,-0.610244645,1.815674533,-0.41053744,TC
ccl2,DEN,-0.411696888,1.360028606,-0.007030759,HSA
ccl2,DH82,-0.793293402,1.173412217,0.589928817,HS
ccl2,Gracie,-1.049864692,0.828232529,0.584627428,OSA
ccl2,HMPOS,-0.710433804,3.192683953,-0.109257947,OSA
ccl2,Jones,-0.534998685,1.41436026,-0.214079225,Mel
ccl2,MacKinley,-0.923482336,1.395234467,-0.464071181,OSA
ccl2,Nike,-0.725849077,0.245771136,-0.091516341,HS
ccl2,Moresco,-0.396406225,0.819289208,0,OSA
ccl2,OS2.4,-0.632064909,2.268720656,-0.005470765,OSA
ccl2,OSA8,-0.748399962,0.260059876,0.518961221,OSA
ccl2,Parks,-0.840313253,2.217695159,0.363004126,Mel
ccl2,STSA-1,-1.021589219,2.057203424,0.568803427,STS
ccl2,Vogel,-1.129356557,2.277592402,-0.610393163,OSA
ccl2,Yamane,-1.083366129,1.5103892,-0.203676593,OSA
tnf.a,D17,-0.282108914,-0.71149789,-0.509432489,OSA
tnf.a,1771,0.536469409,-0.697267932,-0.6745,Lym
tnf.a,17CM98 ,0.127002373,4.654619198,-0.36072943,Mel
tnf.a,Abrams,0,8.524811973,0.576313291,OSA
tnf.a,Bliley,0.223410338,-0.682682226,-0.349701213,UC
tnf.a,CLL1390,-0.567419568,-0.682682226,-0.6745,Lym
tnf.a,CML-10C2,-0.586985759,7.748212025,-0.6745,Mel
tnf.a,CML-6M,0.029882911,10.48249842,0.569554061,Mel
tnf.a,CMT12,1.447542458,6.191454641,2.558546414,MC
tnf.a,CMT27,0.679480485,1.806137395,1.660991825,MC
tnf.a,CTAC,-0.6577798,0.150126055,-0.6745,TC
tnf.a,DEN,1.573121835,1.839222046,-0.6745,HSA
tnf.a,DH82,0.442551688,7.808689346,1.928515032,HS
tnf.a,Gracie,-0.359662184,7.481756065,-0.119175897,OSA
tnf.a,HMPOS,1.162943302,-0.091783228,-0.6745,OSA
tnf.a,Jones,-0.563506329,0.481684072,-0.6745,Mel
tnf.a,MacKinley,0.572400053,-0.471011603,-0.6745,OSA
tnf.a,Nike,0.640348101,34.61615111,1.127368407,HS
tnf.a,Moresco,-0.007470728,-0.682682226,-0.595879483,OSA
tnf.a,OS2.4,-0.70473866,0.577380538,-0.6745,OSA
tnf.a,OSA8,0.377449631,47.88985575,-0.198152162,OSA
tnf.a,Parks,-0.336538502,1.572410338,-0.61046519,Mel
tnf.a,STSA-1,-0.344364979,2.553565928,1.189268724,STS
tnf.a,Vogel,-0.71825712,1.812896624,-0.6745,OSA
