gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,source_file
ENSCAFG00000010913,C18H11orf24,1361.898914,0.670443748,0.638745432,0.000169059,0.046349356,ccl2
ENSCAFG00000012630,CNKSR1,116.0212054,1.727957123,1.35431221,0.000191355,0.046349356,ccl2
ENSCAFG00000016857,SEMA4A,986.9344669,-3.03105796,2.392313079,0.000185348,0.046349356,ccl2
ENSCAFG00000019003,CARHSP1,466.9474035,1.292182643,1.067919802,0.000180862,0.046349356,ccl2
ENSCAFG00000023636,PRSS22,118.525425,3.115482585,2.504976981,0.000183446,0.046349356,ccl2
ENSCAFG00000019408,ARHGAP4,644.9837216,-2.904594395,2.436957127,0.000215159,0.051088759,ccl2
ENSCAFG00000017664,SLC14A1,533.1035197,2.874974185,2.425359362,0.000219785,0.051396273,ccl2
ENSCAFG00000019967,MBTPS1,5644.385641,0.295431863,0.1945748,0.000253416,0.058161174,ccl2
ENSCAFG00000028762,KLRG1,65.39841962,-2.723162486,2.435393854,0.00025625,0.058161174,ccl2
ENSCAFG00000034757,CCDC194,13.38054265,1.854905782,1.593945394,0.000262574,0.058732911,ccl2
ENSCAFG00000035446,,17.25396134,1.635858835,1.443442203,0.000269124,0.059338098,ccl2
ENSCAFG00000005051,SCN5A,32.29176841,1.756156739,1.54859548,0.000277632,0.060351644,ccl2
ENSCAFG00000024732,RUFY4,43.3864351,2.261475122,2.023072078,0.000294165,0.063057484,ccl2
ENSCAFG00000032287,CCL22,42.66305975,2.601967399,2.531177843,0.000302833,0.064026298,ccl2
ENSCAFG00000023057,MICALL2,716.8107162,0.629677577,0.712571965,0.000329226,0.068665862,ccl2
ENSCAFG00000030348,,34.25713226,0.432778352,0.495550971,0.00033977,0.069920065,ccl2
ENSCAFG00000028607,GMFG,523.9950999,-1.690672462,1.629686428,0.000355555,0.072205802,ccl2
ENSCAFG00000001623,SLC24A2,43.15822766,2.375139101,2.445933569,0.000365999,0.073361488,ccl2
ENSCAFG00000004584,TSC22D1,2326.549884,0.528179346,0.632717907,0.000386128,0.073891718,ccl2
ENSCAFG00000006815,TUSC3,1645.476275,0.348523643,0.384730384,0.000387795,0.073891718,ccl2
ENSCAFG00000013889,RTP4,143.1619516,-2.324314576,2.428305405,0.00038258,0.073891718,ccl2
ENSCAFG00000014319,UNC5B,311.2833835,1.056527501,1.127205284,0.000379853,0.073891718,ccl2
ENSCAFG00000003119,WDPCP,67.76144288,0.395154369,0.467615516,0.000404932,0.076216055,ccl2
ENSCAFG00000046142,,10.75890208,0.973308371,1.081662537,0.00041387,0.076959816,ccl2
ENSCAFG00000010736,KCNJ2,31.37142003,-1.629883951,1.678499417,0.000424905,0.077184377,ccl2
ENSCAFG00000018540,MYO1F,810.0117899,-2.188701097,2.352960637,0.000425079,0.077184377,ccl2
ENSCAFG00000046831,,42.08758294,2.048895327,2.152626013,0.000431511,0.077441243,ccl2
ENSCAFG00000007065,ITGB7,2025.557733,-1.913834232,2.068297751,0.000472355,0.082844558,ccl2
ENSCAFG00000023904,CHRNB4,54.27029905,-0.79703667,0.953752006,0.00047122,0.082844558,ccl2
ENSCAFG00000013971,ATP2A3,259.0990437,-2.094517767,2.406889792,0.00048496,0.084099714,ccl2
ENSCAFG00000006370,HGF,571.358941,2.076948743,2.431065317,0.0004993,0.085624401,ccl2
ENSCAFG00000014026,SAR1A,1528.044461,0.26110931,0.153492519,0.000527827,0.089521792,ccl2
ENSCAFG00000028476,DRAP1,5642.191238,0.278403522,0.275585664,0.000541897,0.09090914,ccl2
ENSCAFG00000018381,ESM1,2827.414165,1.604509675,1.831118364,0.000556918,0.091284531,ccl2
ENSCAFG00000023556,OAS1,2305.675159,-1.517573499,1.728060181,0.000553007,0.091284531,ccl2
ENSCAFG00000047953,,4.09677748,1.553715531,1.779034985,0.000561878,0.091284531,ccl2
ENSCAFG00000011047,IL3RA,22.95641802,-1.777365791,2.155475386,0.000611201,0.098263216,ccl2
ENSCAFG00000019998,SLC30A7,834.8369554,0.310726463,0.386021141,0.000631075,0.100412483,ccl2
ENSCAFG00000003261,FBXO48,125.2039096,-0.371911686,0.517708311,0.000699821,0.110214715,ccl2
ENSCAFG00000005675,RNF213,1666.341223,-1.083719156,1.394783396,0.000721248,0.110215204,ccl2
ENSCAFG00000011646,ZFHX2,80.14539556,0.983043391,1.279980881,0.000717056,0.110215204,ccl2
ENSCAFG00000014624,IFI35,197.4916088,-1.318930286,1.662141219,0.000715071,0.110215204,ccl2
