gene,Hugo_Symbol (add = in front),baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000032734,KCNK13,114.5884423,-24.83516215,2.39954144,1.74E-25,2.81E-21
ENSCAFG00000031869,NA,760.0977622,26.31222179,2.966857802,2.73E-19,2.21E-15
ENSCAFG00000011638,SPTA1,149.4875953,-24.97776894,2.967397891,1.55E-17,5.93E-14
ENSCAFG00000018167,CCL3,398.2329711,24.92015332,2.967299087,1.83E-17,5.93E-14
ENSCAFG00000028912,CD300H,250.9880197,24.9234312,2.967337172,1.82E-17,5.93E-14
ENSCAFG00000008862,NAA11,198.4764404,24.60475154,2.967523966,4.61E-17,1.24E-13
ENSCAFG00000048256,NA,53.51892186,-23.60177183,2.968689986,8.07E-16,1.87E-12
ENSCAFG00000003864,CLEC5A,99.92859281,23.47653995,2.968560693,1.14E-15,2.30E-12
ENSCAFG00000005737,SFRP1,76.07509295,23.26775128,2.968892874,2.03E-15,3.64E-12
ENSCAFG00000011803,CCDC172,39.88994236,-23.20778976,2.969330637,2.41E-15,3.89E-12
ENSCAFG00000037413,NA,68.69715196,23.16277876,2.96906789,2.70E-15,3.98E-12
ENSCAFG00000007691,GALNT18,61.39118711,23.00881578,2.969331809,4.12E-15,5.55E-12
ENSCAFG00000000013,SALL3,57.71240733,22.91975018,2.969494987,5.24E-15,6.06E-12
ENSCAFG00000031355,NA,1674.200668,13.9307662,1.835419604,5.10E-15,6.06E-12
ENSCAFG00000016012,KRT27,26.53655817,-22.67505818,2.970513227,1.03E-14,1.11E-11
ENSCAFG00000016556,AQP9,40.62224762,22.44138726,2.970554564,1.90E-14,1.92E-11
ENSCAFG00000018348,CCL7,5241.278222,10.70121847,1.510130354,4.36E-14,4.15E-11
ENSCAFG00000048884,NA,24.58758413,21.75820779,2.972728753,1.14E-13,1.02E-10
ENSCAFG00000019026,SOX3,23.31853005,21.68865628,2.973007439,1.36E-13,1.16E-10
ENSCAFG00000045561,NA,24.92565775,21.65136934,2.973053856,1.49E-13,1.21E-10
ENSCAFG00000044417,NA,22.45127579,21.62974787,2.973244994,1.58E-13,1.22E-10
ENSCAFG00000008567,SUCNR1,16.67325946,21.23145222,2.975149594,4.36E-13,3.21E-10
ENSCAFG00000006557,NA,15.57619629,21.13868321,2.975661319,5.51E-13,3.88E-10
ENSCAFG00000006742,CDX2,13.58596765,20.93533091,2.976863514,9.16E-13,6.18E-10
ENSCAFG00000024781,NA,465.8639246,7.188119829,1.293317905,1.74E-09,1.12E-06
ENSCAFG00000001002,SMPDL3A,2403.903943,10.52966142,1.980569269,3.26E-09,2.03E-06
ENSCAFG00000004165,NDNF,377.3168174,10.97532399,2.193934003,1.89E-08,1.13E-05
ENSCAFG00000001084,CXCL14,131.3334068,6.648456623,1.309983173,3.42E-08,1.98E-05
ENSCAFG00000010192,RNF144B,221.8573887,5.344052704,1.02320592,3.92E-08,2.19E-05
ENSCAFG00000001991,NA,24.17348228,3.020051031,0.559789313,4.09E-08,2.20E-05
ENSCAFG00000008544,MMP15,271.9537838,6.236848992,1.236536878,5.29E-08,2.76E-05
ENSCAFG00000004492,GRIP2,36.97287507,6.300899195,1.264458453,6.76E-08,3.42E-05
ENSCAFG00000023928,CCL8,490.9415268,11.78616065,2.489083852,8.13E-08,3.99E-05
ENSCAFG00000008901,BPI,2899.46234,13.55969697,2.824145426,9.99E-08,4.76E-05
ENSCAFG00000009905,MMP9,8912.592662,9.869594712,2.189585474,1.56E-07,7.23E-05
ENSCAFG00000002964,LRRC4B,85.96031941,8.230275795,1.819236944,1.83E-07,8.14E-05
ENSCAFG00000013822,TDRD5,17.99597419,7.024772587,1.510818599,1.86E-07,8.14E-05
ENSCAFG00000007882,PCSK1,21.96683842,4.913804823,1.009718577,2.46E-07,0.000104871
ENSCAFG00000042676,NA,213.3273816,6.637572392,1.447782402,2.95E-07,0.000122468
ENSCAFG00000020082,DNM1,298.0071853,4.138065636,0.877535093,5.51E-07,0.000222839
ENSCAFG00000029471,CLIC2,46.11192478,-4.341076859,0.9323366,6.35E-07,0.000250453
ENSCAFG00000018272,KLHL13,81.4337395,6.548090506,1.510621111,7.13E-07,0.000274616
ENSCAFG00000009313,PHF21A,799.9946332,-0.955236061,0.312383506,8.57E-07,0.000322657
ENSCAFG00000004160,TNIP3,64.32993124,5.885170028,1.362582032,9.94E-07,0.000365415
ENSCAFG00000005773,CACNB4,143.4689449,4.342820609,0.976871281,1.17E-06,0.000420004
ENSCAFG00000010034,RYR2,59.11906178,7.154240603,1.768379272,1.25E-06,0.000440377
ENSCAFG00000009273,STAB1,395.2733773,7.16666058,1.954180629,2.92E-06,0.00100642
ENSCAFG00000000481,CAPS2,33.99862889,6.31569264,1.757120169,4.23E-06,0.001396975
ENSCAFG00000002573,SSC5D,85.97935845,3.381970871,0.873953364,4.24E-06,0.001396975
ENSCAFG00000004611,GRIN2C,118.5007825,3.789293331,0.980816699,4.32E-06,0.001396975
ENSCAFG00000004043,LAMA4,784.162584,6.973734317,2.060674371,5.16E-06,0.001611226
ENSCAFG00000010298,ADORA1,48.0591672,7.098268852,2.112133383,5.22E-06,0.001611226
ENSCAFG00000011008,CAMKV,111.2657101,7.698818149,2.343127607,5.28E-06,0.001611226
ENSCAFG00000013108,AP3B2,20.20469494,4.220855433,1.1366729,5.43E-06,0.001627275
ENSCAFG00000003487,SLC66A3,1189.789792,-1.697035544,0.533380895,5.69E-06,0.001674361
ENSCAFG00000013154,NA,163.0769226,7.541383968,2.406460062,6.98E-06,0.002018092
ENSCAFG00000014490,IGFBP2,227.0242191,9.866017753,3.410082081,8.49E-06,0.00240902
ENSCAFG00000017687,SCNN1B,106.7625373,4.487383652,1.338678047,9.30E-06,0.002550564
ENSCAFG00000018277,NA,4381.696995,3.160045192,0.940379482,9.28E-06,0.002550564
ENSCAFG00000019795,ALX3,80.32121659,5.43666245,1.756945067,1.15E-05,0.00309812
ENSCAFG00000016576,SEPTIN1,360.0125161,-5.4102064,1.868749238,1.53E-05,0.004049719
ENSCAFG00000017403,NTN1,108.0487142,4.469581982,1.569659011,1.90E-05,0.004955319
ENSCAFG00000029883,SLC25A36,481.7988023,-0.482374825,0.335292904,1.97E-05,0.005062193
ENSCAFG00000000303,AIG1,747.4874174,-0.485021737,0.341212452,2.13E-05,0.00522014
ENSCAFG00000006447,TOPBP1,5014.104421,-0.520956088,0.363434684,2.08E-05,0.00522014
ENSCAFG00000009482,CPQ,107.5157046,6.443525671,2.571891099,2.13E-05,0.00522014
ENSCAFG00000024864,NA,174.5674346,4.202021431,1.583534969,2.54E-05,0.00612331
ENSCAFG00000030102,TPC3,77.56800373,4.542613249,1.756112956,2.67E-05,0.006357243
ENSCAFG00000011534,ACAN,86.33880147,4.71389293,1.86434021,2.82E-05,0.006611187
ENSCAFG00000005694,NAP1L1,12899.56659,-0.267411068,0.105938457,2.90E-05,0.006707084
ENSCAFG00000000522,SNCAIP,37.81947419,5.832050312,2.522210195,3.08E-05,0.007023762
ENSCAFG00000029990,GLIPR1L2,44.58767152,6.917111509,3.337218179,3.60E-05,0.008090328
ENSCAFG00000014717,PIANP,31.95039507,3.671731857,1.531223801,3.69E-05,0.00818005
ENSCAFG00000007580,LYVE1,142.4039905,4.480621729,1.935674624,3.88E-05,0.008474016
ENSCAFG00000007401,NA,8.908370026,4.159030174,1.912486228,4.87E-05,0.010515246
ENSCAFG00000034733,NA,14.06907066,4.551383385,2.14078572,4.95E-05,0.010538372
ENSCAFG00000020354,CARMIL2,1346.140527,-4.275732222,2.058883133,5.50E-05,0.011565027
ENSCAFG00000008056,RYR3,39.92984202,2.649439796,1.330974119,6.17E-05,0.012662571
ENSCAFG00000010077,LSP1,2472.644535,-4.674288575,2.398602509,6.18E-05,0.012662571
ENSCAFG00000019014,SEMA6B,137.6699271,2.454646456,1.279500665,6.63E-05,0.01327635
ENSCAFG00000037735,NA,6683.225367,2.095078541,1.135204449,6.65E-05,0.01327635
ENSCAFG00000017404,SCPEP1,3975.964943,1.042182835,0.730560468,6.93E-05,0.013668802
ENSCAFG00000048254,NA,153.4121913,1.816393228,1.066475505,7.58E-05,0.01476777
ENSCAFG00000005040,KLF12,183.1086386,-1.371079744,0.904317736,8.18E-05,0.015551672
ENSCAFG00000010103,ASCL2,6.780338673,4.498880957,2.550209412,8.24E-05,0.015551672
ENSCAFG00000031968,C5H11orf52,25.67046345,3.15146204,1.708121879,8.27E-05,0.015551672
ENSCAFG00000005807,NUMA1,7396.144354,-0.264148343,0.1520181,9.11E-05,0.016936718
ENSCAFG00000011774,C2CD5,1241.548155,-0.36405217,0.322019851,9.66E-05,0.017769393
ENSCAFG00000017415,ZC3H14,3821.98813,-0.234262075,0.087916294,9.96E-05,0.018099408
ENSCAFG00000012739,SLC29A2,6.422836563,3.994491643,2.397507576,0.000103024,0.018522613
ENSCAFG00000008269,IL17RB,208.5924667,-3.474185996,2.102124367,0.000111584,0.019473372
ENSCAFG00000013440,ADAM8,711.6587177,3.093109722,1.856444253,0.000110592,0.019473372
ENSCAFG00000016764,SLC49A3,217.2921156,6.442566022,4.716878731,0.000111923,0.019473372
ENSCAFG00000000367,ENPP3,65.03881717,-4.121255738,2.624297466,0.00011652,0.020057613
ENSCAFG00000042655,NA,8.178436374,4.057617885,2.61056823,0.000120677,0.020554465
ENSCAFG00000018972,EFCAB5,85.96196553,-0.927020183,0.784681231,0.000130451,0.021987794
ENSCAFG00000001128,TG,60.81431233,-4.156444651,2.834023088,0.000135389,0.022584818
ENSCAFG00000018251,PDE6A,77.12201879,3.987211033,2.704863661,0.000138041,0.022792216
ENSCAFG00000016792,DCAF4,544.9574417,-0.316224254,0.283755191,0.000140359,0.022940893
ENSCAFG00000042696,NA,1459.847457,1.75301604,1.258868344,0.000144851,0.023438276
ENSCAFG00000008341,SPON1,96.97605112,4.622251451,3.460361197,0.000150917,0.023941049
ENSCAFG00000031292,NKX1-2,11.35187572,4.083635622,2.905719744,0.00015072,0.023941049
ENSCAFG00000012748,LHPP,312.063811,0.771379254,0.715543105,0.000154102,0.024208967
ENSCAFG00000015113,QDPR,7554.666007,0.249770959,0.154526182,0.000158596,0.024675355
ENSCAFG00000004565,CD300E,118.3576032,5.262946489,4.420900035,0.000172326,0.026322271
ENSCAFG00000005949,NA,417.5548485,-0.635301813,0.632737249,0.000172434,0.026322271
ENSCAFG00000001244,REEP2,62.60662233,3.538448218,2.592735438,0.000177246,0.026803883
ENSCAFG00000018219,CSF1R,3161.54162,4.397025339,3.539130528,0.000182376,0.026827442
ENSCAFG00000024101,CHST8,8.608993786,3.921686768,3.007861287,0.000182298,0.026827442
ENSCAFG00000040091,NA,4.041771582,2.592540716,1.866479286,0.000180153,0.026827442
ENSCAFG00000012578,HRH3,5.544186929,3.083308425,2.298528377,0.000195651,0.028520947
ENSCAFG00000049379,NA,18.86253491,-3.122850295,2.379548194,0.000205431,0.029679282
ENSCAFG00000008300,ZNF395,476.9801085,-0.971503149,0.920006088,0.000218093,0.031229696
ENSCAFG00000017958,COL5A3,80.74964937,3.138307439,2.484636587,0.000224198,0.031822284
ENSCAFG00000001416,GLDC,31.7411701,3.277723893,2.65954713,0.000231822,0.032397085
ENSCAFG00000006331,VEZT,675.7004043,-0.334003198,0.353845239,0.000232252,0.032397085
ENSCAFG00000013863,CEMIP,6970.090214,3.004572622,2.489967434,0.000253291,0.035029924
ENSCAFG00000030990,INSYN1,142.6755548,2.949585751,2.517362116,0.000272674,0.037076833
ENSCAFG00000043280,NA,137.2458969,3.025055526,2.58967421,0.000271439,0.037076833
ENSCAFG00000019290,PDZD4,82.43139192,4.265213367,4.229354439,0.000277791,0.037457783
ENSCAFG00000000934,COL14A1,4777.461064,3.504106559,3.214464292,0.000282771,0.037814153
ENSCAFG00000014413,SPOCK2,52.27374136,-2.343869383,2.045122225,0.000299799,0.039762694
ENSCAFG00000025322,KRT75,1279.513844,3.50631731,3.392070515,0.000311136,0.040930813
ENSCAFG00000000767,CELSR1,111.2707171,2.915776956,2.70377617,0.00032762,0.042751724
ENSCAFG00000012698,HMX3,23.02441087,3.620519335,3.749178655,0.000341111,0.04415612
ENSCAFG00000006250,SPRY4,217.8590224,-2.529802758,2.344717316,0.000346066,0.04417318
ENSCAFG00000016919,TLX3,20.81860046,3.55246944,3.680344409,0.000346703,0.04417318
ENSCAFG00000001903,ATP10D,2862.940078,-0.634279182,0.757629951,0.000376953,0.046919099
ENSCAFG00000009496,NAB1,944.9902701,0.573659555,0.695723077,0.000375109,0.046919099
ENSCAFG00000030400,TNFSF9,123.5128667,2.570402425,2.477847542,0.000376641,0.046919099
ENSCAFG00000000885,DEPTOR,386.7113553,2.039630983,1.96720255,0.00038614,0.047695687
ENSCAFG00000009767,NHLH2,5.578198647,2.583541978,2.611151301,0.000415824,0.050973064
ENSCAFG00000019051,NA,20.43365614,3.102554634,3.423451383,0.000430507,0.051600198
ENSCAFG00000024792,NA,2094.615323,2.369286519,2.389244079,0.000427343,0.051600198
ENSCAFG00000041406,NA,11.11259986,1.422433216,1.485678716,0.000426711,0.051600198
ENSCAFG00000010570,NA,171.0272945,-1.250859302,1.348577397,0.000437117,0.052007306
ENSCAFG00000028815,ZBED5,912.0374226,-0.243868932,0.250414839,0.000462236,0.054594485
ENSCAFG00000037122,NA,38.90090724,-3.109508884,3.636623307,0.000472352,0.055384927
ENSCAFG00000029738,CACNG7,91.02099403,2.996483832,3.501014082,0.000485906,0.056564329
ENSCAFG00000004944,PCDH9,171.8897212,1.56584285,1.693286025,0.000497824,0.057386172
ENSCAFG00000032137,NA,3.255536692,1.905625296,2.031094615,0.000500059,0.057386172
ENSCAFG00000007858,HAND2,23.2925003,2.897953176,3.466939679,0.000518331,0.059064128
ENSCAFG00000018352,ASIC2,14.28610724,2.715615119,3.165008136,0.000523288,0.059212094
ENSCAFG00000029969,RGS4,275.7007928,-2.421525284,2.712461747,0.000527196,0.059239991
ENSCAFG00000012619,MGST1,437.8099129,3.10642922,4.000912916,0.000552214,0.061623259
ENSCAFG00000001586,TREM2,69.63802474,3.23901278,4.360419062,0.000578304,0.063845524
ENSCAFG00000007069,MSL2,493.6571175,-0.278385526,0.35703272,0.000583965,0.063845524
ENSCAFG00000018041,WDR20,472.1341584,-0.207563239,0.096359517,0.000581279,0.063845524
ENSCAFG00000000876,PARVG,139.9893773,-2.675299781,3.430261774,0.000615528,0.066733375
ENSCAFG00000019917,MTHFSD,400.837168,0.23367129,0.25926594,0.000620956,0.066733375
ENSCAFG00000033558,NA,5.121011898,2.129775995,2.515642552,0.000622751,0.066733375
ENSCAFG00000002756,STAP1,126.3923591,-1.393935017,1.678296431,0.000657308,0.067238637
ENSCAFG00000006231,DCLK1,204.7625915,1.811957119,2.153415049,0.000658121,0.067238637
ENSCAFG00000010910,FEZ1,40.1592778,2.443488184,3.123316888,0.000657775,0.067238637
ENSCAFG00000015360,GLDN,9.157698183,2.407894385,3.046237913,0.000654299,0.067238637
ENSCAFG00000023324,S100A12,22.03035145,1.816720955,2.148577809,0.000650256,0.067238637
ENSCAFG00000025434,MANSC4,29.61230164,-1.080897349,1.356383944,0.000664865,0.067238637
ENSCAFG00000028691,BTBD18,4.02464987,-1.283050156,1.565982325,0.00066324,0.067238637
ENSCAFG00000030814,DOC2B,49.73802849,1.839132856,2.185372882,0.000656797,0.067238637
ENSCAFG00000048755,NA,44.07334366,-0.366165451,0.519026714,0.000634638,0.067238637
ENSCAFG00000003029,CXCL8,5127.430647,1.9069447,2.311472267,0.000682777,0.068621168
ENSCAFG00000001021,JADE2,1855.391659,-0.732265516,0.996588169,0.00069207,0.069125854
ENSCAFG00000002234,BARX1,126.9615886,2.879214249,4.267130639,0.000733559,0.072820376
ENSCAFG00000003074,NOD1,1039.54057,-0.560803673,0.812236366,0.000747128,0.073490167
ENSCAFG00000012093,CTSK,4169.832443,1.182796187,1.518368506,0.00074939,0.073490167
ENSCAFG00000014309,RASGRP2,289.3428944,-1.73880473,2.196827929,0.000764555,0.074422703
ENSCAFG00000049626,NA,36.86023076,-0.977339177,1.302195235,0.000768098,0.074422703
ENSCAFG00000015489,SCG3,88.20545388,1.345874224,1.725816895,0.000782344,0.075351804
ENSCAFG00000006556,APAF1,438.5839868,-0.236096972,0.305417614,0.000829094,0.078453607
ENSCAFG00000008977,LRP4,249.6804466,0.756108627,1.074971647,0.000827981,0.078453607
ENSCAFG00000013123,INSYN2A,6.995714878,2.070456603,2.821536532,0.000820839,0.078453607
ENSCAFG00000009059,COL2A1,8.736367096,1.785796345,2.367090903,0.000843201,0.079324581
ENSCAFG00000001269,ADGRB1,41.61698042,2.325524256,3.462431339,0.000858466,0.080293897
ENSCAFG00000007168,ZSWIM6,220.0696781,0.260065397,0.373087712,0.000888322,0.081899185
ENSCAFG00000009461,PHYHIP,3.947160423,1.397699793,1.869360782,0.000886102,0.081899185
ENSCAFG00000019054,NA,9.932031615,1.162588675,1.58175799,0.000890814,0.081899185
ENSCAFG00000029396,BASP1,1104.413139,1.830827215,2.522383498,0.000899655,0.082138718
ENSCAFG00000031675,COL8A1,449.0460568,1.507093051,2.029171242,0.000903572,0.082138718
ENSCAFG00000002727,ABCA1,2165.792125,1.097944422,1.540453821,0.000958647,0.084633649
ENSCAFG00000002993,SMAP2,3083.72543,-0.512272313,0.803127927,0.000964316,0.084633649
ENSCAFG00000005072,FBXL3,819.1868155,-0.231610208,0.31452957,0.000962134,0.084633649
ENSCAFG00000014645,SLC11A1,5495.617576,1.408471484,1.930222255,0.000945158,0.084633649
ENSCAFG00000015830,RNF167,314.0722062,0.194809747,0.137814879,0.00096763,0.084633649
ENSCAFG00000016575,DRAXIN,21.92408412,2.168376365,3.363436707,0.000961244,0.084633649
ENSCAFG00000045552,NA,7.457287416,0.951113886,1.354639169,0.000945836,0.084633649
ENSCAFG00000015298,CD38,48.2595421,-1.357459329,1.887187816,0.000979244,0.085188973
ENSCAFG00000029509,MCEMP1,103.6942498,2.196689944,3.506675088,0.000991934,0.085831429
ENSCAFG00000024903,MAFB,994.4932326,1.37020321,1.918355294,0.000997709,0.085871954
ENSCAFG00000016833,SNX11,581.9699726,0.23843844,0.339970057,0.00101232,0.08666853
ENSCAFG00000014993,FGFR3,445.1966273,0.303395474,0.484384968,0.00103719,0.088330393
ENSCAFG00000046073,NA,9.734182208,0.62973909,0.982271811,0.001043411,0.08839498
ENSCAFG00000031326,CEBPB,1432.954647,0.528698095,0.851190025,0.001076861,0.090753598
ENSCAFG00000003480,STK17A,1239.487893,0.46917697,0.7676762,0.001092269,0.091575179
ENSCAFG00000014477,C27H12orf57,677.0272897,-0.442876402,0.73377317,0.001124302,0.092818039
ENSCAFG00000017380,HDX,3.963733904,1.609169254,2.405917346,0.001114208,0.092818039
ENSCAFG00000045317,NA,157.0766813,-0.440336145,0.729605819,0.001122942,0.092818039
ENSCAFG00000004694,PTCH2,428.8364385,1.082484335,1.608309996,0.001133528,0.093104684
ENSCAFG00000015088,ARRDC2,409.0645618,-0.214542302,0.291581373,0.001151794,0.094127147
ENSCAFG00000019566,DIPK1B,27.87707326,1.049434032,1.575870921,0.001159808,0.094305831
ENSCAFG00000009669,MDM4,540.7247888,-0.319605008,0.534290172,0.001171421,0.094773797
ENSCAFG00000002840,FRRS1L,7.209387338,1.698675161,2.683130291,0.001184942,0.09539078
ENSCAFG00000003059,SNX30,980.3157913,-0.469111277,0.79332177,0.00123021,0.097786072
ENSCAFG00000006097,ASTE1,94.19531331,-0.209272752,0.286135984,0.001238869,0.097786072
ENSCAFG00000031682,NA,76.01814901,0.924784104,1.437019318,0.001235723,0.097786072
ENSCAFG00000046360,NA,31.8156174,1.339583097,2.044491431,0.001232479,0.097786072
ENSCAFG00000022732,MT-ND3,13066.38399,-0.3357634,0.575429795,0.001252737,0.098400667
ENSCAFG00000013241,APOLD1,118.4023565,-0.513969544,0.867835529,0.00126399,0.09880496
ENSCAFG00000017697,ARMCX4,34.96650232,1.860255577,3.252963033,0.001278879,0.0994882
ENSCAFG00000019952,ATP2C2,159.4947093,0.99532109,1.55893773,0.001295112,0.100268926
ENSCAFG00000001702,NMRK1,168.1338076,-0.214019819,0.315611187,0.001350134,0.104031003
ENSCAFG00000004998,GPR39,29.96672113,-1.607732844,2.72244375,0.001365864,0.104744297
ENSCAFG00000015457,TSPAN11,36.10278756,1.304401631,2.099134208,0.001393476,0.106323947
ENSCAFG00000043599,NA,691.6407009,-0.187317801,0.115100722,0.001399605,0.106323947
ENSCAFG00000043687,NA,23.81270408,-1.092742434,1.776510423,0.001456654,0.110140728
ENSCAFG00000005660,TNFAIP6,5.486512226,1.174567858,1.919390409,0.001471231,0.110648773
ENSCAFG00000017628,C20H19orf38,59.43610734,1.353811282,2.258321979,0.001477049,0.110648773
ENSCAFG00000042090,NA,265.8204764,0.586908738,1.021570432,0.001486464,0.110840913
ENSCAFG00000001998,CDK6,4314.664132,-0.925841364,1.534373382,0.001501863,0.11089766
ENSCAFG00000005691,ANK1,113.7393402,0.934825447,1.550215472,0.001507786,0.11089766
ENSCAFG00000020016,ATMIN,1807.411618,0.183333628,0.125720174,0.001498421,0.11089766
ENSCAFG00000020027,MAF,453.6163416,1.238562647,2.077341315,0.001542602,0.112944981
ENSCAFG00000002207,TAC1,37.35493083,1.660765547,3.14804406,0.00155578,0.113396731
ENSCAFG00000009703,FAM160B2,821.7520514,-0.178943773,0.193650208,0.001612022,0.116969173
ENSCAFG00000015799,CRMP1,31.5089418,1.26665226,2.188880173,0.001623872,0.117303035
ENSCAFG00000009428,CNNM1,56.34506952,1.719204077,3.460543599,0.001654677,0.118997024
ENSCAFG00000005505,PGM2L1,72.06655707,-0.27874214,0.517743699,0.00173185,0.121194477
ENSCAFG00000007268,DNMT3B,1098.513825,-0.865856859,1.518326886,0.001744254,0.121194477
ENSCAFG00000011599,TBC1D10C,286.1416682,-0.786890552,1.376943535,0.001693205,0.121194477
ENSCAFG00000012098,PGBD5,16.60658224,1.13560182,2.000205869,0.001751823,0.121194477
ENSCAFG00000016300,PTGER1,11.49533872,-0.731171449,1.303276347,0.001752759,0.121194477
ENSCAFG00000018331,COLEC12,347.3982593,1.201805276,2.142475898,0.001760132,0.121194477
ENSCAFG00000019730,SLC25A33,528.3333328,0.32024635,0.603644142,0.001726906,0.121194477
ENSCAFG00000019780,SLC2A6,428.6092153,0.590083747,1.06863925,0.001706017,0.121194477
ENSCAFG00000023592,SLC8A1,593.556596,1.480651104,2.827707693,0.001713927,0.121194477
ENSCAFG00000031979,PRKG1,64.43087269,1.596431118,3.223968796,0.001748065,0.121194477
ENSCAFG00000020226,LHX2,27.57407558,1.471909303,2.905203409,0.001798617,0.123319556
ENSCAFG00000008824,NR1H3,104.8802469,0.295976742,0.565455172,0.001838761,0.125069323
ENSCAFG00000031321,WNT6,7.206201308,1.099533658,1.973832231,0.001839596,0.125069323
ENSCAFG00000001690,PCSK5,18.79197145,1.16128552,2.128761365,0.001881399,0.126084011
ENSCAFG00000010942,CCDC91,1917.581903,-0.437326883,0.840906627,0.001889407,0.126084011
ENSCAFG00000012547,PLEKHA1,435.4842464,0.186307829,0.276878913,0.001893481,0.126084011
ENSCAFG00000014384,TMEM101,684.745743,0.173300344,0.145617392,0.001881877,0.126084011
ENSCAFG00000015585,LRRC9,6.368787531,1.269713976,2.388759096,0.001873034,0.126084011
ENSCAFG00000045022,NA,14.21931812,-0.220537418,0.392979948,0.00191932,0.127280797
ENSCAFG00000000361,TBC1D30,525.7068384,0.940416057,1.717129906,0.001958096,0.129322277
ENSCAFG00000032204,PRSS53,92.21385747,0.584484174,1.117346525,0.002035471,0.133631266
ENSCAFG00000047873,NA,99.20701346,0.178985097,0.110188818,0.002039857,0.133631266
ENSCAFG00000009667,NUDT18,310.8258041,-0.170038105,0.20433874,0.002071044,0.135127301
ENSCAFG00000002885,HNRNPA2B1,43151.94316,-0.180440531,0.101317288,0.002125413,0.136422992
ENSCAFG00000011298,VWA2,16.72423769,0.944159175,1.785270012,0.002129501,0.136422992
ENSCAFG00000011504,FCGR1A,845.2185602,1.255927273,2.576593043,0.002133058,0.136422992
ENSCAFG00000018825,NA,225.4237276,1.362367583,2.901980612,0.002108698,0.136422992
ENSCAFG00000032751,CLEC2B,188.4581378,-0.997415415,1.888594174,0.002113483,0.136422992
ENSCAFG00000013162,TAGLN,1875.395441,0.843494229,1.598177109,0.002152484,0.137123414
ENSCAFG00000007279,PDE7A,390.1892278,-0.501528677,0.994135217,0.002181254,0.137870583
ENSCAFG00000017868,NA,164.5980803,0.173513464,0.245994271,0.002181027,0.137870583
ENSCAFG00000007501,DBR1,883.1171306,-0.174709209,0.11622309,0.002228913,0.1403348
ENSCAFG00000000656,CTHRC1,271.820947,1.080265833,2.149765641,0.002251787,0.141225456
ENSCAFG00000001065,PITX1,534.2878335,0.947154908,1.844110091,0.002272645,0.141983275
ENSCAFG00000014002,MACROH2A2,88.51206848,0.877175444,1.712231104,0.002316278,0.144152659
ENSCAFG00000004971,ACTR3B,431.9887632,-0.172254107,0.25785464,0.002352802,0.144207143
ENSCAFG00000017179,PHKA1,352.9988882,-0.166065118,0.215783783,0.002348815,0.144207143
ENSCAFG00000032405,NPAS1,924.4494538,0.365423915,0.755078949,0.00232666,0.144207143
ENSCAFG00000047709,NA,59.92173001,0.848245217,1.66243908,0.002345758,0.144207143
ENSCAFG00000012759,SLC17A9,33.04842517,1.094672045,2.271591444,0.002386181,0.145701104
ENSCAFG00000001883,GABRA1,24.78356418,1.126083716,2.389556368,0.002416366,0.145892586
ENSCAFG00000016107,NOTCH3,246.819716,0.799883784,1.582109832,0.002404962,0.145892586
ENSCAFG00000019260,SMG6,927.9048943,-0.201713337,0.376745398,0.002408303,0.145892586
ENSCAFG00000011740,PECAM1,84.60380181,-1.054878664,2.194876786,0.002451966,0.147491651
ENSCAFG00000010055,LZTS1,6.674517768,0.894963992,1.803626186,0.002481905,0.148700394
ENSCAFG00000010461,TM4SF20,5.746160914,0.424620301,0.889465593,0.002501914,0.148700394
ENSCAFG00000012769,MAN1C1,54.83402815,0.627937712,1.275923024,0.002518009,0.148700394
ENSCAFG00000013159,FZD9,161.9914464,0.484182877,1.004698951,0.00251057,0.148700394
ENSCAFG00000019069,SMAD7,345.722588,-0.219777038,0.436835323,0.002497394,0.148700394
ENSCAFG00000010758,MAP2K6,76.19793243,-0.527664884,1.095451449,0.002575851,0.151563102
ENSCAFG00000004175,C5AR1,1033.730905,0.968425031,2.034726554,0.00261215,0.152589171
ENSCAFG00000015050,NDST2,509.2200358,-0.16056448,0.199934612,0.002602957,0.152589171
ENSCAFG00000005852,NA,1122.109219,0.903188505,1.891122042,0.00267635,0.155777022
ENSCAFG00000002180,SEMA4D,3060.651778,-0.743881667,1.547921885,0.002740899,0.158663031
ENSCAFG00000017048,FLVCR2,118.9427154,0.303218708,0.660733105,0.00275535,0.158663031
ENSCAFG00000038670,NA,3.722615639,-0.555880797,1.173015336,0.002748053,0.158663031
ENSCAFG00000031922,GPX3,22.93867828,0.710871432,1.503215412,0.002858178,0.164000639
ENSCAFG00000005702,TOP2B,5118.092105,-0.181841908,0.341481675,0.002869491,0.16406797
ENSCAFG00000017462,NSMCE1,998.2305655,-0.155816252,0.176786664,0.002907137,0.165635128
ENSCAFG00000000995,SEPTIN3,24.74770717,0.806918992,1.748215953,0.002973896,0.166609602
ENSCAFG00000005874,MAP4K1,1206.129783,-0.780694582,1.685562657,0.002975723,0.166609602
ENSCAFG00000010628,SORCS1,68.93769067,0.969189586,2.208715918,0.002959986,0.166609602
ENSCAFG00000013332,ATF2,711.6002968,-0.154918102,0.18092356,0.002971416,0.166609602
ENSCAFG00000016072,NA,102.0660283,1.007155318,2.331866957,0.002943513,0.166609602
