gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000009257,MED13L,2649.28918,-0.082546571,0.305926808,0.003492894,0.363151114
ENSCAFG00000012205,INPP5F,909.3548179,-0.082687116,0.305874962,0.003475855,0.363151114
ENSCAFG00000014179,ASTN1,77.0195823,-0.392527625,1.345796145,0.003525505,0.363151114
ENSCAFG00000031840,NA,63.34813424,-0.11228518,0.414561104,0.003520087,0.363151114
ENSCAFG00000013108,AP3B2,20.35622913,0.204127434,0.696788655,0.003557138,0.363916945
ENSCAFG00000005949,NA,384.3318063,-0.062357645,0.208465633,0.003620673,0.366830371
ENSCAFG00000009480,PKIG,1314.420707,-0.21305538,0.72729625,0.003634399,0.366830371
ENSCAFG00000002950,HOXA5,244.6603586,-0.264858742,0.912217759,0.004054953,0.388679315
ENSCAFG00000003556,SUGCT,73.83469096,-0.181919742,0.655843565,0.004052502,0.388679315
ENSCAFG00000005807,NUMA1,7652.369877,-0.073067205,0.146125793,0.003935943,0.388679315
ENSCAFG00000009819,CTSA,6509.864342,0.124241299,0.469740681,0.003958834,0.388679315
ENSCAFG00000011974,EPB42,18.2580013,-0.175298705,0.633276673,0.004005159,0.388679315
ENSCAFG00000016307,EFHD2,951.7840174,0.158525857,0.582285851,0.004030163,0.388679315
ENSCAFG00000017628,C20H19orf38,63.20726109,0.336265749,1.16981745,0.004057627,0.388679315
ENSCAFG00000018171,CCL5,87.15002412,0.340329234,1.178646559,0.004005262,0.388679315
ENSCAFG00000006315,NA,17.22311498,-0.075130986,0.295675372,0.004124184,0.39255443
ENSCAFG00000014309,RASGRP2,183.729089,-0.296884812,1.037272698,0.004242781,0.401302995
ENSCAFG00000010171,PHKG1,91.84451189,-0.15552789,0.582672717,0.004277854,0.402091568
ENSCAFG00000004946,WBP2,5096.274911,-0.053917906,0.156164493,0.004671038,0.412761049
ENSCAFG00000007065,ITGB7,814.267522,0.218645461,0.804591329,0.004693273,0.412761049
ENSCAFG00000009521,AMPD1,48.44178304,0.239336606,0.866070501,0.004574757,0.412761049
ENSCAFG00000009661,PIK3C2B,2043.718779,-0.143232925,0.550212849,0.004479667,0.412761049
ENSCAFG00000010928,ACSL5,960.5650886,0.277752175,1.007128845,0.004650553,0.412761049
ENSCAFG00000015293,YDJC,29.75910531,0.265821634,0.949133741,0.004480726,0.412761049
ENSCAFG00000016641,CD68,194.7961555,0.191339645,0.709492496,0.004568959,0.412761049
ENSCAFG00000017007,ASPHD1,12.68646265,0.178745868,0.672614656,0.00465466,0.412761049
ENSCAFG00000020084,NA,9.760607463,-0.127876242,0.499487247,0.004491904,0.412761049
ENSCAFG00000023682,PCDHGA1,36.59398535,-0.089375092,0.366546026,0.004642254,0.412761049
ENSCAFG00000024792,NA,2225.619969,0.302477358,1.108844816,0.004638158,0.412761049
ENSCAFG00000000287,CYP27B1,78.2202762,0.121863239,0.487546584,0.004774695,0.414080814
ENSCAFG00000001084,CXCL14,322.2519909,0.260642452,0.964946998,0.004906457,0.414080814
ENSCAFG00000002703,NA,1576.077092,0.06514208,0.135413493,0.004857757,0.414080814
ENSCAFG00000003059,SNX30,996.0290675,-0.09333779,0.388698088,0.00492855,0.414080814
ENSCAFG00000004854,ATP6V0B,2955.226688,0.052074828,0.19736309,0.004920678,0.414080814
ENSCAFG00000011850,KLHL24,133.5734315,-0.086442312,0.361222049,0.004888643,0.414080814
ENSCAFG00000012120,TRAF5,233.5776416,-0.206885011,0.772182126,0.00481584,0.414080814
ENSCAFG00000016774,VPS13C,2972.792144,-0.06475639,0.266069166,0.004756255,0.414080814
ENSCAFG00000019566,DIPK1B,29.23457555,0.195972625,0.744356548,0.004992537,0.417126497
ENSCAFG00000011796,MCF2L2,90.99155263,-0.111983921,0.462928677,0.005148908,0.421060484
ENSCAFG00000017484,CYFIP2,2283.228157,-0.120693596,0.493335269,0.005123198,0.421060484
ENSCAFG00000029554,NA,74.44421238,-0.050903035,0.15250752,0.005094589,0.421060484
ENSCAFG00000046073,NA,10.34038587,0.134082038,0.541008675,0.005151614,0.421060484
ENSCAFG00000006908,ANKRD55,132.3944442,-0.246219489,0.933001095,0.005200884,0.422789712
ENSCAFG00000008495,GINS3,451.4380843,0.061426192,0.120106024,0.005271703,0.426242702
ENSCAFG00000012691,KMT2A,2541.475014,-0.055395836,0.232787998,0.0053651,0.431474576
ENSCAFG00000000564,SCO2,559.2099006,0.051594233,0.144084747,0.005399101,0.431899359
ENSCAFG00000005072,FBXL3,797.5514887,-0.047020815,0.168675714,0.005462083,0.432565739
ENSCAFG00000015163,CFP,25.53223947,0.202604726,0.789441635,0.005464957,0.432565739
ENSCAFG00000023702,LEMD3,562.9409203,0.049929224,0.145220674,0.005496643,0.432795907
