cytokine,treatment,donor_1_modz,donor_2_modz,donor_3_modz,,mean
il.10,CMT27,2.569102773,3.474631354,0.198668941,,2.080801023
il.10,CTAC ,-0.243358926,0.227239255,-0.74102372,,-0.25238113
il.10,DEN-HSA ,0.226697922,1.648176297,-0.628847646,,0.415342191
il.10,DH82 ,0.350001382,9.312599073,-0.118972802,,3.181209218
il.10,Gracie ,-0.140205056,5.553347245,-0.18555667,,1.742528506
il.10,HMPOS ,1.02792982,-0.541392411,-0.779999643,,-0.097820745
il.10,Jones ,-0.53134769,0.195481095,-0.739219279,,-0.358361958
il.10,MacKinley,0.249915062,-0.409728375,-0.80117175,,-0.320328354
il.10,Nike ,1.432846353,117.753481,0,,39.72877578
il.10,Moresco ,0.298815409,-0.924956394,-0.639493847,,-0.421878277
il.10,OS2.4 ,-0.236321607,-0.02045033,-0.824990369,,-0.360587435
il.10,OSA8 ,0.476913724,117.753481,-0.416224362,,39.27139012
il.10,Parks ,0.040780364,1.518617442,-0.618381889,,0.313671972
il.10,STSA-1 ,-0.407262306,3.488705993,-0.310544275,,0.923633137
il.10,Vogel ,-0.742226681,1.812861602,-0.643583913,,0.142350336
il.10,Yamane,-0.542414928,3.136118245,-0.693326333,,0.633458995
ccl2,D-17 ,-0.811718958,0.698164725,-0.1463621,,-0.086638778
ccl2,1771 ,-0.903686905,0.824875344,-0.36457994,,-0.147797167
ccl2,17CM98 ,-0.800886784,0.498017488,0.121405057,,-0.06048808
ccl2,Abrams ,-0.754120882,0.744439988,0.719057285,,0.236458797
ccl2,Bliley ,-0.731046344,0.954245014,0.755456491,,0.326218387
ccl2,CLL1390 ,-0.774207669,0.950731409,0.118896127,,0.098473289
ccl2,CML-10C2 ,-0.6745,0.357881127,0.620943584,,0.10144157
ccl2,CML-6M ,-0.503880758,0.612106552,-0.0660677,,0.014052698
ccl2,CMT12,-0.522255491,0.402131981,0.294876564,,0.058251018
ccl2,CMT27,-0.571714947,0.83047295,0.535442309,,0.264733437
ccl2,CTAC ,-0.610244645,1.815674533,-0.41053744,,0.264964149
ccl2,DEN-HSA ,-0.411696888,1.360028606,-0.007030759,,0.313766986
ccl2,DH82 ,-0.793293402,1.173412217,0.589928817,,0.323349211
ccl2,Gracie ,-1.049864692,0.828232529,0.584627428,,0.120998422
ccl2,HMPOS ,-0.710433804,3.192683953,-0.109257947,,0.790997401
ccl2,Jones ,-0.534998685,1.41436026,-0.214079225,,0.221760783
ccl2,MacKinley,-0.923482336,1.395234467,-0.464071181,,0.002560317
ccl2,Nike ,-0.725849077,0.245771136,-0.091516341,,-0.190531427
ccl2,Moresco ,-0.396406225,0.819289208,0,,0.140960994
ccl2,OS2.4 ,-0.632064909,2.268720656,-0.005470765,,0.543728327
ccl2,OSA8 ,-0.748399962,0.260059876,0.518961221,,0.010207045
ccl2,Parks ,-0.840313253,2.217695159,0.363004126,,0.580128677
ccl2,STSA-1 ,-1.021589219,2.057203424,0.568803427,,0.534805877
ccl2,Vogel ,-1.129356557,2.277592402,-0.610393163,,0.179280894
ccl2,Yamane,-1.083366129,1.5103892,-0.203676593,,0.074448826
tnf.a,D-17 ,-0.282108914,-0.71149789,-0.509432489,,-0.501013098
tnf.a,1771 ,0.536469409,-0.697267932,-0.6745,,-0.278432841
tnf.a,17CM98 ,0.127002373,4.654619198,-0.36072943,,1.473630714
tnf.a,Abrams ,0,8.524811973,0.576313291,,3.033708421
tnf.a,Bliley ,0.223410338,-0.682682226,-0.349701213,,-0.2696577
tnf.a,CLL1390 ,-0.567419568,-0.682682226,-0.6745,,-0.641533931
tnf.a,CML-10C2 ,-0.586985759,7.748212025,-0.6745,,2.162242089
tnf.a,CML-6M ,0.029882911,10.48249842,0.569554061,,3.693978464
tnf.a,CMT12,1.447542458,6.191454641,2.558546414,,3.399181171
tnf.a,CMT27,0.679480485,1.806137395,1.660991825,,1.382203235
tnf.a,CTAC ,-0.6577798,0.150126055,-0.6745,,-0.394051248
tnf.a,DEN-HSA ,1.573121835,1.839222046,-0.6745,,0.912614627
tnf.a,DH82 ,0.442551688,7.808689346,1.928515032,,3.393252022
tnf.a,Gracie ,-0.359662184,7.481756065,-0.119175897,,2.334305995
tnf.a,HMPOS ,1.162943302,-0.091783228,-0.6745,,0.132220025
tnf.a,Jones ,-0.563506329,0.481684072,-0.6745,,-0.252107419
tnf.a,MacKinley,0.572400053,-0.471011603,-0.6745,,-0.191037183
tnf.a,Nike ,0.640348101,34.61615111,1.127368407,,12.12795587
tnf.a,Moresco ,-0.007470728,-0.682682226,-0.595879483,,-0.428677479
