"Cytokine","Collection","ID","Description","setSize","enrichmentScore","NES","pvalue","p_adjust","qvalue","rank","leading_edge","core_enrichment"
"TNFA","C7","GSE8685_IL2_STARVED_VS_IL2_ACT_IL2_STARVED_CD4_TCELL_DN","GSE8685_IL2_STARVED_VS_IL2_ACT_IL2_STARVED_CD4_TCELL_DN",168,0.676251967,1.373500568,0.118483412,0.723052897,0.69057167,304,"tags=4%, list=3%, signal=4%","RNF144B/DEPTOR/MMP2/GLIPR1/TBC1D2B/POLR1A/EEPD1"
"TNFA","C7","GSE15330_HSC_VS_PRO_BCELL_DN","GSE15330_HSC_VS_PRO_BCELL_DN",166,0.678311857,1.37251073,0.117834395,0.723052897,0.69057167,11,"tags=2%, list=0%, signal=2%","SMPDL3A/STAB1/PYCARD"
"TNFA","C7","GSE360_L_DONOVANI_VS_M_TUBERCULOSIS_DC_DN","GSE360_L_DONOVANI_VS_M_TUBERCULOSIS_DC_DN",145,0.693881438,1.38807919,0.119402985,0.726546479,0.693908312,273,"tags=6%, list=2%, signal=6%","CCL7/OASL/EPB41L3/ALDH3B1/SLC7A7/ADAM19/ST3GAL5/BRSK2/CUL2"
"TNFA","C6","KRAS.DF.V1_UP","KRAS.DF.V1_UP",147,-0.391771976,-0.918806301,0.537234043,0.726618705,0.679425105,225,"tags=2%, list=2%, signal=2%","CCNG2/SUGCT/IL1RL1"
"TNFA","C7","GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_UP","GSE29618_BCELL_VS_MDC_DAY7_FLU_VACCINE_UP",131,-0.629621274,-1.449396001,0.119804401,0.727251268,0.69458144,240,"tags=12%, list=2%, signal=12%","TRAF5/SRSF10/PIK3IP1/ATP2A3/FCMR/PIK3C2B/ZBED5/PKIG/LBH/CYFIP2/SKAP1/ZNF395/STAP1/RASGRP2/PDCD4/SPOCK2"
"TNFA","C7","GSE22886_NAIVE_CD8_TCELL_VS_MEMORY_TCELL_UP","GSE22886_NAIVE_CD8_TCELL_VS_MEMORY_TCELL_UP",134,-0.628453165,-1.447721014,0.119804401,0.727251268,0.69458144,779,"tags=13%, list=7%, signal=13%","GTF2H3/UBQLN4/NAT10/CCHCR1/TLL2/IP6K1/ATP8A1/PCCB/INTS14/CD79A/KLRG1/EIF4G3/CBLB/MPHOSPH9/SUGCT/LBH/SCN2B/SLC14A1"
"TNFA","C7","GSE19888_CTRL_VS_A3R_INHIBITOR_TREATED_MAST_CELL_UP","GSE19888_CTRL_VS_A3R_INHIBITOR_TREATED_MAST_CELL_UP",159,-0.618134004,-1.422199407,0.120104439,0.72820465,0.695491994,3,"tags=12%, list=0%, signal=12%","ROMO1/CLN6/WDR5/METAP2/HSDL2/REXO5/BRCA2/STIL/CHID1/COMTD1/XRCC5/KIF20B/FANCC/HINT2/DPF3/COMMD7/GGCT/ZDHHC13/MFNG"
"TNFA","C7","GSE5099_CLASSICAL_M1_VS_ALTERNATIVE_M2_MACROPHAGE_UP","GSE5099_CLASSICAL_M1_VS_ALTERNATIVE_M2_MACROPHAGE_UP",140,-0.626103107,-1.440201201,0.120481928,0.729129448,0.696375247,402,"tags=8%, list=3%, signal=8%","RPL12/TXK/UBALD2/CBLB/CFP/LPIN1/SLA2/SFMBT2/TES/NMRK1/MFNG"
"TNFA","C7","GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_DN","GSE10463_CD40L_AND_VA347_VS_CD40L_IN_DC_DN",93,0.736097823,1.433467803,0.120543294,0.729129448,0.696375247,358,"tags=6%, list=3%, signal=6%","KLHL13/ALDH3A1/NPNT/GRPEL1/ATP6V0E2/WDR75"
"TNFA","C7","GSE9650_NAIVE_VS_EXHAUSTED_CD8_TCELL_DN","GSE9650_NAIVE_VS_EXHAUSTED_CD8_TCELL_DN",139,-0.628470117,-1.445439445,0.121065375,0.730571992,0.697752989,21,"tags=6%, list=0%, signal=7%","HASPIN/TRPC1/FRMD5/AUH/MYCL/OSBPL9/ETV1/SPOCK2/SYT1"
"TNFA","C7","GSE25123_WT_VS_PPARG_KO_MACROPHAGE_IL4_STIM_DN","GSE25123_WT_VS_PPARG_KO_MACROPHAGE_IL4_STIM_DN",154,-0.619760689,-1.438876522,0.121212121,0.730571992,0.697752989,55,"tags=5%, list=0%, signal=5%","RILPL2/GABARAPL1/ATP10D/STAP1/CD38/GPR15/IL1RL1"
"TNFA","C7","GSE17721_POLYIC_VS_PAM3CSK4_6H_BMDC_DN","GSE17721_POLYIC_VS_PAM3CSK4_6H_BMDC_DN",157,-0.618145988,-1.423917732,0.121134021,0.730571992,0.697752989,357,"tags=4%, list=3%, signal=4%","NUCKS1/RIC8A/LPIN1/CYFIP2/CD38/SLC14A1"
"TNFA","C7","GSE7460_FOXP3_MUT_VS_WT_ACT_TCONV_UP","GSE7460_FOXP3_MUT_VS_WT_ACT_TCONV_UP",154,0.683651537,1.379617221,0.122112211,0.735127059,0.702103432,349,"tags=5%, list=3%, signal=5%","SPP1/BASP1/MAF/CEBPB/EBI3/PDCD1/MAP2K3/MRPL35"
"TNFA","C6","SRC_UP.V1_DN","SRC_UP.V1_DN",111,0.476823171,0.940184839,0.548599671,0.736690986,0.688843195,294,"tags=8%, list=2%, signal=8%","SEMA6B/COL8A1/SLC2A6/COBL/GFRA3/SERPINB2/RAB33B/POLR1A/NID2"
"TNFA","C7","GSE9960_GRAM_NEG_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_UP","GSE9960_GRAM_NEG_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_UP",99,-0.667660052,-1.502919716,0.124390244,0.736773992,0.703676381,99,"tags=4%, list=1%, signal=4%","OTUD5/TSPAN33/CARMIL2/ASIC4"
"TNFA","C7","HARALAMBIEVA_PBMC_DRYVAX_AGE_18_40YO_STIMULATED_VS_UNSTIMULATED_9_TO_34MO_UP","HARALAMBIEVA_PBMC_DRYVAX_AGE_18_40YO_STIMULATED_VS_UNSTIMULATED_9_TO_34MO_UP",11,-0.729198418,-1.459035757,0.125237192,0.736773992,0.703676381,1156,"tags=45%, list=10%, signal=41%","RSRC1/CCAR2/NFE2L3/TNK2/IKZF2"
"TNFA","C7","GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_28DY_DN","GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_28DY_DN",11,-0.726195581,-1.453027452,0.125237192,0.736773992,0.703676381,1577,"tags=27%, list=13%, signal=24%","EIF3F/ANAPC16/NAP1L1"
