"cytokine","gene","Hugo_Symbol","baseMean","log2FoldChange","lfcSE","conf.low","conf.high","stat","pvalue","padj"
"TNF-alpha","ENSCAFG00000000885","DEPTOR",386.6662136,2.110610522,1.953326563,-1.71790954148,5.93913058548,1.08052107721221,0.000296993,0.059043975
"TNF-alpha","ENSCAFG00000015113","QDPR",7554.341814,0.220180397,0.151045341,-0.07586847136,0.51622926536,1.45771061551643,0.00029737,0.059043975
"TNF-alpha","ENSCAFG00000006331","VEZT",675.6646895,-0.289126756,0.342686724,-0.96079273504,0.38253922304,-0.843705739823174,0.000324999,0.063669499
"TNF-alpha","ENSCAFG00000024792","NA",2095.162844,2.382970108,2.348543512,-2.22017517552,6.98611539152,1.01465870051974,0.000334151,0.064601126
"TNF-alpha","ENSCAFG00000029969","RGS4",275.6566116,-2.49196982,2.632858156,-7.65237180576,2.66843216576,-0.946488444248722,0.000360095,0.068712677
"TNF-alpha","ENSCAFG00000010570","NA",171.0386022,-1.243201981,1.351235837,-3.89162422152,1.40522025952,-0.920048112223062,0.000384985,0.071824705
"TNF-alpha","ENSCAFG00000041406","NA",11.11323751,1.396414223,1.486045109,-1.51623419064,4.30906263664,0.939684949361789,0.000386181,0.071824705
"TNF-alpha","ENSCAFG00000001903","ATP10D",2862.730582,-0.58681905,0.750819906,-2.05842606576,0.88478796576,-0.781570980351711,0.000394689,0.072312011
"TNF-alpha","ENSCAFG00000004944","PCDH9",171.8798081,1.607357776,1.695183521,-1.71520192516,4.92991747716,0.948191010641614,0.000401134,0.072312011
"TNF-alpha","ENSCAFG00000009496","NAB1",944.9609033,0.52489615,0.687232193,-0.82207894828,1.87187124828,0.763782831110765,0.000403565,0.072312011
"TNF-alpha","ENSCAFG00000030814","DOC2B",49.73272794,1.95406048,2.179968899,-2.31867856203999,6.22679952203999,0.896370806435069,0.000469384,0.083092256
"TNF-alpha","ENSCAFG00000006231","DCLK1",204.7504819,1.899273997,2.146692444,-2.30824319324,6.10679118724,0.884744343470563,0.000486866,0.085160951
"TNF-alpha","ENSCAFG00000023324","S100A12",22.03082937,1.866899512,2.136698368,-2.32102928927999,6.05482831327999,0.873730957986111,0.000502734,0.086901984
"TNF-alpha","ENSCAFG00000003029","CXCL8",5127.07566,1.939153426,2.284215542,-2.53790903632,6.41621588832,0.848936271706709,0.000525538,0.089787522
"TNF-alpha","ENSCAFG00000002756","STAP1",126.4105228,-1.405953925,1.67965342,-4.6980746282,1.8861667782,-0.837050017735206,0.000551392,0.093121953
"TNF-alpha","ENSCAFG00000014309","RASGRP2",289.3571801,-1.77611091,2.18081989,-6.05051789439999,2.4982960744,-0.814423473549665,0.000592893,0.098011411
"TNF-alpha","ENSCAFG00000025434","MANSC4",29.61303073,-1.062603848,1.355073669,-3.71854823924,1.59334054324,-0.78416684812728,0.000593685,0.098011411
"TNF-alpha","ENSCAFG00000001021","JADE2",1855.333526,-0.703813074,0.992023173,-2.64817849308,1.24055234507999,-0.709472412697359,0.000646524,0.102325854
"TNF-alpha","ENSCAFG00000012093","CTSK",4169.699436,1.187751218,1.521228919,-1.79385746323999,4.16935989924,0.780784011640262,0.000637182,0.102325854
"TNF-alpha","ENSCAFG00000015489","SCG3",88.21095896,1.356751775,1.726202851,-2.02660581296,4.74010936296,0.785974704081866,0.000653836,0.102325854
"TNF-alpha","ENSCAFG00000028815","ZBED5",911.9995055,-0.209711111,0.240947221,-0.68196766416,0.26254544216,-0.870361194163762,0.00065464,0.102325854
"TNF-alpha","ENSCAFG00000029396","BASP1",1104.379826,1.888660802,2.475420954,-2.96316426784,6.74048587184,0.762965506512392,0.000631371,0.102325854
"TNF-alpha","ENSCAFG00000049626","NA",36.86373245,-0.959592358,1.300416526,-3.50840874896,1.58922403295999,-0.737911537429969,0.000685595,0.106036263
"TNF-alpha","ENSCAFG00000003074","NOD1",1039.505919,-0.524457172,0.802145273,-2.09666190708,1.04774756308,-0.653818191857623,0.000732963,0.110286741
"TNF-alpha","ENSCAFG00000007069","MSL2",493.6521427,-0.23952961,0.342589934,-0.91100588064,0.431946660639999,-0.699172936003426,0.000735675,0.110286741
"TNF-alpha","ENSCAFG00000008977","LRP4",249.6764556,0.733532832,1.07130662,-1.3662281432,2.8332938072,0.684708577643252,0.000755035,0.110286741
"TNF-alpha","ENSCAFG00000015298","CD38",48.25178372,-1.411932399,1.896275076,-5.12863154795999,2.30476674996,-0.744582058199239,0.000758113,0.110286741
"TNF-alpha","ENSCAFG00000031675","COL8A1",449.0373543,1.517182621,2.017227757,-2.43658378272,5.47094902471999,0.752112703057555,0.000734809,0.110286741
"TNF-alpha","ENSCAFG00000048755","NA",44.06899223,-0.315101125,0.497486362,-1.29017439452,0.65997214452,-0.633386458541751,0.000756495,0.110286741
"TNF-alpha","ENSCAFG00000014645","SLC11A1",5496.958275,1.419719971,1.92358723,-2.3505109998,5.1899509418,0.73805853400264,0.000774384,0.11046631
"TNF-alpha","ENSCAFG00000019054","NA",9.93378251,1.152831786,1.578855897,-1.94172577212,4.24738934412,0.730169097883161,0.00077231,0.11046631
"TNF-alpha","ENSCAFG00000002727","ABCA1",2165.839022,1.10833329,1.545047073,-1.91995897308,4.13662555308,0.717345969173587,0.000803426,0.113507149
"TNF-alpha","ENSCAFG00000024903","MAFB",994.6899577,1.381469175,1.912110205,-2.36626682679999,5.1292051768,0.722484076172795,0.00081674,0.114289165
"TNF-alpha","ENSCAFG00000019917","MTHFSD",400.8195764,0.200215372,0.248838179,-0.287507458839999,0.68793820284,0.804600695940633,0.000842844,0.116829299
"TNF-alpha","ENSCAFG00000046360","NA",31.81157335,1.458105422,2.072587403,-2.60416588788,5.52037673188,0.703519388320821,0.000856365,0.117594058
"TNF-alpha","ENSCAFG00000045552","NA",7.457614138,0.901122736,1.337716358,-1.72080132568,3.52304679768,0.673627657022341,0.000896635,0.121983858
"TNF-alpha","ENSCAFG00000002993","SMAP2",3083.858562,-0.479180603,0.79183495,-2.031177105,1.072815899,-0.605152125452406,0.000933979,0.12589871
"TNF-alpha","ENSCAFG00000004694","PTCH2",428.8355447,1.0870817,1.609236531,-2.06702190076,4.24118530076,0.675526362382833,0.000953311,0.127336396
"TNF-alpha","ENSCAFG00000015457","TSPAN11",36.0955053,1.40233583999999,2.117418121,-2.74780367716,5.55247535716,0.662285746065927,0.000975464,0.129121505
"TNF-alpha","ENSCAFG00000019566","DIPK1B",27.87682734,1.044145204,1.573205382,-2.03933734472,4.12762775272,0.663705588568854,0.000992987,0.130267466
"TNF-alpha","ENSCAFG00000003480","STK17A",1239.371219,0.437725809,0.755839628,-1.04371986188,1.91917147988,0.579125244012741,0.001056667,0.13115068
"TNF-alpha","ENSCAFG00000006556","APAF1",438.575028,-0.202214307,0.2922653,-0.775054295,0.370625681,-0.691886128801469,0.001041393,0.13115068
"TNF-alpha","ENSCAFG00000007168","ZSWIM6",220.0583611,0.224068312,0.357432589,-0.47649956244,0.92463618644,0.626882715498557,0.001056465,0.13115068
"TNF-alpha","ENSCAFG00000013241","APOLD1",118.4058856,-0.508066301,0.871566123,-2.21633590208,1.20020330008,-0.582934888808201,0.001098011,0.13115068
"TNF-alpha","ENSCAFG00000014477","C27H12orf57",677.0169736,-0.410161587,0.720540035,-1.8224200556,1.0020968816,-0.569241911728055,0.001100495,0.13115068
"TNF-alpha","ENSCAFG00000017628","C20H19orf38",59.44366617,1.384449978,2.226814187,-2.98010582852,5.74900578452,0.621717782328822,0.001078591,0.13115068
"TNF-alpha","ENSCAFG00000019952","ATP2C2",159.4922147,0.997540851,1.559565158,-2.05920685868,4.05428856068,0.639627556362733,0.001092451,0.13115068
"TNF-alpha","ENSCAFG00000023592","SLC8A1",593.7382633,1.36411679,2.548547004,-3.63103533784,6.35926891784,0.535252749060146,0.001079246,0.13115068
"TNF-alpha","ENSCAFG00000031326","CEBPB",1432.917555,0.5001893,0.841809668,-1.14975764928,2.15013624928,0.594183363548635,0.001017558,0.13115068
"TNF-alpha","ENSCAFG00000031682","NA",76.01248106,0.923745031,1.438284742,-1.89529306331999,3.74278312532,0.642254627352502,0.001054157,0.13115068
"TNF-alpha","ENSCAFG00000045317","NA",157.0706281,-0.406290868,0.715432539,-1.80853864444,0.99595690844,-0.567895428083122,0.001106832,0.13115068
"TNF-alpha","ENSCAFG00000046073","NA",9.734105682,0.573455995,0.957695329,-1.30362684984,2.45053883984,0.598787503327167,0.001058867,0.13115068
"TNF-alpha","ENSCAFG00000014993","FGFR3",445.1653889,0.267945669,0.468225352,-0.649776020919999,1.18566735892,0.572257926349959,0.001125453,0.132290237
"TNF-alpha","ENSCAFG00000003059","SNX30",980.3549717,-0.439915408,0.781886125,-1.972412213,1.09258139699999,-0.562633603454723,0.001173827,0.134742501
"TNF-alpha","ENSCAFG00000005072","FBXL3",819.1481609,-0.198911011,0.301204661,-0.789272146559999,0.391450124559999,-0.660384903539059,0.001170878,0.134742501
"TNF-alpha","ENSCAFG00000043687","NA",23.81206232,-1.121149034,1.782955771,-4.61574234515999,2.37344427715999,-0.628814832221657,0.001157393,0.134742501
"TNF-alpha","ENSCAFG00000016833","SNX11",581.9689841,0.205275686,0.325713085,-0.4331219606,0.8436733326,0.630234692597627,0.001203337,0.136832847
"TNF-alpha","ENSCAFG00000020027","MAF",453.7192313,1.243301498,2.051340546,-2.77732597216,5.26392896816,0.606092196843848,0.001210663,0.136832847
"TNF-alpha","ENSCAFG00000005691","ANK1",113.7304707,0.951982236,1.558445099,-2.10257015804,4.00653463004,0.610853880326521,0.001233261,0.137275057
"TNF-alpha","ENSCAFG00000009669","MDM4",540.6871028,-0.284876581,0.517629747,-1.29943088512,0.72967772312,-0.550348164206258,0.001231778,0.137275057
"TNF-alpha","ENSCAFG00000001998","CDK6",4314.846326,-0.92659843,1.53413247,-3.9334980712,2.0803012112,-0.603988539529444,0.001266521,0.138945609
"TNF-alpha","ENSCAFG00000018041","WDR20",472.1110238,-0.185812139,0.099332037,-0.38050293152,0.00887865352,-1.87061641552765,0.001270124,0.138945609
"TNF-alpha","ENSCAFG00000018331","COLEC12",347.4023297,1.237112408,2.122668054,-2.92331697784,5.39754179383999,0.582810112805325,0.001284468,0.138945609
"TNF-alpha","ENSCAFG00000022732","MT-ND3",13066.46045,-0.302205772,0.559325425,-1.398483605,0.794072061,-0.54030401353559,0.001286096,0.138945609
"TNF-alpha","ENSCAFG00000042090","NA",265.7925568,0.567607727,1.014952696,-1.42169955716,2.55691501116,0.55924549906314,0.001339532,0.143662356
"TNF-alpha","ENSCAFG00000015088","ARRDC2",409.0522908,-0.183375653,0.27860848,-0.7294482738,0.362696967799999,-0.6581840330201,0.001407575,0.149865985
"TNF-alpha","ENSCAFG00000011599","TBC1D10C",286.1322964,-0.783463214,1.376678718,-3.48175350128,1.91482707328,-0.569096626363334,0.001445134,0.152757988
"TNF-alpha","ENSCAFG00000007268","DNMT3B",1098.744253,-0.865370968,1.516999328,-3.83868965088,2.10794771488,-0.570449143930009,0.001469474,0.154221305
"TNF-alpha","ENSCAFG00000000361","TBC1D30",525.5886453,0.972584839,1.728425386,-2.41512891756,4.36029859556,0.562699927273574,0.00152634,0.157300395
"TNF-alpha","ENSCAFG00000006097","ASTE1",94.19043042,-0.176992295,0.271726311,-0.70957586456,0.355591274559999,-0.651362373958699,0.001552342,0.157300395
"TNF-alpha","ENSCAFG00000015830","RNF167",314.0515772,0.168394933,0.13609264,-0.0983466413999999,0.4351365074,1.23735517953064,0.00153471,0.157300395
"TNF-alpha","ENSCAFG00000016300","PTGER1",11.49645797,-0.712507307,1.294012704,-3.24877220684,1.82375759284,-0.550618479090294,0.001551935,0.157300395
"TNF-alpha","ENSCAFG00000019780","SLC2A6",428.614762,0.575588032,1.064180666,-1.51020607335999,2.66138213735999,0.540874355633144,0.001511415,0.157300395
"TNF-alpha","ENSCAFG00000000656","CTHRC1",271.7744898,1.114319775,2.117581969,-3.03614088424,5.26478043424,0.526222734851781,0.001567954,0.157794196
"TNF-alpha","ENSCAFG00000011298","VWA2",16.72354897,0.997834976,1.806771437,-2.54343704052,4.53910699252,0.552275155321707,0.001580724,0.157997167
"TNF-alpha","ENSCAFG00000001702","NMRK1",168.1248313,-0.182435823,0.300591601,-0.771595360959999,0.40672371496,-0.606922556695122,0.001611068,0.159942029
"TNF-alpha","ENSCAFG00000032751","CLEC2B",188.455243,-1.014743451,1.878539833,-4.69668152368,2.66719462168,-0.54017670169893,0.001637299,0.161455223
"TNF-alpha","ENSCAFG00000047709","NA",59.9175701,0.93433142,1.713192329,-2.42352554484,4.29218838484,0.545374505934995,0.001649205,0.161545084
"TNF-alpha","ENSCAFG00000019730","SLC25A33",528.3784592,0.291452565,0.588286307,-0.861588596719999,1.44449372671999,0.495426396181613,0.001708006,0.166196944
"TNF-alpha","ENSCAFG00000001065","PITX1",534.2373308,0.967402828,1.838114903,-2.63530238188,4.57010803788,0.52630160738107,0.001753163,0.168360937
"TNF-alpha","ENSCAFG00000010942","CCDC91",1917.464988,-0.414693782,0.830010706,-2.04151476576,1.21212720176,-0.499624618094986,0.001743264,0.168360937
"TNF-alpha","ENSCAFG00000005505","PGM2L1",72.06060059,-0.247007964,0.499228039,-1.22549492044,0.73147899244,-0.494779829463865,0.001799028,0.169179221
"TNF-alpha","ENSCAFG00000013162","TAGLN",1875.086612,0.839100933,1.589686218,-2.27668405428,3.95488592028,0.527840603698308,0.001800971,0.169179221
