"Cytokine","Collection","ID","Description","setSize","enrichmentScore","NES","pvalue","p_adjust","qvalue","rank","leading_edge","core_enrichment"
"TGFB","C7","GSE8685_IL2_STARVED_VS_IL21_ACT_IL2_STARVED_CD4_TCELL_UP","GSE8685_IL2_STARVED_VS_IL21_ACT_IL2_STARVED_CD4_TCELL_UP",171,-0.40550257,-0.856789232,0.648124191,0.870601834,0.777385698,2061,"tags=20%, list=17%, signal=17%","DNPH1/TRIM35/CHEK1/GLA/RERE/SNX8/PUS10/SSBP1/NCOR1/PLCB1/LTBR/ZNF280D/CPSF7/CFAP69/NKRF/ERMP1/SPAG4/MGAT2/RFX5/SETDB1/SLC7A7/PRPF3/INO80D/FNBP4/PAXBP1/MEGF8/TIMELESS/ZRANB2/PXK/CCNE2/UNC93B1/FBF1/IL6R/ASS1"
"TGFB","C7","GSE40274_CTRL_VS_FOXP3_TRANSDUCED_ACTIVATED_CD4_TCELL_UP","GSE40274_CTRL_VS_FOXP3_TRANSDUCED_ACTIVATED_CD4_TCELL_UP",159,0.329000922,0.843598755,0.648305085,0.870615289,0.777397713,1516,"tags=21%, list=13%, signal=19%","SERPINF1/DDIAS/DNASE1/PPP6C/GNB4/SPC25/MASTL/KIF20A/POLR3K/RAB9A/AARS1/CENPP/ECT2/CENPL/IGF2BP3/PTRHD1/RRM1/CS/MCM10/EIF2A/ANAPC15/EIF4E/SMAGP/USP6NL/CEP55/UXS1/XPNPEP1/FH/VDAC3/EFNB1/TRMT10A/SLC25A40/PPP2R2D/ESCO2"
"TGFB","C7","GSE36891_UNSTIM_VS_POLYIC_TLR3_STIM_PERITONEAL_MACROPHAGE_UP","GSE36891_UNSTIM_VS_POLYIC_TLR3_STIM_PERITONEAL_MACROPHAGE_UP",104,-0.398946162,-0.818986979,0.648535565,0.87069531,0.777469166,172,"tags=9%, list=1%, signal=9%","BSDC1/REL/MNT/KCNE4/PMAIP1/EGR3/CYTIP/PTGS2/KCTD12"
"TGFB","C7","GSE36891_UNSTIM_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP","GSE36891_UNSTIM_VS_PAM_TLR2_STIM_PERITONEAL_MACROPHAGE_UP",174,-0.408689313,-0.862798524,0.649417853,0.870967799,0.777712479,1639,"tags=18%, list=14%, signal=16%","AGO4/EPS8/EXTL3/RCC1/DYRK1A/FBXL20/BORCS6/GNPDA1/RBBP4/TNFRSF1A/DPF2/TENT4B/TMEM199/RIPK1/BMF/WTAP/PDPK1/CD83/MNT/NELFA/TAB2/SERAC1/MAEA/AK2/MIDEAS/RGS19/USF2/OPA3/WDHD1/COTL1/STING1"
"TGFB","C7","GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_IFNG_TNF_TREATED_MACROPHAGE_DN","GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_IFNG_TNF_TREATED_MACROPHAGE_DN",174,-0.406180655,-0.857502407,0.650711514,0.870967799,0.777712479,2673,"tags=28%, list=22%, signal=22%","ELK4/CHIC2/TSHZ1/GARS1/PPM1D/TSC22D3/RNPEP/TLE1/PABPC4/IRAK3/MRPL54/PHACTR2/SDHC/CECR2/GET3/PSMC5/PAK1/ODC1/CPSF2/LRRC8D/SLC35B1/NDUFB7/FTL/SLAIN1/AKIRIN1/NCOA7/TES/ZSCAN20/STK4/GNPDA1/CTDP1/BORCS5/MGAT2/SCAMP1/CCDC43/SLC46A3/GPATCH2L/RTP4/TRMT44/COIL/CD34/GAK/ZNF518B/ZNF652/MAP2K6/RIPOR2/SLC9A9/AMPD1"
"TGFB","C7","GSE17721_POLYIC_VS_GARDIQUIMOD_6H_BMDC_DN","GSE17721_POLYIC_VS_GARDIQUIMOD_6H_BMDC_DN",175,-0.404472488,-0.854889547,0.649032258,0.870967799,0.777712479,1657,"tags=18%, list=14%, signal=15%","RNF5/IMP3/POT1/VPS16/TRIM27/SRP19/SACM1L/NDUFA9/RPP40/POLR2K/KIF21B/YAF2/HNRNPR/SEC11A/AMPD2/UBL5/SNRNP40/NUDT4/ST7L/YY1/USP34/MLF2/CLCN5/GRK2/BRCA1/AP3S2/PLPP3/SNF8/RASA2/CLEC4D/POU2F2"
"TGFB","C7","GSE17721_CTRL_VS_GARDIQUIMOD_8H_BMDC_UP","GSE17721_CTRL_VS_GARDIQUIMOD_8H_BMDC_UP",163,-0.404083887,-0.853286788,0.64928292,0.870967799,0.777712479,1370,"tags=15%, list=11%, signal=13%","OPN3/SH3BGRL3/SMARCD2/ZMPSTE24/BTBD1/BRCC3/GALC/ZNRD2/PCNA/CDK2/ATP5IF1/TRIM41/CIITA/SLC46A3/SLC7A7/FAM50A/BLOC1S5/ZFYVE19/BPHL/RFC1/MAP2K6/FBF1/N4BP2L1/DOK3"
"TGFB","C7","GSE360_T_GONDII_VS_M_TUBERCULOSIS_MAC_UP","GSE360_T_GONDII_VS_M_TUBERCULOSIS_MAC_UP",161,-0.402605844,-0.852903927,0.651041667,0.870967799,0.777712479,287,"tags=4%, list=2%, signal=4%","UBTF/PABPC1/TOMM34/CXCR4/MCF2L/IRF5"
"TGFB","C7","GSE37532_TREG_VS_TCONV_CD4_TCELL_FROM_LN_UP","GSE37532_TREG_VS_TCONV_CD4_TCELL_FROM_LN_UP",156,0.332580171,0.85162933,0.654166667,0.870967799,0.777712479,1963,"tags=32%, list=16%, signal=27%","RARS1/CHCHD4/SUPV3L1/RIMKLA/EIF2B3/PECR/SAR1A/ALDH18A1/PCGF6/TIMM10/C1QBP/BSPRY/ECSIT/DYM/NIFK/GAR1/WDR46/DNAJC11/CLNS1A/SLC35B2/SRP68/NDUFAF4/CCT3/ZDHHC23/ZC3H15/POLR3E/PRMT1/PTPMT1/WDR75/PARL/GNAT2/MRPS18B/PSMD12/HSP90B1/WDR55/SHMT2/PRELID3B/PRDX6/ECI1/PARN/POLR1B/WDR36/MIX23/THUMPD1/RSL1D1/MMADHC/ABCG2/YAE1/TTC27/NFIL3"
"TGFB","C7","GSE24210_TCONV_VS_TREG_DN","GSE24210_TCONV_VS_TREG_DN",157,0.333774986,0.850410817,0.655319149,0.870967799,0.777712479,1080,"tags=13%, list=9%, signal=12%","CSF3/IRF6/NME7/FECH/SEC61G/SPINDOC/FARP2/HADH/ARHGAP21/GAR1/CRIM1/WNT4/GLT8D1/CACNB4/ALAD/NKAIN2/SEMA4B/TGM2/BID/GSPT1"
