"Cytokine","Collection","ID","Description","setSize","enrichmentScore","NES","pvalue","p_adjust","qvalue","rank","leading_edge","core_enrichment"
"VEGF","C7","FOURATI_BLOOD_TWINRIX_AGE_25_83YO_RESPONDERS_VS_POOR_RESPONDERS_0DY_UP","FOURATI_BLOOD_TWINRIX_AGE_25_83YO_RESPONDERS_VS_POOR_RESPONDERS_0DY_UP",361,-0.351425511,-0.862016347,0.698412698,0.924204391,0.893812476,1792,"tags=18%, list=15%, signal=16%","PEG10/DNM1L/TTC3/ZNF615/OGT/KAT6B/MLLT3/EML6/SEPTIN6/HNRNPR/MED14/AP4S1/ANAPC16/HIVEP2/SPRY1/ATM/AGPAT5/TNFRSF13C/ZNF140/CD72/LRRN3/SLC9A7/FSD1L/ZNF280C/SPICE1/KCNE2/ZNF667/TCEANC/PPP1R21/PKIG/ATRX/NR3C2/DYRK1A/XPO1/ZNF518B/BANK1/LRCH1/TXLNG/MRPS35/NT5E/MBNL1/SNX22/TRAF5/NIPAL3/EIF4B/NAP1L1/SERPINE3/ZNF331/NEMP1/KLF12/DNAH3/WNK3/CCNG1/ZNF550/ZBTB6/CD79A/AFF3/BCL11A/TNFRSF25/CCDC91/THEM4/FCMR/TAB2/LEF1/STAP1/CD200"
"VEGF","C7","GSE7764_IL15_NK_CELL_24H_VS_SPLENOCYTE_UP","GSE7764_IL15_NK_CELL_24H_VS_SPLENOCYTE_UP",162,0.368226151,0.803031489,0.69785575,0.924204391,0.893812476,1839,"tags=24%, list=15%, signal=21%","PALD1/IGFBP5/TARS1/GNB1/EMC7/HAT1/COPS5/CCDC102A/BYSL/HSPA9/ATP1B1/NDFIP1/MSL3/PSMD2/TDP2/SPTLC1/GSTCD/WDR18/MAGT1/RXRA/CNPY4/TXNRD3/ALG5/ARL5B/CPTP/DIPK1B/TMEM101/DPAGT1/ADH5/MESD/NR2F6/ELP5/MVD/PRADC1/SLC25A1/ATP6V1H/EIF1AD/JKAMP/EGR2"
"VEGF","C7","GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_DN","GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_DN",151,0.36598854,0.792868147,0.697674419,0.924204391,0.893812476,1311,"tags=15%, list=11%, signal=14%","PLLP/ACP5/BASP1/PPFIBP2/TMEM51/ST3GAL5/ZFYVE16/LPL/FTH1/ATP1B1/PRDM4/CYFIP1/POFUT2/ASAH1/SNX2/ENTR1/STX4/PLA2G15/FNDC3B/SLC11A2/RHBDF2/VPS11/RELA"
"VEGF","C7","GSE23568_ID3_KO_VS_WT_CD8_TCELL_DN","GSE23568_ID3_KO_VS_WT_CD8_TCELL_DN",150,0.365272306,0.792036657,0.698076923,0.924204391,0.893812476,53,"tags=1%, list=0%, signal=1%","SIPA1L2/ADRB2"
"VEGF","C7","GSE32034_UNTREATED_VS_ROSIGLIZATONE_TREATED_LY6C_HIGH_MONOCYTE_UP","GSE32034_UNTREATED_VS_ROSIGLIZATONE_TREATED_LY6C_HIGH_MONOCYTE_UP",144,0.363497215,0.786621938,0.698259188,0.924204391,0.893812476,1078,"tags=16%, list=9%, signal=15%","SLC11A1/C5AR1/HSD11B2/SLC2A1/RAD23A/ANK3/AARS1/FARSA/ST3GAL5/PIGU/KCMF1/FNDC1/MAP2K3/PEF1/CCNE1/TANC1/OCEL1/GPR137B/PRKACA/ENO1/POLR1A/HMOX1/EMD"
"VEGF","C7","GSE41867_NAIVE_VS_DAY8_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP","GSE41867_NAIVE_VS_DAY8_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP",144,0.36304263,0.785638198,0.698259188,0.924204391,0.893812476,736,"tags=7%, list=6%, signal=7%","TSPAN13/ABT1/EPCAM/SLC25A15/MORF4L1/RER1/EGFL7/TYW3/RPF2/NDFIP1"
"VEGF","C7","GSE28726_NAIVE_CD4_TCELL_VS_NAIVE_NKTCELL_DN","GSE28726_NAIVE_CD4_TCELL_VS_NAIVE_NKTCELL_DN",140,-0.33980763,-0.783547276,0.698770492,0.924437805,0.894038215,1089,"tags=15%, list=9%, signal=14%","ASIC3/TCAP/CXCR6/EYA2/NUMA1/CYFIP2/IRF2BP1/MCF2L/KDM2A/SETD1B/ICAM3/HGFAC/AMT/RASGRP2/ITGA2B/ZKSCAN5/NCAPD2/RHBDL1/CFP/CXCR4/SIT1"
"VEGF","C7","GSE28726_ACT_CD4_TCELL_VS_ACT_NKTCELL_UP","GSE28726_ACT_CD4_TCELL_VS_ACT_NKTCELL_UP",178,0.363583931,0.810130992,0.69924812,0.924548968,0.894145722,1963,"tags=26%, list=16%, signal=22%","IL1B/RFC3/CCDC86/PSMB6/PSMD7/HYOU1/URB2/HCCS/IL2RA/NUP88/MYDGF/MRPS27/HSP90AB1/EIF3I/ENO1/UBE2D1/ISG20L2/RUVBL2/TIMM17A/CUL1/RPN2/PPP2CA/MAPKAPK3/AATF/PPT1/HOMER1/VDAC1/HNRNPDL/HINFP/TRA2B/INPP5F/JPT2/TRIAP1/CDK2AP1/CANX/POP4/CFDP1/ACSL3/SRM/EGR3/NDEL1/EIF3J/NKRF/PGAP1/POLR2G/RFC4"
"VEGF","C7","GSE43260_BTLA_POS_VS_NEG_INTRATUMORAL_CD8_TCELL_DN","GSE43260_BTLA_POS_VS_NEG_INTRATUMORAL_CD8_TCELL_DN",161,-0.348565988,-0.80815307,0.699386503,0.924548968,0.894145722,1830,"tags=17%, list=15%, signal=14%","MANBA/AASDHPPT/ITPRID2/EEF1D/SPRY1/H2BC21/HADHA/AKAP11/DNAJC16/RPS8/PSMD4/LSM6/ZNF175/PHB2/ING3/MDM1/DHX29/STX6/ZNF35/ANAPC5/NAP1L1/NCAPD2/FNBP1/PABPC1/RFTN1/ETV5/ENC1"
"VEGF","C7","GSE13522_CTRL_VS_T_CRUZI_G_STRAIN_INF_SKIN_DN","GSE13522_CTRL_VS_T_CRUZI_G_STRAIN_INF_SKIN_DN",99,-0.338470781,-0.751628809,0.699398798,0.924548968,0.894145722,871,"tags=14%, list=7%, signal=13%","MAPK8IP3/MRAP/SRD5A3/TGFBRAP1/HGD/EAF1/ETV1/SLC25A13/FAM222B/P2RX7/PABPC1/IL1RL1/CTSW/SEMA4D"
