cell_line,VEGF in TCM,4,5,6,1,2,3
Jones,17546.13504,54.19390253,128.0901019,361.8116509,9738.6,3869.6,2091.61
MacKinley,299.0738763,49.83719781,71.09661839,278.3863215,7279.26,2409.74,1415.12
Nike,322.928465,109.0414019,283.6162878,336.120923,5388.59,4554.69,1855.31
OS2.4,315.7890496,76.91210763,210.753584,722.871425,7657.56,3322.4,1372.81
OSA8,3409.217055,78.67316244,326.10064,883.7620791,5557.73,3310.53,1690.52
Parks,500.0509942,47.68476734,99.12516953,421.489871,5677.96,2485.95,1555.16
STS-1,20748.12919,123.5945402,312.3227859,641.3944948,5113.07,2874.52,1939.97
