"Cell Line","Cell Count at time of TCM Harvest (million)"
"D17",5
"Abrams",11.75
"Moresco",11
"Gracie",10.5
"MacKinley",14.04
"Yamane",4.6
"Vogel",7.5
"OSA8",9.6
"HMPOS",9.09
"OS2.4",4.9
"17CM98",20.4
"CML-6M",19.09
"CML-10C2",12.3
"Jones",9
"Parks",7.5
"CMT12",13.2
"CMT27",10.2
"DEN-HSA/Fitz",11.4
"Bliley",8.4
"DH82",8.16
"MH/Nike",8.4
"CTAC",19.8
"STSA-1",12.6
"CLL1390",13.25
"1771",14.3
