gene,Hugo_Symbol,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000004390,MAST2,-0.118332698,0.309712022,0.001593045,0.315682342
ENSCAFG00000015155,TIMP1,-0.156092941,0.599656221,0.001612654,0.315682342
ENSCAFG00000009617,IFIT1,0.272940478,1.106442958,0.001693112,0.327182948
ENSCAFG00000009781,HERC6,0.141540806,0.560368409,0.00175424,0.334704515
ENSCAFG00000003293,RSAD2,0.24944027,1.025838872,0.001817574,0.33822589
ENSCAFG00000010167,MX2,0.220743988,0.888754515,0.001805346,0.33822589
ENSCAFG00000010934,RFTN2,-0.166276414,0.675705262,0.001855227,0.34102243
ENSCAFG00000005437,SLCO2B1,0.116014068,0.279828318,0.001885131,0.342344292
ENSCAFG00000001953,CCL27,0.097277508,0.341459209,0.001938458,0.347837789
ENSCAFG00000019348,ISG15,0.193800341,0.813894066,0.00201486,0.356094369
ENSCAFG00000020141,DR1,-0.1152615,0.222536566,0.00203172,0.356094369
ENSCAFG00000014655,GNB3,-0.202033449,0.862349654,0.00208022,0.360404007
ENSCAFG00000012968,HELZ2,0.093314294,0.367908842,0.002179441,0.360996906
ENSCAFG00000015867,ONECUT1,0.198084923,0.856137598,0.002144415,0.360996906
ENSCAFG00000016023,COQ8A,-0.11143047,0.265209258,0.002114765,0.360996906
ENSCAFG00000032593,INHBE,-0.122199179,0.523379732,0.002158469,0.360996906
ENSCAFG00000037329,NA,-0.110254105,0.480285635,0.002297632,0.376437074
ENSCAFG00000019126,CREB3L3,-0.115375503,0.522200773,0.00247878,0.397475049
ENSCAFG00000043170,NA,0.168890029,0.770561562,0.002475684,0.397475049
ENSCAFG00000017118,NA,-0.103301156,0.230040287,0.002548741,0.404391357
ENSCAFG00000009612,IFIT2,0.143763776,0.667549724,0.002609326,0.406281157
ENSCAFG00000025892,NA,0.091481166,0.254563788,0.002614561,0.406281157
ENSCAFG00000020069,KARS1,0.097851343,0.213015552,0.0026696,0.410600901
ENSCAFG00000015813,PADI2,-0.151812479,0.726511253,0.002797561,0.413408147
ENSCAFG00000020342,IFI44,0.113411905,0.533539454,0.002726125,0.413408147
ENSCAFG00000031099,STUB1,-0.094404797,0.207707691,0.002783357,0.413408147
ENSCAFG00000032202,C15H4orf46,-0.096751467,0.236019909,0.002764501,0.413408147
ENSCAFG00000020404,CRYZ,-0.08091586,0.251523862,0.002901703,0.422893245
ENSCAFG00000026398,NA,0.074943219,0.265865107,0.00291786,0.422893245
ENSCAFG00000001007,FBXO32,-0.078792797,0.368875991,0.003079347,0.440682715
ENSCAFG00000016901,ALDH6A1,-0.088711304,0.205490637,0.003099076,0.440682715
ENSCAFG00000023437,SEC14L4,0.154421637,0.781386894,0.003139041,0.442194017
ENSCAFG00000015640,MAPK6,0.082436317,0.23624537,0.003174079,0.442989701
ENSCAFG00000019916,FOXC2,-0.06912669,0.252709301,0.003310646,0.457810755
ENSCAFG00000000851,IRF1,0.074005835,0.236487896,0.003399713,0.465853414
ENSCAFG00000016943,CD2BP2,-0.084154871,0.209680985,0.003431223,0.46593532
ENSCAFG00000020334,CTRL,0.071140429,0.237834522,0.003464315,0.466228733
ENSCAFG00000013479,GABARAPL1,-0.075622257,0.37854126,0.003516138,0.469015449
ENSCAFG00000028533,NA,-0.077653699,0.224505484,0.003583678,0.473831392
ENSCAFG00000018413,BTBD6,-0.071057893,0.230604538,0.003637459,0.476760121
ENSCAFG00000005773,CACNB4,0.09926972,0.52554865,0.003692768,0.479836958
ENSCAFG00000003059,SNX30,-0.066180582,0.229505347,0.003847463,0.483170586
ENSCAFG00000006153,BTG1,-0.064282481,0.230465589,0.003910755,0.483170586
ENSCAFG00000013762,PTGS2,-0.099777013,0.539850014,0.003895476,0.483170586
ENSCAFG00000014403,SORCS2,-0.109583099,0.593286096,0.003871732,0.483170586
ENSCAFG00000014921,RETREG3,-0.07715458,0.213052273,0.003827019,0.483170586
ENSCAFG00000048107,NA,-0.094515127,0.507684138,0.003845461,0.483170586
ENSCAFG00000004263,LRRC41,-0.076131487,0.207267392,0.0039486,0.48386707
ENSCAFG00000013156,CSPG5,0.066456558,0.22297001,0.004012697,0.48386707
ENSCAFG00000042217,NA,0.059374596,0.271836795,0.003986161,0.48386707
ENSCAFG00000000799,ACSL6,0.129870299,0.76197103,0.004317174,0.493222993
ENSCAFG00000004662,EMILIN1,-0.086509683,0.487115831,0.004359533,0.493222993
ENSCAFG00000005717,NEB,0.099041144,0.564649844,0.004430707,0.493222993
ENSCAFG00000009236,CHD6,-0.072593726,0.191780322,0.004193617,0.493222993
ENSCAFG00000009305,ESRP1,0.058243617,0.275988156,0.004141863,0.493222993
ENSCAFG00000009666,ZPLD1,0.09824851,0.555274484,0.004342039,0.493222993
ENSCAFG00000011970,PARP14,0.061734659,0.324603825,0.004323063,0.493222993
ENSCAFG00000016940,TBC1D10B,-0.067769973,0.178009231,0.004431212,0.493222993
ENSCAFG00000017305,GTF2A1,-0.070406577,0.180130974,0.004169157,0.493222993
ENSCAFG00000028712,NA,0.055154547,0.247217233,0.004408906,0.493222993
ENSCAFG00000046609,RPS27AP5,0.058636158,0.305314089,0.004450231,0.493222993
ENSCAFG00000025434,MANSC4,-0.064542725,0.365668759,0.0047708,0.523007094
ENSCAFG00000031581,NA,-0.061739739,0.206024706,0.004788362,0.523007094
ENSCAFG00000017095,YPEL3,-0.053834294,0.280667809,0.004829906,0.523632351
ENSCAFG00000046670,NA,0.103339218,0.61540491,0.004863566,0.523632351
ENSCAFG00000018704,SLC1A3,-0.094399823,0.562546258,0.004950987,0.525536814
ENSCAFG00000031735,TNFSF13B,0.055407704,0.302766962,0.004949041,0.525536814
ENSCAFG00000020135,FNBP1L,-0.052876616,0.21551903,0.005006562,0.527719695
ENSCAFG00000004445,IPP,-0.056555296,0.2058048,0.005064762,0.530146935
ENSCAFG00000016604,ZSWIM4,-0.051336782,0.272208593,0.005146622,0.535000209
ENSCAFG00000003894,MPP7,0.049910428,0.257573642,0.005212441,0.538130959
