gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000000767,CELSR1,111.2734211,2.999044031,2.602895426,0.000220945,0.048452914
ENSCAFG00000008300,ZNF395,476.9267829,-0.926821231,0.924637115,0.000220261,0.048452914
ENSCAFG00000016792,DCAF4,544.9148177,-0.273404504,0.275057704,0.00022587,0.048804441
ENSCAFG00000014413,SPOCK2,52.28257637,-2.371298932,2.025075844,0.000241921,0.05151524
ENSCAFG00000006250,SPRY4,217.8374219,-2.619827369,2.2972368,0.000250574,0.052595504
ENSCAFG00000030400,TNFSF9,123.5249316,2.698908223,2.416531359,0.000256703,0.053123032
ENSCAFG00000017415,ZC3H14,3821.721316,-0.215786661,0.088811818,0.000279095,0.056954737
ENSCAFG00000000885,DEPTOR,386.6662136,2.110610522,1.953326563,0.000296993,0.059043975
ENSCAFG00000015113,QDPR,7554.341814,0.220180397,0.151045341,0.00029737,0.059043975
ENSCAFG00000006331,VEZT,675.6646895,-0.289126756,0.342686724,0.000324999,0.063669499
ENSCAFG00000024792,NA,2095.162844,2.382970108,2.348543512,0.000334151,0.064601126
ENSCAFG00000029969,RGS4,275.6566116,-2.49196982,2.632858156,0.000360095,0.068712677
ENSCAFG00000010570,NA,171.0386022,-1.243201981,1.351235837,0.000384985,0.071824705
ENSCAFG00000041406,NA,11.11323751,1.396414223,1.486045109,0.000386181,0.071824705
ENSCAFG00000001903,ATP10D,2862.730582,-0.58681905,0.750819906,0.000394689,0.072312011
ENSCAFG00000004944,PCDH9,171.8798081,1.607357776,1.695183521,0.000401134,0.072312011
ENSCAFG00000009496,NAB1,944.9609033,0.52489615,0.687232193,0.000403565,0.072312011
ENSCAFG00000030814,DOC2B,49.73272794,1.95406048,2.179968899,0.000469384,0.083092256
ENSCAFG00000006231,DCLK1,204.7504819,1.899273997,2.146692444,0.000486866,0.085160951
ENSCAFG00000023324,S100A12,22.03082937,1.866899512,2.136698368,0.000502734,0.086901984
ENSCAFG00000003029,CXCL8,5127.07566,1.939153426,2.284215542,0.000525538,0.089787522
ENSCAFG00000002756,STAP1,126.4105228,-1.405953925,1.67965342,0.000551392,0.093121953
ENSCAFG00000014309,RASGRP2,289.3571801,-1.77611091,2.18081989,0.000592893,0.098011411
ENSCAFG00000025434,MANSC4,29.61303073,-1.062603848,1.355073669,0.000593685,0.098011411
ENSCAFG00000001021,JADE2,1855.333526,-0.703813074,0.992023173,0.000646524,0.102325854
ENSCAFG00000012093,CTSK,4169.699436,1.187751218,1.521228919,0.000637182,0.102325854
ENSCAFG00000015489,SCG3,88.21095896,1.356751775,1.726202851,0.000653836,0.102325854
ENSCAFG00000028815,ZBED5,911.9995055,-0.209711111,0.240947221,0.00065464,0.102325854
ENSCAFG00000029396,BASP1,1104.379826,1.888660802,2.475420954,0.000631371,0.102325854
ENSCAFG00000049626,NA,36.86373245,-0.959592358,1.300416526,0.000685595,0.106036263
ENSCAFG00000003074,NOD1,1039.505919,-0.524457172,0.802145273,0.000732963,0.110286741
ENSCAFG00000007069,MSL2,493.6521427,-0.23952961,0.342589934,0.000735675,0.110286741
ENSCAFG00000008977,LRP4,249.6764556,0.733532832,1.07130662,0.000755035,0.110286741
ENSCAFG00000015298,CD38,48.25178372,-1.411932399,1.896275076,0.000758113,0.110286741
ENSCAFG00000031675,COL8A1,449.0373543,1.517182621,2.017227757,0.000734809,0.110286741
ENSCAFG00000048755,NA,44.06899223,-0.315101125,0.497486362,0.000756495,0.110286741
ENSCAFG00000014645,SLC11A1,5496.958275,1.419719971,1.92358723,0.000774384,0.11046631
ENSCAFG00000019054,NA,9.93378251,1.152831786,1.578855897,0.00077231,0.11046631
ENSCAFG00000002727,ABCA1,2165.839022,1.10833329,1.545047073,0.000803426,0.113507149
ENSCAFG00000024903,MAFB,994.6899577,1.381469175,1.912110205,0.00081674,0.114289165
ENSCAFG00000019917,MTHFSD,400.8195764,0.200215372,0.248838179,0.000842844,0.116829299
ENSCAFG00000046360,NA,31.81157335,1.458105422,2.072587403,0.000856365,0.117594058
ENSCAFG00000045552,NA,7.457614138,0.901122736,1.337716358,0.000896635,0.121983858
ENSCAFG00000002993,SMAP2,3083.858562,-0.479180603,0.79183495,0.000933979,0.12589871
ENSCAFG00000004694,PTCH2,428.8355447,1.0870817,1.609236531,0.000953311,0.127336396
ENSCAFG00000015457,TSPAN11,36.0955053,1.40233584,2.117418121,0.000975464,0.129121505
ENSCAFG00000019566,DIPK1B,27.87682734,1.044145204,1.573205382,0.000992987,0.130267466
ENSCAFG00000003480,STK17A,1239.371219,0.437725809,0.755839628,0.001056667,0.13115068
ENSCAFG00000006556,APAF1,438.575028,-0.202214307,0.2922653,0.001041393,0.13115068
ENSCAFG00000007168,ZSWIM6,220.0583611,0.224068312,0.357432589,0.001056465,0.13115068
ENSCAFG00000013241,APOLD1,118.4058856,-0.508066301,0.871566123,0.001098011,0.13115068
ENSCAFG00000014477,C27H12orf57,677.0169736,-0.410161587,0.720540035,0.001100495,0.13115068
ENSCAFG00000017628,C20H19orf38,59.44366617,1.384449978,2.226814187,0.001078591,0.13115068
ENSCAFG00000019952,ATP2C2,159.4922147,0.997540851,1.559565158,0.001092451,0.13115068
ENSCAFG00000023592,SLC8A1,593.7382633,1.36411679,2.548547004,0.001079246,0.13115068
ENSCAFG00000031326,CEBPB,1432.917555,0.5001893,0.841809668,0.001017558,0.13115068
ENSCAFG00000031682,NA,76.01248106,0.923745031,1.438284742,0.001054157,0.13115068
ENSCAFG00000045317,NA,157.0706281,-0.406290868,0.715432539,0.001106832,0.13115068
ENSCAFG00000046073,NA,9.734105682,0.573455995,0.957695329,0.001058867,0.13115068
ENSCAFG00000014993,FGFR3,445.1653889,0.267945669,0.468225352,0.001125453,0.132290237
ENSCAFG00000003059,SNX30,980.3549717,-0.439915408,0.781886125,0.001173827,0.134742501
ENSCAFG00000005072,FBXL3,819.1481609,-0.198911011,0.301204661,0.001170878,0.134742501
ENSCAFG00000043687,NA,23.81206232,-1.121149034,1.782955771,0.001157393,0.134742501
ENSCAFG00000016833,SNX11,581.9689841,0.205275686,0.325713085,0.001203337,0.136832847
ENSCAFG00000020027,MAF,453.7192313,1.243301498,2.051340546,0.001210663,0.136832847
ENSCAFG00000005691,ANK1,113.7304707,0.951982236,1.558445099,0.001233261,0.137275057
ENSCAFG00000009669,MDM4,540.6871028,-0.284876581,0.517629747,0.001231778,0.137275057
ENSCAFG00000001998,CDK6,4314.846326,-0.92659843,1.53413247,0.001266521,0.138945609
ENSCAFG00000018041,WDR20,472.1110238,-0.185812139,0.099332037,0.001270124,0.138945609
ENSCAFG00000018331,COLEC12,347.4023297,1.237112408,2.122668054,0.001284468,0.138945609
ENSCAFG00000022732,MT-ND3,13066.46045,-0.302205772,0.559325425,0.001286096,0.138945609
ENSCAFG00000042090,NA,265.7925568,0.567607727,1.014952696,0.001339532,0.143662356
ENSCAFG00000015088,ARRDC2,409.0522908,-0.183375653,0.27860848,0.001407575,0.149865985
ENSCAFG00000011599,TBC1D10C,286.1322964,-0.783463214,1.376678718,0.001445134,0.152757988
ENSCAFG00000007268,DNMT3B,1098.744253,-0.865370968,1.516999328,0.001469474,0.154221305
ENSCAFG00000000361,TBC1D30,525.5886453,0.972584839,1.728425386,0.00152634,0.157300395
ENSCAFG00000006097,ASTE1,94.19043042,-0.176992295,0.271726311,0.001552342,0.157300395
ENSCAFG00000015830,RNF167,314.0515772,0.168394933,0.13609264,0.00153471,0.157300395
ENSCAFG00000016300,PTGER1,11.49645797,-0.712507307,1.294012704,0.001551935,0.157300395
ENSCAFG00000019780,SLC2A6,428.614762,0.575588032,1.064180666,0.001511415,0.157300395
ENSCAFG00000000656,CTHRC1,271.7744898,1.114319775,2.117581969,0.001567954,0.157794196
ENSCAFG00000011298,VWA2,16.72354897,0.997834976,1.806771437,0.001580724,0.157997167
ENSCAFG00000001702,NMRK1,168.1248313,-0.182435823,0.300591601,0.001611068,0.159942029
ENSCAFG00000032751,CLEC2B,188.455243,-1.014743451,1.878539833,0.001637299,0.161455223
ENSCAFG00000047709,NA,59.9175701,0.93433142,1.713192329,0.001649205,0.161545084
ENSCAFG00000019730,SLC25A33,528.3784592,0.291452565,0.588286307,0.001708006,0.166196944
