gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000000247,MAP7,183.1289264,0.028837659,0.216182032,0.188806853,0.797960526
ENSCAFG00000000847,CEP43,400.3855002,-0.056890343,0.119383972,0.188950751,0.797960526
ENSCAFG00000002193,NA,301.9911242,-0.04516018,0.128931779,0.188886456,0.797960526
ENSCAFG00000002550,SIX2,13.91017938,0.028683753,0.205992634,0.18895279,0.797960526
ENSCAFG00000007207,LATS2,2443.555662,0.038613734,0.136428234,0.188668545,0.797960526
ENSCAFG00000007689,VAMP5,332.4182954,0.031630505,0.155259473,0.188888419,0.797960526
ENSCAFG00000011364,ACTL6A,1362.789585,0.062501919,0.114421049,0.188712385,0.797960526
ENSCAFG00000014732,ZNF674,84.23899126,-0.064142844,0.112756201,0.188787916,0.797960526
ENSCAFG00000015535,DHX33,1244.098215,0.059774058,0.116920181,0.188914066,0.797960526
ENSCAFG00000032451,ARPC5L,1729.880704,-0.069554969,0.106317139,0.188540929,0.797960526
ENSCAFG00000017831,CCNK,1491.248973,-0.074312248,0.097410138,0.189014272,0.797995128
ENSCAFG00000015972,SLC16A13,366.2327918,-0.030258357,0.164230252,0.189089985,0.798025917
ENSCAFG00000048290,NA,4.727642134,0.028677747,0.194288118,0.189128145,0.798025917
ENSCAFG00000006058,IRS2,1043.063563,-0.032592768,0.150639969,0.189300436,0.798367727
ENSCAFG00000014624,IFI35,201.2878824,-0.028692513,0.210770615,0.189367926,0.798367727
ENSCAFG00000020371,TMEM208,450.7976887,-0.06061712,0.11608267,0.189369093,0.798367727
ENSCAFG00000002994,NT5E,146.6825139,-0.028642179,0.211559284,0.189981091,0.799419894
ENSCAFG00000004073,NA,65.08396938,0.055567551,0.120346782,0.189731006,0.799419894
ENSCAFG00000004551,NA,151.9137791,0.05723483,0.118889416,0.190277526,0.799419894
ENSCAFG00000007135,FRG1,562.254411,-0.062715178,0.113934009,0.190225879,0.799419894
ENSCAFG00000007492,PALLD,4172.648493,0.037688523,0.137599594,0.189827932,0.799419894
ENSCAFG00000013759,MEX3B,162.4597444,-0.044111642,0.129674823,0.190270883,0.799419894
ENSCAFG00000013955,DYNLT3,1259.594937,-0.067470208,0.108743132,0.189910626,0.799419894
ENSCAFG00000016566,CC2D1A,2071.374389,0.056744963,0.119292435,0.190312649,0.799419894
ENSCAFG00000018142,DUSP14,443.6552703,0.035183944,0.142389423,0.190228096,0.799419894
ENSCAFG00000018475,TEFM,325.6488917,0.063080729,0.113580779,0.190162156,0.799419894
ENSCAFG00000023152,NA,50.04683771,-0.035896959,0.140788239,0.190306311,0.799419894
ENSCAFG00000029533,NA,38.56888197,-0.049337684,0.125248654,0.189963513,0.799419894
ENSCAFG00000047086,NA,3.361101372,-0.028873199,0.223458626,0.190118405,0.799419894
ENSCAFG00000001396,NA,32.99376427,0.066345875,0.109935919,0.190667958,0.800104526
ENSCAFG00000016770,HSD3B7,728.1377132,0.031567587,0.154376221,0.190762043,0.800104526
ENSCAFG00000018602,SH2D3A,134.4503851,0.036146707,0.140200283,0.190560976,0.800104526
ENSCAFG00000030859,NA,81.81690323,0.029227812,0.236944683,0.190785057,0.800104526
ENSCAFG00000032663,SPCS2,1972.968564,0.06825986,0.10751946,0.190796211,0.800104526
ENSCAFG00000042900,RPS13,14587.24898,0.066076263,0.110251437,0.190666578,0.800104526
ENSCAFG00000025392,VXN,6.597216808,0.028817172,0.18077663,0.191012598,0.800787698
ENSCAFG00000005952,DUS1L,4584.411458,-0.067768714,0.108057704,0.191228244,0.801019008
ENSCAFG00000018537,CUL4B,1767.764413,-0.062076121,0.114393796,0.191148533,0.801019008
ENSCAFG00000046936,NA,5.924421435,-0.028468451,0.207490746,0.191223539,0.801019008
ENSCAFG00000004922,NA,201.4392624,0.05811987,0.117978427,0.191286997,0.801041045
ENSCAFG00000001003,CENPM,734.464953,-0.059757539,0.116470568,0.191692483,0.801325862
ENSCAFG00000002999,ZMPSTE24,2136.156012,-0.063494098,0.112903224,0.191520113,0.801325862
ENSCAFG00000004962,NA,875.0411222,-0.044552193,0.129036512,0.191662723,0.801325862
ENSCAFG00000005086,RBM33,1507.065933,-0.065291157,0.110896182,0.191870258,0.801325862
ENSCAFG00000005781,ANAPC15,1305.354213,0.06151903,0.114802223,0.191875132,0.801325862
ENSCAFG00000009765,CASQ2,117.9199129,0.034285884,0.144046146,0.191868968,0.801325862
ENSCAFG00000011571,SOX5,157.3615892,-0.029995061,0.258722637,0.192166937,0.801325862
ENSCAFG00000013216,MUS81,1383.180744,-0.071542877,0.102159912,0.192008306,0.801325862
ENSCAFG00000013511,REXO2,2153.740857,-0.058807237,0.117327483,0.191622138,0.801325862
ENSCAFG00000013555,ATOH7,8.399095239,0.036654018,0.138771945,0.192182911,0.801325862
ENSCAFG00000014657,NA,122.6274955,0.072384002,0.100566767,0.191986204,0.801325862
ENSCAFG00000024856,KPNA4,2339.906968,0.058021935,0.117920276,0.192179636,0.801325862
ENSCAFG00000029799,RASSF5,584.8068468,-0.028388447,0.209411663,0.192247306,0.801325862
