"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSCAFG00000000001",345.184763710319,0.582322942890769,1.15557228170704,0.503926021858665,0.614313363736965,0.97042943944273
"ENSCAFG00000000005",291.080232369475,0.551567252798464,0.878222219417152,0.628049758481995,0.52997134423598,0.961597334003304
"ENSCAFG00000000007",897.685311541685,0.0707673163245443,0.227448085156605,0.311136127067497,0.755697137762115,0.98341690316182
"ENSCAFG00000000008",1563.89623295422,0.222716832595734,0.27362990945275,0.813934533111381,0.415682456247296,0.941196678133075
"ENSCAFG00000000009",1394.85240396394,0.170691090415562,0.339978149992419,0.502064883932593,0.615621880711735,0.97042943944273
"ENSCAFG00000000010",2815.46016708193,0.00290962691785592,0.25889509419599,0.0112386328790504,0.991033057106085,0.999121109002096
"ENSCAFG00000000011",1685.29508556159,-0.986110178502941,0.834617628442944,-1.18151132314641,0.237399657932737,0.867979699360342
"ENSCAFG00000000012",1093.07225548268,-0.397897431378788,0.265085653970133,-1.50101457932393,0.133351790714573,0.761141799232478
"ENSCAFG00000000014",50.755872019211,0.997247307126271,0.659178104786386,1.51286473243743,0.130314021884544,0.758997850637617
"ENSCAFG00000000016",455.347461052743,-1.89490634762516,1.28410552484373,-1.4756624833117,0.140034522176891,0.77320016822989
"ENSCAFG00000000017",639.510044318819,-0.64010389194859,0.470529964628567,-1.36038922080953,0.173706787728632,0.806869774211697
"ENSCAFG00000000019",647.803499596907,0.382141412800969,0.690177021421792,0.553686084786976,0.579793700118387,0.963967167862391
"ENSCAFG00000000020",1512.85027675737,0.294705132063667,0.541869072054369,0.543867785157699,0.586532458770496,0.965461897124619
"ENSCAFG00000000021",668.492352032352,-0.040962331253055,0.407752800827097,-0.100458736690382,0.919980140416295,0.994408574671543
"ENSCAFG00000000022",668.551142691987,-0.126380296472019,0.180568673569766,-0.699901560849587,0.483988782587999,0.955311492889135
"ENSCAFG00000000026",3041.00549663165,-0.67603657707323,0.551957959011547,-1.22479722601316,0.220651630410797,0.848775256659614
"ENSCAFG00000000027",37.280590710278,-0.0572255662010125,0.438516669932939,-0.130498040609868,0.896172404254354,0.994408574671543
"ENSCAFG00000000028",1420.61589944712,-0.119216004576474,0.312122460441243,-0.381952661810816,0.702496477690896,0.978872838388771
"ENSCAFG00000000029",15.4463548842866,-0.300488454770722,0.636102476166441,-0.472390009518052,0.636648434021433,0.972530802883177
"ENSCAFG00000000030",78.9548941798469,0.221313731250503,0.270134228826185,0.819273189525733,0.412630565450041,0.941196678133075
"ENSCAFG00000000031",653.8229689637,1.31228142735834,1.74762875032068,0.750892560629677,0.452717317881929,0.948482287861669
"ENSCAFG00000000033",76.5163405748659,-0.296958985585345,0.361169673856917,-0.822214618448252,0.410954760288774,0.941196678133075
"ENSCAFG00000000036",482.879891198098,-0.210210867878392,0.216710928759809,-0.970005846412013,0.332043577960239,0.917682173930075
"ENSCAFG00000000037",902.957220795653,-0.249269330304288,0.275226599265277,-0.905687644180167,0.365101204205954,0.926335066309518
"ENSCAFG00000000039",237.280187516258,0.120133411880234,1.68488370266109,0.0713007145184544,0.943158426575162,0.996159396262391
"ENSCAFG00000000042",11.1231585229849,0.200834454737199,0.427540796922108,0.469743369949764,0.638538378127313,0.97289919770717
"ENSCAFG00000000043",665.694303107187,-0.351359517355857,0.363771378543469,-0.965880050164175,0.33410420609885,0.918000071900531
"ENSCAFG00000000044",9.41847115032231,0.953163740046825,0.477849715140049,1.99469354034766,0.0460763143524774,NA
"ENSCAFG00000000045",7.90009266562253,-0.313291006157657,0.864604029027174,-0.362352008132744,0.717088998047697,NA
