,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000453,ZFC3H1,1290.600035,-0.649148894,0.307903042,-2.108289968,0.035005915,0.672754524
ENSCAFG00000000454,VARS2,4625.298657,-0.123727354,0.230967475,-0.535691676,0.592171657,0.998607586
ENSCAFG00000000458,RAB21,3948.641937,-0.155476426,0.423778594,-0.366881264,0.713707588,0.998607586
ENSCAFG00000000459,TBC1D15,1386.95194,-0.195057136,0.501126668,-0.38923719,0.697100695,0.998607586
ENSCAFG00000000460,LAPTM4B,7.860884513,4.49208918,2.261278461,1.98652632,NA,NA
ENSCAFG00000000462,TPH2,2.142720727,-0.04039035,1.113089363,-0.036286709,0.971053747,0.998607586
ENSCAFG00000000464,CNOT6,690.2417423,-0.199280941,0.426507385,-0.467239133,0.640328799,0.998607586
ENSCAFG00000000469,POP1,967.5056307,0.094008752,0.29815132,0.315305502,0.752529708,0.998607586
ENSCAFG00000000470,NA,4.767877318,-0.470318914,0.97496267,-0.482396843,0.629524064,0.998607586
ENSCAFG00000000471,NA,0,NA,NA,NA,NA,NA
ENSCAFG00000000472,C12H6orf15,4.162904954,2.362220162,2.435202319,0.970030352,0.332031363,0.998607586
ENSCAFG00000000473,TRHDE,2.737811522,1.588124532,1.795441556,0.884531455,NA,NA
ENSCAFG00000000474,CDSN,10.15008066,4.481167228,2.687364499,1.667495135,NA,NA
ENSCAFG00000000478,CCHCR1,2063.746315,-0.722257778,0.348561064,-2.072112615,0.03825494,0.692908137
ENSCAFG00000000479,KCNC2,0.881783547,0.325238647,1.777777191,0.182946799,0.854839762,NA
ENSCAFG00000000480,NIPAL2,135.5603694,0.783682984,1.810884586,0.432762524,0.665187302,0.998607586
ENSCAFG00000000481,CAPS2,55.62387629,0.753091042,1.795109686,0.419523691,0.674833444,0.998607586
ENSCAFG00000000482,FLT4,866.8906845,0.622534878,1.461159461,0.426055399,0.670067479,0.998607586
ENSCAFG00000000483,TCF19,685.3356818,-0.102675687,0.179941166,-0.57060699,0.568266079,0.998607586
ENSCAFG00000000484,STK3,557.3451666,0.11802999,0.349927458,0.337298451,0.735891927,0.998607586
ENSCAFG00000000485,NA,0.631422286,-2.104033209,2.83436219,-0.742330397,0.457887179,NA
ENSCAFG00000000487,DLA88,6021.722227,-0.630167556,0.626279215,-1.006208638,0.314315218,0.998607586
ENSCAFG00000000488,KCNS2,0.23055965,1.432017901,2.937273242,0.48753309,0.625880599,NA
ENSCAFG00000000491,NA,103.6812414,0.043907258,0.204258195,0.21495959,0.829798825,0.998607586
ENSCAFG00000000493,OSR2,128.2195566,-0.503029975,0.444831791,-1.130831892,0.258125854,0.981717771
ENSCAFG00000000494,OR2AI2,0,NA,NA,NA,NA,NA
ENSCAFG00000000497,NA,26.06438532,-0.401840972,2.137264949,-0.188016452,0.850863755,0.998607586
