,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000295,VTA1,730.1744259,-0.464451873,0.345916597,-1.342670102,0.17937882,0.803771422
ENSCAFG00000000296,ADGRG6,285.8368855,-3.096038553,1.373509031,-2.254108625,0.024189335,0.459137168
ENSCAFG00000000297,AVIL,5.236081911,-0.281234036,0.789130323,-0.356384779,0.721552427,0.983346821
ENSCAFG00000000300,HIVEP2,1179.129087,-0.682684255,0.377368895,-1.809063396,0.070441155,0.636268859
ENSCAFG00000000303,AIG1,802.7512604,-0.532236063,0.19526348,-2.725732759,0.006415892,0.30211471
ENSCAFG00000000304,NA,0,NA,NA,NA,NA,NA
ENSCAFG00000000305,ADAT2,361.1601063,-0.305297437,0.331540865,-0.920844062,0.357131847,0.914934347
ENSCAFG00000000307,PEX3,335.5802265,-0.203249196,0.197177376,-1.030793697,0.302637575,0.890021788
ENSCAFG00000000308,CTDSP2,2243.768045,-0.620309524,0.63990543,-0.969376873,0.332357187,0.904975799
ENSCAFG00000000309,FUCA2,1144.895343,-0.357070537,0.333260341,-1.071446231,0.283968835,0.879178419
ENSCAFG00000000310,ATP23,206.8117854,-0.219042182,0.655237848,-0.334294153,0.738157602,0.984253108
ENSCAFG00000000311,LRIG3,462.3892243,0.841072301,2.312358409,0.363729212,0.716060228,0.983346821
ENSCAFG00000000312,PHACTR2,1321.93584,-0.5506017,0.426435396,-1.291172603,0.196643833,0.819171387
ENSCAFG00000000314,NA,1401.996066,-0.400493579,0.21918648,-1.827181946,0.067672417,0.63559649
ENSCAFG00000000316,SLC16A7,175.1872399,0.765994537,1.39395643,0.549511104,0.582654746,0.970368951
ENSCAFG00000000317,ZC2HC1B,11.8638329,-0.927796412,0.607563145,-1.527078164,0.126741576,0.750987327
ENSCAFG00000000318,PLAGL1,868.4007505,-0.410041627,0.424997626,-0.964809218,0.334640378,0.906178725
ENSCAFG00000000320,SERF2,1262.675576,-0.391019071,0.288922563,-1.353369796,0.175937522,0.803771422
ENSCAFG00000000322,STX11,1001.642277,0.413527932,0.505118158,0.818675642,0.412971497,0.934410208
ENSCAFG00000000323,USP15,1112.607826,0.175437256,0.311567972,0.563078594,0.573381367,0.969361782
ENSCAFG00000000326,UTRN,7129.736324,-0.878987142,0.727240727,-1.208660501,0.226793303,0.842184045
ENSCAFG00000000327,NA,372.7837926,-0.236454203,0.321465535,-0.735550712,0.462004168,0.944537885
ENSCAFG00000000329,EPM2A,28.79153612,-0.479896313,0.650044149,-0.738251877,0.460361404,0.944537885
ENSCAFG00000000330,FBXO30,312.1103404,-0.166748828,0.285387817,-0.584288532,0.559026207,0.967799086
ENSCAFG00000000331,NA,2.154005782,0.107416244,1.25296964,0.085729327,0.931681588,NA
ENSCAFG00000000332,GRM6,0.087731452,0.44506027,3.11653965,0.142805907,0.886443472,NA
ENSCAFG00000000333,MON2,2246.714548,-0.024137461,0.373370754,-0.064647433,0.948454717,0.995568415
ENSCAFG00000000334,ADAMTS2,294.150943,0.685384263,1.586622152,0.431976991,0.665758136,0.978602374
ENSCAFG00000000335,SHPRH,562.5684716,-0.332168045,0.378533286,-0.877513437,0.380207824,0.920386044
ENSCAFG00000000336,HNRNPH1,17224.9253,-0.273934322,0.191131245,-1.43322627,0.151793185,0.78956555
ENSCAFG00000000337,PPM1H,1410.98864,-0.129090467,0.840979193,-0.153500192,0.878003839,0.993441566
ENSCAFG00000000338,GRM1,0.235519262,-1.471749876,3.112022336,-0.472923944,0.636267442,NA
ENSCAFG00000000339,AVPR1A,0.849312185,3.219664284,3.036318405,1.060384273,0.288969814,NA
ENSCAFG00000000340,NA,74.35976819,0.188594173,0.28009869,0.673313299,0.500747994,0.952001964
ENSCAFG00000000341,NA,298.3680046,0.035189828,0.38490843,0.091423894,0.927155776,0.995568415
ENSCAFG00000000344,RUFY1,1092.754749,-0.024193164,0.422379461,-0.057278268,0.954323531,0.99594216
ENSCAFG00000000345,SRGAP1,686.5260456,-0.38017971,1.060742681,-0.358408987,0.720037267,0.983346821
ENSCAFG00000000347,CBY3,1.320148355,-3.882126198,3.025020183,-1.283338941,0.199373356,NA
ENSCAFG00000000348,CANX,29093.83593,0.271765501,0.241637518,1.124682555,0.260723577,0.859298121
ENSCAFG00000000350,MAML1,842.4637806,0.365331733,0.293038297,1.246703032,0.212506407,0.831570507
ENSCAFG00000000351,C10H12orf56,34.2811249,-0.842888873,0.511630866,-1.647455088,0.09946454,0.704415464
ENSCAFG00000000352,XPOT,9111.11351,0.119311473,0.247622307,0.481828453,0.629927815,0.975885353
ENSCAFG00000000353,STXBP5,1618.394975,-0.787840164,0.969575784,-0.812561717,0.416469388,0.935933465
ENSCAFG00000000354,LTC4S,2.66787861,0.408803837,0.921463125,0.443646442,0.657298223,0.978602374
ENSCAFG00000000355,MGAT4B,5887.663966,0.311870146,0.343139905,0.908871692,0.363417858,0.916950269
ENSCAFG00000000356,TBK1,1386.606786,-0.285882952,0.211760429,-1.350030092,0.177006331,0.803771422
ENSCAFG00000000359,GNS,1967.818235,-0.004895225,0.458102588,-0.01068587,0.991474071,0.999299192
ENSCAFG00000000360,SQSTM1,7710.831694,0.406951652,0.394617845,1.031255065,0.302421224,0.890021788
ENSCAFG00000000361,TBC1D30,291.4066253,2.585381926,1.249571353,2.069015043,0.038544675,0.539253855
ENSCAFG00000000364,WIF1,28.31083751,-1.400730764,2.143249502,-0.65355469,NA,NA
ENSCAFG00000000365,MRNIP,179.4846934,-0.016714785,0.232516202,-0.07188654,0.942692202,0.995568415
ENSCAFG00000000366,SASH1,1418.243552,0.733331236,1.236350811,0.593141712,0.553086317,0.967404372
ENSCAFG00000000367,ENPP3,64.78893797,-5.645731316,1.490593185,-3.787573546,0.000152126,0.044466428
ENSCAFG00000000370,NA,1223.843029,-0.153578049,0.355284034,-0.432268368,0.665546374,0.978602374
ENSCAFG00000000372,UST,806.235192,-0.172612138,0.730691685,-0.236231151,0.813253308,0.991991405
ENSCAFG00000000373,TAB2,2839.938378,-0.798228086,0.217276284,-3.673792972,0.000238976,0.055603278
ENSCAFG00000000374,IRAK3,197.4242655,0.060442326,0.92369083,0.065435668,0.947827126,0.995568415
ENSCAFG00000000375,ZC3H12D,185.7099379,-3.503222745,1.93785142,-1.807787073,0.070639647,0.636268859
ENSCAFG00000000376,NA,152.5070032,0.319094263,0.396034555,0.805723287,0.420402419,0.936097617
ENSCAFG00000000377,NA,132.1352066,0.09305999,0.423296726,0.219845758,0.825991282,0.992603926
ENSCAFG00000000378,HELB,393.4005112,-0.723665452,0.345872457,-2.092289908,0.03641259,0.533461234
ENSCAFG00000000379,PPIL4,1020.09193,-0.217225236,0.341436873,-0.63620907,0.524640163,0.959316256
ENSCAFG00000000380,MED23,1424.048524,-0.21311163,0.384033989,-0.554929083,0.578943168,0.970073078
ENSCAFG00000000381,TBC1D9B,2561.432754,-0.015659478,0.26601239,-0.058867475,0.953057664,0.995568415
ENSCAFG00000000384,GRIP1,475.1514089,-0.061733446,1.513157132,-0.040797776,0.967457112,0.996627449
ENSCAFG00000000385,KATNA1,1401.880718,-0.251235947,0.24610207,-1.020860763,0.307320411,0.892929691
ENSCAFG00000000386,ARG1,28.81782109,0.489527429,0.572394897,0.855226752,0.392425629,0.927156171
ENSCAFG00000000387,LATS1,976.8546813,-0.114690923,0.281410401,-0.407557513,0.683598562,0.979818799
ENSCAFG00000000388,TRIM39,154.9775578,-0.130953412,0.383644884,-0.341340175,0.732847507,0.984000245
ENSCAFG00000000390,NUP43,1071.400287,-0.233102515,0.188003881,-1.2398814,0.215019265,0.83589401
ENSCAFG00000000391,RASGEF1C,1.157466795,0.968225774,1.216340906,0.796015138,0.426023237,NA
ENSCAFG00000000393,PCMT1,1937.851363,-2.41E-05,0.23394694,-0.000103125,0.999917718,0.999917718
ENSCAFG00000000394,RPP21,678.2243111,-0.009650728,0.376395718,-0.025639844,0.979544605,0.99793985
ENSCAFG00000000395,MAPK9,1707.662635,0.245284773,0.387365906,0.633212085,0.526595155,0.960075661
ENSCAFG00000000396,GNL1,1805.075456,0.264720342,0.384362165,0.688726328,0.490995505,0.950958511
ENSCAFG00000000397,CAND1,8597.022348,-0.403169758,0.519510781,-0.776056577,0.437715581,0.940996375
ENSCAFG00000000398,LRP11,674.2746096,1.131183566,0.611818807,1.848886556,0.064474195,0.626798486
ENSCAFG00000000399,NA,760.7496962,-0.073944119,0.894692424,-0.08264753,0.934131807,0.995568415
ENSCAFG00000000400,NA,766.9940067,-0.096474822,0.375849698,-0.256684579,0.797422277,0.987954561
ENSCAFG00000000402,PPP1R14C,75.65470369,-2.021321818,1.429581116,-1.413925937,0.15738365,0.792528454
ENSCAFG00000000404,IYD,0.323960903,-0.035827063,2.71209503,-0.013210106,0.989460167,NA
ENSCAFG00000000405,PLEKHG1,259.4366922,-1.372834865,1.198037931,-1.145902671,NA,NA
ENSCAFG00000000406,PPP1R10,2193.725478,-0.018430933,0.286140359,-0.064412209,0.948642009,0.995568415
ENSCAFG00000000407,DYRK2,1444.6552,-0.578453635,0.576313894,-1.003712804,0.315517064,0.896992878
ENSCAFG00000000408,IFNG,0.094296311,-0.516724746,3.11653965,-0.165800793,0.868313722,NA
ENSCAFG00000000409,IL26,0,NA,NA,NA,NA,NA
ENSCAFG00000000410,IL22,0,NA,NA,NA,NA,NA
ENSCAFG00000000411,MRPS18B,1628.446707,0.060793049,0.304619348,0.199570545,0.841816466,0.992864156
ENSCAFG00000000412,MDM1,710.6977845,-0.984755505,0.493850161,-1.994037025,0.046148008,0.568221925
ENSCAFG00000000413,MTHFD1L,6143.792448,-0.200963175,0.375487069,-0.535206647,0.59250697,0.972437664
ENSCAFG00000000414,ATAT1,235.148943,-1.266992247,0.421600537,-3.005195999,0.002654098,0.198674378
ENSCAFG00000000415,RAP1B,3810.928033,-0.620331604,0.454387318,-1.365204482,0.17218879,0.80167289
ENSCAFG00000000416,C12H6orf136,1512.439257,-0.128071747,0.253326711,-0.505559584,0.61316586,0.975885353
ENSCAFG00000000417,NUP107,3027.837497,-0.47920004,0.590751991,-0.811169573,0.417268296,0.935933465
ENSCAFG00000000418,MDM2,3797.546563,-0.841346365,0.551257738,-1.526230484,0.126952474,0.750987327
ENSCAFG00000000419,AKAP12,5139.877121,-0.960901963,1.180919023,-0.813689968,0.415822582,0.935556855
ENSCAFG00000000422,ZBTB2,1061.223383,-0.436701868,0.280525227,-1.556729398,0.119534746,0.737785386
ENSCAFG00000000423,RMND1,408.5804564,-0.464488822,0.174861726,-2.656320691,0.007899845,0.331231715
ENSCAFG00000000424,CPSF6,3318.56642,-0.119062933,0.192287537,-0.619192148,0.535789784,0.962921495
ENSCAFG00000000425,ARMT1,576.1112828,-0.275853187,0.174584334,-1.580056928,0.11409383,0.73079363
ENSCAFG00000000426,LYZ,112.4055343,-0.029045444,2.886420161,-0.010062791,NA,NA
ENSCAFG00000000427,DHX16,1752.019116,-0.070204352,0.280298496,-0.25046282,0.802229454,0.989595748
ENSCAFG00000000428,YEATS4,687.7282122,-0.30853821,0.461003535,-0.66927515,0.503319975,0.952731635
ENSCAFG00000000429,CCDC170,9.470077459,-1.761771924,1.598799271,-1.101934406,0.270490189,0.866842846
ENSCAFG00000000430,ESR1,36.49879479,-3.916927958,1.791264913,-2.186682679,0.028765697,0.487756711
ENSCAFG00000000431,FRS2,617.1383069,-0.832893531,0.5936007,-1.403120872,0.160580798,0.795653564
ENSCAFG00000000432,CCT2,14458.21127,-0.568861294,0.64050715,-0.888141988,0.374464379,0.918496448
ENSCAFG00000000433,GFPT2,380.4772001,6.884667873,1.299451863,5.29813229,1.17E-07,0.000373512
ENSCAFG00000000434,LRRC10,0.244873708,-0.516721889,2.725245063,-0.18960566,0.849618151,NA
ENSCAFG00000000435,BEST3,0.078506421,-0.516724746,3.11653965,-0.165800793,0.868313722,NA
