"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSCAFG00000000001",276.499401554136,-0.476553528005913,1.20488273958184,-0.395518594756616,0.692460201347031,0.999938915333231
"ENSCAFG00000000005",200.38960584874,-1.83887261858519,0.901117182971805,-2.0406586993722,0.0412847632233977,0.698825081049551
"ENSCAFG00000000007",892.202845986744,-0.260690655402296,0.150540774698009,-1.73169465830937,0.0833279422269026,0.816772571680401
"ENSCAFG00000000008",1468.01150091694,0.116173251431782,0.259189297634673,0.44821777940665,0.653996032502301,0.999938915333231
"ENSCAFG00000000009",1371.4541469531,0.493655954308497,0.37485018630653,1.31694200067655,0.187858066524314,0.916337776885684
"ENSCAFG00000000010",2600.30214716675,0.0115436900541455,0.20956269080216,0.0550846623030024,0.956071015300294,0.999938915333231
"ENSCAFG00000000011",1584.09608518689,0.324195308781362,0.728165522033232,0.445221998256828,0.656159330772563,0.999938915333231
"ENSCAFG00000000012",1114.4658576123,-0.0499982091436815,0.346292350455897,-0.144381500422572,0.885199224267007,0.999938915333231
"ENSCAFG00000000014",52.4729076996426,0.929129783237144,0.635819061223761,1.46131162134216,0.143929942034151,0.89353912745419
"ENSCAFG00000000016",539.879731945248,-2.12152220575908,0.827567693774737,-2.56356334559449,0.010360379351832,0.457504213579368
"ENSCAFG00000000017",618.684572746722,-0.648538938033333,0.463961299984298,-1.39782981480413,NA,NA
"ENSCAFG00000000019",692.645926306154,0.28542874355125,0.691364741601905,0.412848278739102,0.679717777060979,0.999938915333231
"ENSCAFG00000000020",1095.32925601137,-0.76638973136247,0.271544061714136,-2.82234023651482,0.00476745691116836,0.346034994851375
"ENSCAFG00000000021",573.382873107948,-0.674171536923082,0.324497348437011,-2.07758719807829,0.0377473963001414,0.678122061161414
"ENSCAFG00000000022",712.046539711036,-0.463259360804772,0.21952504620649,-2.11028021089229,0.0348342270901536,0.672704376306409
"ENSCAFG00000000024",5.33781090715945,-0.195483333859665,0.851247865567901,-0.229643258757836,0.818368989423242,0.999938915333231
"ENSCAFG00000000026",2982.54196044638,-0.936778997498408,0.631267980090492,-1.48396406445979,0.137818454302529,0.886759230496306
"ENSCAFG00000000027",37.3009343124477,0.270771415224308,0.45478283316236,0.595386183206349,0.551585359108369,0.999938915333231
"ENSCAFG00000000028",1437.50325472461,-0.319651711631572,0.289321634698654,-1.10483169350439,0.269232524653618,0.957942671278411
"ENSCAFG00000000029",17.602391134449,-0.158994808087465,0.675267988321462,-0.235454383796104,0.813856080093963,0.999938915333231
"ENSCAFG00000000030",90.541121544659,-0.0316253746007482,0.256093493619376,-0.123491519264257,0.901717889536129,0.999938915333231
"ENSCAFG00000000031",395.607918697066,-0.340387795481307,2.01819747006238,-0.168659311356081,0.866064625032406,0.999938915333231
"ENSCAFG00000000033",73.2626397205446,-0.0128279796478003,0.279540544081439,-0.0458895137732262,0.963398312170194,0.999938915333231
"ENSCAFG00000000036",426.70968694001,-0.36267947802151,0.218213116687309,-1.66204251846701,0.0965042495948703,0.842515939631153
"ENSCAFG00000000037",812.767167102055,-0.343240750650316,0.322188864217472,-1.06534020498807,0.286722005085116,0.96599760929283
"ENSCAFG00000000039",114.320182642796,-0.46741838453237,1.86369864097351,-0.250801483810823,0.801967594321405,0.999938915333231
"ENSCAFG00000000042",10.2801616509287,-0.0336106252354455,0.478861873191348,-0.0701885598271781,0.944043579804244,0.999938915333231
"ENSCAFG00000000043",654.784340717967,-0.188301620428204,0.33109254853426,-0.568728052811251,0.569540707100854,0.999938915333231
"ENSCAFG00000000044",7.66160891558062,0.513735184241941,0.507869162881155,1.01155026095207,0.3117531380831,0.977272984171482
"ENSCAFG00000000045",6.10855901361141,-0.106564985093592,1.12312439006388,-0.0948826203369427,0.924408061194206,0.999938915333231
"ENSCAFG00000000047",216.422372605401,-0.303274634272457,1.74128310584542,-0.174167332844599,0.861733957740643,0.999938915333231
"ENSCAFG00000000049",37.3083308524456,-0.275595541149305,0.378790069565913,-0.727568020632466,0.466878062604,0.999938915333231
"ENSCAFG00000000054",237.640235752786,0.119801895318241,0.304303797259152,0.393691752772362,0.693808630996597,0.999938915333231
"ENSCAFG00000000058",1838.93262852658,0.604036649110453,0.980509942218363,0.616043369987503,0.537865896097028,0.999938915333231
"ENSCAFG00000000059",2978.19292939792,3.12444047239615,1.56920758677106,1.99109442162798,0.0464705076279502,0.724791144758947
