gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000031655,SKP2,128.8221797,0.155427189,0.830309093,NA,NA
ENSCAFG00000023437,NA,224.5396214,0.154421637,0.781386894,0.003139041,0.442194017
ENSCAFG00000009612,POP4,17.1601787,0.143763776,0.667549724,0.002609326,0.406281157
ENSCAFG00000011171,SPCS1,479.9199317,0.142452566,0.707502223,NA,NA
ENSCAFG00000009781,LNPEP,746.6276559,0.141540806,0.560368409,0.00175424,0.334704515
ENSCAFG00000024908,AURKB,51.45494281,0.141096412,0.80514558,NA,NA
ENSCAFG00000000865,TUBGCP6,90.9083263,0.138968918,0.730135917,NA,NA
ENSCAFG00000000799,ATP6V1C1,40.52854242,0.129870299,0.76197103,0.004317174,0.493222993
ENSCAFG00000024903,ASPHD1,837.5820695,0.124366065,0.598089868,NA,NA
ENSCAFG00000007251,HBEGF,644.2418589,0.122669931,0.776640217,NA,NA
ENSCAFG00000014333,KCNB1,71.15620641,0.121200681,0.662268834,NA,NA
ENSCAFG00000005437,NA,73.41026823,0.116014068,0.279828318,0.001885131,0.342344292
ENSCAFG00000020342,DBN1,553.5389063,0.113411905,0.533539454,0.002726125,0.413408147
ENSCAFG00000046670,NA,22.67281599,0.103339218,0.61540491,0.004863566,0.523632351
ENSCAFG00000005225,NA,77.387396,0.10102287,0.624453022,NA,NA
ENSCAFG00000005773,GLB1,80.89391197,0.09926972,0.52554865,0.003692768,0.479836958
ENSCAFG00000005717,TMCC1,429.269472,0.099041144,0.564649844,0.004430707,0.493222993
ENSCAFG00000009666,RASA2,73.03957827,0.09824851,0.555274484,0.004342039,0.493222993
ENSCAFG00000020069,NA,13457.8681,0.097851343,0.213015552,0.0026696,0.410600901
ENSCAFG00000001953,PSAT1,51.05299739,0.097277508,0.341459209,0.001938458,0.347837789
ENSCAFG00000029897,P2RY11,630.5721129,0.095485066,0.597431685,NA,NA
ENSCAFG00000010602,NA,97.92961135,0.094653175,0.581366945,NA,NA
ENSCAFG00000012968,MCEE,1451.561252,0.093314294,0.367908842,0.002179441,0.360996906
ENSCAFG00000007307,LRTOMT,1463.117918,0.092901109,0.615017441,0.00619294,0.56306738
ENSCAFG00000025892,RNASEH2A,13.48846446,0.091481166,0.254563788,0.002614561,0.406281157
ENSCAFG00000009786,CELA1,16.47266978,0.087986034,0.487158456,NA,NA
ENSCAFG00000004347,CLEC4F,25.86766242,0.085526303,0.555613847,NA,NA
ENSCAFG00000015640,CERS2,3397.944385,0.082436317,0.23624537,0.003174079,0.442989701
ENSCAFG00000006721,ACKR2,58.18185757,0.077650036,0.534051167,0.00709016,0.600393195
ENSCAFG00000015410,NA,178.5508919,0.077232466,0.552448016,NA,NA
