gene,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSCAFG00000018219,SORCS2,3333.46215,7.800659486,1.781495663,1.66E-07,0.001248435
ENSCAFG00000008901,PLAG1,3066.695308,7.731426758,2.375039809,1.08E-06,0.002651257
ENSCAFG00000018348,DDX49,5556.598961,6.613437757,1.581264778,5.93E-07,0.002228171
ENSCAFG00000009273,ADAMTS6,413.3600832,6.308236771,1.6676479,1.41E-06,0.002651257
ENSCAFG00000012013,ERLIN1,1251.393928,5.98782195,1.857732273,NA,NA
ENSCAFG00000012086,DOP1B,1397.363611,5.536716621,1.656237562,3.74E-06,0.005113057
ENSCAFG00000002152,POT1,2204.939216,5.189483138,2.173786702,1.30E-05,0.013004676
ENSCAFG00000014333,HLX,260.1481408,5.116539768,2.003786752,1.12E-05,0.012023028
ENSCAFG00000015086,ASB9,172.4949063,5.066230172,1.265603363,1.66E-06,0.002776782
ENSCAFG00000013968,EDARADD,1093.576358,4.884494893,2.265847806,1.88E-05,0.017697036
ENSCAFG00000013440,TPCN2,728.0952539,4.619639889,1.108105423,1.40E-06,0.002651257
ENSCAFG00000042676,MYMK,224.6157355,4.361226642,2.256306158,2.94E-05,0.02453465
ENSCAFG00000018251,NA,81.02602103,4.106668454,2.310444176,3.83E-05,0.030320467
ENSCAFG00000011995,IBSP,572.355473,3.732541468,1.64911679,2.29E-05,0.020280122
ENSCAFG00000004165,DCDC2C,370.3837101,3.403189954,3.010632091,NA,NA
ENSCAFG00000008919,PPP2R3A,175.6095556,3.294205476,2.40682261,8.27E-05,0.051827812
ENSCAFG00000016865,PTPN23,281.111972,3.242710504,3.274864669,NA,NA
ENSCAFG00000011920,MTDH,107.6788208,3.028167529,2.95031667,0.000132706,0.068529989
ENSCAFG00000001991,TFEB,22.95455703,2.977309345,1.031623687,1.06E-05,0.012023028
ENSCAFG00000013078,COL4A4,174.7238691,2.907710282,2.553407833,NA,NA
ENSCAFG00000047105,NA,64.26477582,2.89032709,1.651140273,4.97E-05,0.03725187
ENSCAFG00000002201,ACO1,246.62577,2.846082491,2.706228712,0.000145818,0.068529989
ENSCAFG00000014879,NA,589.8860667,2.64402063,3.019531502,0.000180724,0.07152387
ENSCAFG00000023691,NCAPG,189.5842681,2.563698618,2.655966173,NA,NA
ENSCAFG00000000865,MAPK12,97.2863269,2.562285559,2.149756276,NA,NA
ENSCAFG00000000957,AGPAT1,74.08742667,2.477659852,2.198862691,NA,NA
ENSCAFG00000018540,GNB3,582.1065437,2.467622542,2.458934612,NA,NA
ENSCAFG00000020082,WIPI2,322.9733797,2.444594562,1.633364806,7.47E-05,0.050291263
ENSCAFG00000005704,GIMAP4,248.9520131,2.340399384,2.351798452,0.000194415,0.071694416
ENSCAFG00000031865,DOCK7,286.0886604,2.304157719,1.986573894,0.000142436,0.068529989
ENSCAFG00000010198,PRSS55,124.2581957,2.157767293,1.611884888,9.82E-05,0.056813499
ENSCAFG00000001550,GFRA3,63.79150691,2.054892553,2.444221283,NA,NA
ENSCAFG00000011525,HOGA1,141.7046686,1.941353623,2.109989324,0.00024813,0.085006773
ENSCAFG00000031767,NA,110.4728367,1.937651393,1.836427486,0.000180305,0.07152387
ENSCAFG00000006704,NA,938.1824344,1.908296919,2.071594616,0.000248707,0.085006773
ENSCAFG00000018169,NCKAP1,244.0627068,1.803090045,2.669693418,0.000379797,0.109916088
ENSCAFG00000014221,LAPTM5,74.46623789,1.725575649,2.324677537,0.000384612,0.109916088
ENSCAFG00000024908,KIF22,52.04132114,1.701801654,2.374653536,NA,NA
ENSCAFG00000012619,IQCF2,461.1546242,1.69156334,2.597655569,0.000424933,0.116192002
ENSCAFG00000018277,PPP1R35,4242.354742,1.677926746,1.703194888,0.000210499,0.075373758
ENSCAFG00000001244,NDUFA6,58.70986312,1.459924388,2.304801936,NA,NA
ENSCAFG00000029333,LOXHD1,26.79037107,1.42599938,2.038365541,NA,NA
ENSCAFG00000023592,MTOR,630.6587315,1.425063475,2.500702815,0.000555577,0.136972512
ENSCAFG00000014463,NA,2199.625327,1.415148792,2.164528296,0.000533172,0.133639562
ENSCAFG00000012468,ADAMTS8,95.75192624,1.392026431,2.101629127,0.000529121,0.133639562
ENSCAFG00000011008,CLDN17,114.7276821,1.179548831,2.373484497,0.000724989,0.160339805
ENSCAFG00000008874,FFAR2,70.01141305,1.143541698,1.892355481,0.000680006,0.153663753
ENSCAFG00000017712,SNX15,130.9742843,1.07614477,1.874718232,NA,NA
ENSCAFG00000001002,NA,2526.446239,1.064193616,2.336383431,0.000799817,0.173695631
ENSCAFG00000006219,GPR39,260.0706863,1.054610275,1.736635252,NA,NA
ENSCAFG00000031655,NA,131.4625661,1.019236958,1.956025628,NA,NA
ENSCAFG00000013058,CPNE8,1121.321798,0.955080948,0.70203953,5.20E-05,0.03725187
ENSCAFG00000005852,KCTD2,1177.796975,0.929309482,1.885741828,0.001043722,0.201650109
ENSCAFG00000004617,PRDM1,455.0266969,0.91397785,1.447203012,0.000603734,0.145005828
ENSCAFG00000012077,KCNS1,46.16020387,0.88847456,1.658191545,0.000922632,0.192714666
ENSCAFG00000014860,DISC1,223.0139503,0.839701954,2.018004694,0.00122153,0.208883501
ENSCAFG00000018931,GORAB,15.47640879,0.827356503,1.637505489,0.001058873,0.201650109
ENSCAFG00000016875,LIPH,7.131722038,0.798152668,1.63357565,0.001143304,0.208883501
ENSCAFG00000018519,PNKD,54.56095435,0.771293864,1.672093872,NA,NA
ENSCAFG00000029158,TEX14,807.8843968,0.769063425,1.2653695,NA,NA
ENSCAFG00000004160,ANTXR1,71.10548978,0.743722763,1.55474841,0.001211446,0.208883501
ENSCAFG00000014645,ENPEP,5944.369005,0.738986371,1.473977333,0.001084058,0.203789262
ENSCAFG00000015282,TGM5,172.1213696,0.719018426,1.892726399,NA,NA
ENSCAFG00000025324,LRRC59,41.07591689,0.718289072,1.374930599,0.000965437,0.1988933
ENSCAFG00000006585,WDR43,224.9631531,0.705303274,1.754041458,0.001596823,0.247573459
ENSCAFG00000007401,NA,9.121884324,0.617286757,1.426713254,0.001546677,0.244367879
ENSCAFG00000012206,SNX21,115.9116403,0.607347226,1.505519458,0.001786834,0.271436379
ENSCAFG00000010599,PCGF1,221.4806981,0.56779004,1.133722416,0.000999684,0.201650109
ENSCAFG00000008804,C24H20orf96,71.27189111,0.524938731,1.182378559,0.001407633,0.232630752
ENSCAFG00000023063,INTS1,58.7051365,0.523354774,1.3257295,0.00193218,0.287703503
ENSCAFG00000019194,TRPC6,415.3206504,0.507173436,1.034243198,0.001008041,0.201650109
ENSCAFG00000023636,ADAM21,56.82136419,0.49775697,1.350887184,0.00225823,0.31445857
ENSCAFG00000017319,RUFY2,182.1154015,0.469968573,1.35757232,NA,NA
ENSCAFG00000004175,NA,1107.045904,0.463873412,1.393652009,0.002738974,0.333107188
ENSCAFG00000031682,ANKRD12,78.91453457,0.449496011,1.11255724,0.001772149,0.271436379
ENSCAFG00000005068,CENPO,639.6368184,0.436525539,1.135373842,0.002032304,0.291084042
ENSCAFG00000001611,NA,498.1648913,0.433760989,1.189964846,0.00234549,0.320323363
ENSCAFG00000002054,IFNB1,175.0853652,0.4307749,1.413690492,0.003120225,0.352820084
ENSCAFG00000010934,TM9SF3,22.09382998,0.424562101,0.740987495,0.000524171,0.133639562
ENSCAFG00000000059,TMX3,2562.481384,0.396471346,1.27869034,0.003320485,0.357581635
ENSCAFG00000031563,TUBB4A,10.89628351,0.381159169,1.069195088,0.002442179,0.320323363
ENSCAFG00000011971,SSR1,104.2176933,0.368811733,1.223099666,NA,NA
ENSCAFG00000004911,TRAF3IP2,418.2709507,0.365165208,1.203387278,NA,NA
ENSCAFG00000024903,KCNMB1,1056.866369,0.359899637,1.074348527,0.002873209,0.340237681
ENSCAFG00000000075,CD63,476.0429814,0.348496602,1.055853732,NA,NA
ENSCAFG00000018171,TADA2B,87.15002412,0.340329234,1.178646559,0.004005262,0.388679315
ENSCAFG00000017628,TPRG1,63.20726109,0.336265749,1.16981745,0.004057627,0.388679315
ENSCAFG00000014716,FAM160B1,3417.783286,0.314195336,0.227712523,0.000139031,0.068529989
ENSCAFG00000020303,PSMD3,960.9470936,0.308941489,1.128283287,NA,NA
ENSCAFG00000024792,RANBP17,2225.619969,0.302477358,1.108844816,0.004638158,0.412761049
ENSCAFG00000018466,NA,219.8574212,0.295822172,0.928131776,NA,NA
ENSCAFG00000000071,ITGA7,756.4093235,0.294607438,0.240752981,0.000179185,0.07152387
ENSCAFG00000017523,FYCO1,321.4470625,0.291018466,0.937045086,0.003408092,0.360945776
ENSCAFG00000029897,MRM1,640.482662,0.288611806,1.021573375,NA,NA
ENSCAFG00000010928,NA,960.5650886,0.277752175,1.007128845,0.004650553,0.412761049
ENSCAFG00000006200,DMRTC2,412.5296591,0.272513196,0.808835749,0.00255507,0.325641444
ENSCAFG00000010511,TSC22D2,115.8884636,0.270047729,0.794772381,0.002470743,0.320323363
ENSCAFG00000015293,NA,29.75910531,0.265821634,0.949133741,0.004480726,0.412761049
ENSCAFG00000001084,PARVG,322.2519909,0.260642452,0.964946998,0.004906457,0.414080814
ENSCAFG00000019122,VAMP1,1816.095992,0.257449932,0.664735074,0.001517782,0.244367879
ENSCAFG00000003362,ZNF189,13.57535323,0.255255737,0.996312804,NA,NA
ENSCAFG00000009521,CEP70,48.44178304,0.239336606,0.866070501,0.004574757,0.412761049
ENSCAFG00000013736,UPK1B,490.8661811,0.238589977,0.352896867,0.000371019,0.109916088
ENSCAFG00000028456,NA,97.50661773,0.236876931,0.970748974,0.006210768,0.451060273
ENSCAFG00000019856,GLTPD2,1095.44888,0.229964868,0.708595212,0.002654837,0.329967759
ENSCAFG00000005178,NA,89.04001863,0.225753777,0.968502205,0.006852717,0.455113711
