,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000001,ENPP1,337.149048,-0.488704535,0.863775558,-0.565777221,0.571545233,0.999855157
ENSCAFG00000000002,NA,2.646353043,0.137569408,0.752939539,0.182709768,0.855025751,0.999855157
ENSCAFG00000000005,PARD6G,254.3871573,-1.214437995,0.85968507,-1.412654514,0.157757332,0.999855157
ENSCAFG00000000007,ADNP2,831.9636056,0.00309023,0.155103306,0.019923688,0.984104249,0.999855157
ENSCAFG00000000008,TXNL4A,1504.295004,-0.023259047,0.270820618,-0.085883592,0.931558955,0.999855157
ENSCAFG00000000009,SLC66A2,1469.467681,-0.014495072,0.370096862,-0.039165618,0.968758345,0.999855157
ENSCAFG00000000010,CTDP1,2456.384237,0.036440607,0.262451978,0.138846761,0.889571242,0.999855157
ENSCAFG00000000011,NFATC1,1088.416509,-0.324576165,0.759915701,-0.427121278,0.669290995,0.999855157
ENSCAFG00000000012,ATP9B,1110.591258,0.154166987,0.333084422,0.462846584,0.643474338,0.999855157
ENSCAFG00000000013,SALL3,60.48567144,0.876403029,2.887517541,0.303514357,NA,NA
ENSCAFG00000000014,NA,56.79354591,0.00623039,0.681502101,0.009142144,0.992705726,0.999855157
ENSCAFG00000000015,GALR1,5.053152674,1.896189267,2.322974111,0.816276539,NA,NA
ENSCAFG00000000016,MBP,334.1561073,-1.636307072,1.305418472,-1.253473202,0.210033546,0.999855157
ENSCAFG00000000017,ZNF236,479.575249,-0.157327873,0.282520557,-0.556872302,0.57761468,0.999855157
ENSCAFG00000000019,ZNF516,734.1148098,-0.204072071,0.537896902,-0.379388821,0.704399151,0.999855157
ENSCAFG00000000020,TSHZ1,1072.691838,-0.615680845,0.379762208,-1.621227265,0.104968907,0.999855157
ENSCAFG00000000021,ZADH2,520.4677716,-0.310557652,0.315502481,-0.984327129,0.324954695,0.999855157
ENSCAFG00000000022,ZNF407,631.0786738,0.049649034,0.162840155,0.304894296,0.76044666,0.999855157
ENSCAFG00000000024,CNDP1,4.030739902,0.930103044,1.030133907,0.902895282,0.366581475,0.999855157
ENSCAFG00000000025,DIPK1C,0.846219271,-1.151967356,2.862106203,-0.402489382,0.687323901,0.999855157
ENSCAFG00000000026,CYB5A,2589.194278,0.214243971,0.494759282,0.433026683,0.664995385,0.999855157
ENSCAFG00000000027,NA,42.32751379,0.344732218,0.389957768,0.884024492,0.376682992,0.999855157
ENSCAFG00000000028,TIMM21,1278.269364,-0.044614461,0.236181597,-0.188898972,0.850171999,0.999855157
ENSCAFG00000000029,FBXO15,17.76327575,-0.410010426,0.629850178,-0.650965008,0.515069075,0.999855157
ENSCAFG00000000030,NA,83.73804333,0.296189736,0.342684579,0.864321752,0.387411164,0.999855157
ENSCAFG00000000031,NETO1,390.5920305,0.17468133,2.296651128,0.076059149,0.93937204,0.999855157
ENSCAFG00000000032,CBLN2,4.649805558,-3.681552049,1.680120576,-2.191242761,0.02843423,0.999855157
ENSCAFG00000000033,NA,77.80875547,0.118565995,0.369381195,0.320985465,0.748221406,0.999855157
ENSCAFG00000000034,NA,0,NA,NA,NA,NA,NA
ENSCAFG00000000036,SOCS6,452.292057,-0.191748898,0.344713766,-0.556255412,0.578036264,0.999855157
ENSCAFG00000000037,RTTN,801.4169354,-0.130914669,0.241739172,-0.541553393,0.588126206,0.999855157
ENSCAFG00000000038,CD226,4.322339197,1.67523592,1.618970802,1.034753634,0.300783981,0.999855157
ENSCAFG00000000039,DOK6,157.1521698,-0.576093563,1.993204111,-0.289028886,0.772559273,0.999855157
ENSCAFG00000000040,CCDC102B,1.875903096,-1.524518827,1.10757627,-1.376445911,0.168683622,0.999855157
ENSCAFG00000000042,NA,11.09168948,-0.366476867,0.428234671,-0.855785138,0.392116637,0.999855157
ENSCAFG00000000043,TMX3,673.0488837,0.047741807,0.37264774,0.128115111,0.898057878,0.999855157
ENSCAFG00000000044,NA,7.392687266,0.53459962,0.511358399,1.045449965,0.295815054,0.999855157
ENSCAFG00000000045,NA,7.621667293,-0.310829821,1.145715717,-0.27129751,0.786162221,0.999855157
ENSCAFG00000000047,NA,322.0537856,-0.340927691,1.257473062,-0.271121268,0.786297764,0.999855157
ENSCAFG00000000049,NA,35.84888517,0.133833811,0.391494777,0.341853375,0.73246124,0.999855157
ENSCAFG00000000051,NA,0,NA,NA,NA,NA,NA
ENSCAFG00000000052,CDH19,0.10839849,-0.46788913,3.11653965,-0.150130973,0.880661284,NA
ENSCAFG00000000054,NA,240.2296064,0.328633007,0.360626711,0.911283045,0.362146258,0.999855157
