,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000615,MPIG6B,9.321630277,0.567225923,0.839618353,0.675575898,0.499309948,0.933602491
ENSCAFG00000000616,TMEM242,682.8807813,-0.125799889,0.308136572,-0.40826017,0.683082677,0.974777533
ENSCAFG00000000617,DDAH2,262.4592342,0.021927618,0.469168389,0.046737203,0.962722679,0.997189306
ENSCAFG00000000618,ZDHHC14,87.95160988,-0.202646325,0.979462997,-0.206895335,0.8360916,0.988965857
ENSCAFG00000000619,UBR5,5994.521199,0.251567628,0.428249611,0.587432238,0.556913447,0.947158533
ENSCAFG00000000620,PPP6R2,2511.332949,-0.197790662,0.317092885,-0.623762535,0.532783548,0.941738313
ENSCAFG00000000621,CLIC1,9312.816924,-0.296528159,0.299197832,-0.99107723,0.32164787,0.87552656
ENSCAFG00000000622,PRRC1,2118.103882,0.01362508,0.396174885,0.034391578,0.972564899,0.99866016
ENSCAFG00000000624,NA,11.51462311,0.626503871,0.494783205,1.26621895,0.205434705,0.804474092
ENSCAFG00000000625,CCDC192,13.44577987,4.362333498,1.663497904,2.62238593,0.008731649,0.235740308
ENSCAFG00000000626,NA,96.36372815,-0.890549641,0.505113941,-1.763066842,0.077889217,0.614842641
ENSCAFG00000000627,SNX9,2449.588912,-0.557761571,0.500949538,-1.113408694,0.265532943,0.845781002
ENSCAFG00000000628,SAPCD1,4.274241807,0.80063046,1.130337648,0.708310886,0.478752219,0.926593757
ENSCAFG00000000629,DENND6B,742.4611892,0.153882817,0.329289809,0.467317278,0.640272896,0.96394046
ENSCAFG00000000630,VWA7,122.9444185,0.436531235,0.862652634,0.50603362,0.612833048,0.959864121
ENSCAFG00000000632,NA,165.2399575,0.067259253,0.187689752,0.358353357,0.720078893,0.979018633
ENSCAFG00000000634,NA,18.04989104,-0.428703157,0.347779399,-1.232687036,0.21769255,0.814854591
ENSCAFG00000000636,VARS1,12967.50445,-0.342046201,0.305874201,-1.118257766,0.263456919,0.845313958
ENSCAFG00000000637,SLC12A2,3077.805037,1.453917584,0.814110999,1.785896009,0.074116097,0.603096212
ENSCAFG00000000638,KLF10,2267.317124,0.513291873,0.395346812,1.298333151,0.194172879,0.799533709
ENSCAFG00000000639,HSPA1L,61.81189751,-0.865299117,0.49812836,-1.73710069,0.0823694,0.629069811
ENSCAFG00000000641,NA,929.0251554,-0.240600892,0.503265938,-0.478079032,0.632593956,0.963913381
ENSCAFG00000000642,NEU1,2160.660997,0.080932086,0.271538687,0.298049928,0.765665058,0.983313749
ENSCAFG00000000643,AZIN1,6072.508594,-0.031101265,0.338476205,-0.091886121,0.926788519,0.996496038
ENSCAFG00000000644,SYNJ2,1195.009394,-0.393363394,0.564624181,-0.696681806,0.486001947,0.928866868
