"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSCAFG00000000001",321.792084418861,0.72269975038603,1.17584816522761,0.61461995839075,0.538805730665204,0.983660041907695
"ENSCAFG00000000005",226.432579518045,1.35544177020502,0.856203106894703,1.58308438650843,0.113402231825359,0.813877883450096
"ENSCAFG00000000007",928.742174943068,-0.267160464065829,0.200800838456014,-1.33047484323305,0.183361869620597,0.877554122488852
"ENSCAFG00000000008",1452.8734032575,-0.225297575336637,0.283323817712165,-0.795194619202547,0.426500301307458,0.969449043209128
"ENSCAFG00000000009",1499.53617787287,0.471638957475661,0.360818241432504,1.30713723231725,0.191166108261482,0.881943210022943
"ENSCAFG00000000010",2421.34914347254,-0.412107912850756,0.186343562759929,-2.21154896228793,0.0269978452332345,0.595468120280613
"ENSCAFG00000000011",1266.34706235274,-1.14095393437604,0.851516713961583,-1.33990785579285,0.180275303791748,0.877554122488852
"ENSCAFG00000000012",1140.88279734332,0.00989096604369501,0.372230819379736,0.0265721308627178,0.978801001757893,0.997714902903976
"ENSCAFG00000000014",40.1238184199575,0.345839288395281,0.523697892139896,0.660379378236826,0.509010402337311,0.980001273941852
"ENSCAFG00000000016",572.639632422266,-0.921802008181105,1.34275189643603,-0.686502108563598,0.492396535124926,0.977092230046297
"ENSCAFG00000000017",625.364437373417,-0.835397714047507,0.457087915442944,-1.8276521557958,0.0676017728839408,0.723026961675625
"ENSCAFG00000000019",627.57967810783,1.03342597763373,0.637078059878073,1.62213399380213,0.104774660919925,0.80131291827868
"ENSCAFG00000000020",1687.35655644689,-0.670849697193517,0.531540042809055,-1.26208684796021,0.206917537268678,0.89676725045126
"ENSCAFG00000000021",713.777372480918,-0.557040999471821,0.406147607319805,-1.37152352847225,0.170211814089496,0.876551370142579
"ENSCAFG00000000022",647.01150053046,-0.231614200279434,0.207979909132134,-1.11363737606157,0.265434785145774,0.923466435255918
"ENSCAFG00000000026",2281.04258133845,-0.362711947285619,0.528753419081003,-0.685975606391403,0.492728491053146,0.977092230046297
"ENSCAFG00000000027",39.5180110028408,-0.159151335295696,0.376501193924802,-0.422711369482359,0.672505859365887,0.990009917198227
"ENSCAFG00000000028",1404.32895193574,-0.282001478905349,0.30847974972814,-0.914165286874986,0.360630001326816,0.958131480893083
"ENSCAFG00000000029",14.5171373840908,0.723293801938136,0.499217141349836,1.44885610294233,0.147377772270575,0.858101783789378
"ENSCAFG00000000030",75.85058900514,0.276425902951077,0.367484830876511,0.752210376389566,0.451924554551576,0.972892204018148
"ENSCAFG00000000031",632.081500305304,-0.871971115025292,1.97511845238935,-0.441477884007638,0.658867068952194,0.990009917198227
"ENSCAFG00000000033",71.8371694102742,0.0157979724736573,0.328022048972847,0.0481613127017722,0.961587682379848,0.996527067870936
"ENSCAFG00000000036",495.184234091944,-0.431428370844131,0.396264776370221,-1.08873762335378,0.276269605519725,0.928246841395406
"ENSCAFG00000000037",914.226668590955,-0.394943885024769,0.266908620408102,-1.4796970004974,0.138954126460361,0.850412756504018
"ENSCAFG00000000039",221.734068385064,0.802525874315139,2.1411977763406,0.374802310735953,0.70780749562309,0.992301002150689
"ENSCAFG00000000042",11.006086384932,0.201846501156534,0.466966295043688,0.432250685539627,0.665559224676372,0.990009917198227
"ENSCAFG00000000043",717.642325704557,0.0791981634211357,0.344333044379455,0.230004539831093,0.818088242009526,0.995191041189811
"ENSCAFG00000000044",6.86354343647826,-0.0179315248104513,0.576086466014036,-0.0311264469282193,0.975168698286081,NA
"ENSCAFG00000000045",5.57742807841552,0.372061837339054,1.05568286884608,0.352437127018779,0.724510462531023,NA
"ENSCAFG00000000047",303.89863079751,-0.730988078630273,1.47263517002049,-0.49638097304175,0.619625646652845,0.990009917198227
"ENSCAFG00000000049",34.9508809933846,0.510432356922514,0.338153913454321,1.5094675430733,0.13117934365592,0.840515020364937
"ENSCAFG00000000054",243.328097088691,-0.207568576278989,0.281963098724223,-0.736155111140994,0.461636306814231,0.974184213825675
"ENSCAFG00000000058",1027.75107602398,0.856628533314509,1.15029866987656,0.744700968320198,0.456452513663871,0.974184213825675
"ENSCAFG00000000059",2141.59416406106,3.13345427159114,1.76878169511071,1.77153250751785,NA,NA
"ENSCAFG00000000060",546.302602566959,1.88865110570614,1.13489886441769,1.66415807163152,0.0960808445466197,0.786507940218446
"ENSCAFG00000000061",314.782240903764,-0.0184219196254043,0.418044932069195,-0.0440668411747546,0.96485112400588,0.996527067870936
"ENSCAFG00000000063",281.520732686612,-0.60913713532633,0.579015106573415,-1.05202287196128,0.292789056126815,0.93804086842051
"ENSCAFG00000000064",13861.3511684736,0.250864534905485,0.494677323006896,0.507127622872634,0.612065274456174,0.990009917198227
"ENSCAFG00000000065",388.82826384953,0.784583113243305,0.694658032412036,1.1294523011834,0.25870708035416,0.917470015922491
"ENSCAFG00000000066",2033.1024548493,-0.118623075585729,0.217824729605636,-0.544580387178684,0.586042146833967,0.989186408271373
"ENSCAFG00000000067",543.562773884701,0.17005699187547,0.438991520904541,0.387381039900425,0.69847413817243,0.99161453578325
"ENSCAFG00000000068",285.728517576962,0.211615612060982,0.45638714732676,0.463675660676463,0.642880137756678,0.990009917198227
