,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000423,RMND1,415.9022377,-0.320774348,0.220347747,-1.455764139,0.145457832,0.733975854
ENSCAFG00000000424,CPSF6,3052.565979,-0.083973171,0.17479666,-0.480404896,0.630939513,0.963498157
ENSCAFG00000000425,ARMT1,573.8378653,-0.395660497,0.179395154,-2.205524997,0.027417276,0.448720363
ENSCAFG00000000426,LYZ,58.02137099,-9.523706568,3.003687548,-3.170671521,NA,NA
ENSCAFG00000000427,DHX16,1922.968357,0.013856389,0.304453834,0.045512282,0.963698985,0.997373865
ENSCAFG00000000428,YEATS4,706.8961559,-0.084555955,0.559149994,-0.151222312,0.879800351,0.992720865
ENSCAFG00000000429,CCDC170,12.45720165,-1.192212583,1.279979722,-0.931430836,0.351630746,0.899194387
ENSCAFG00000000430,ESR1,11.42532572,-6.059262579,1.576993441,-3.84228775,0.000121893,0.023986764
ENSCAFG00000000431,FRS2,639.8217341,-0.698559728,0.646879345,-1.079891841,0.280190347,0.863808823
ENSCAFG00000000432,CCT2,14360.42004,-0.34609597,0.674183506,-0.513355736,NA,NA
ENSCAFG00000000433,GFPT2,4626.845906,0.973271362,2.038451189,0.4774563,0.633037232,0.964218732
ENSCAFG00000000434,LRRC10,0.263690322,0.369711746,2.866647592,0.128970072,0.89738133,NA
ENSCAFG00000000435,BEST3,0.079669187,-0.592077603,3.11653965,-0.189979166,0.849325456,NA
ENSCAFG00000000436,RAB3IP,1091.594317,-0.701008861,0.745978052,-0.93971781,0.347362327,0.896132378
ENSCAFG00000000437,PPP1R18,3437.386485,-0.581496188,0.284624983,-2.043025815,0.041049883,0.505629331
ENSCAFG00000000439,MYRFL,4.669925364,-5.748647366,2.661744806,-2.159728969,0.030793657,0.462744686
ENSCAFG00000000441,CNOT2,2330.642457,-0.5610639,0.542545054,-1.034133288,0.301073856,0.875781317
ENSCAFG00000000442,MDC1,4085.888793,-0.820617529,0.358990931,-2.285900445,0.022260083,0.408603538
ENSCAFG00000000443,NA,25783.42863,0.187683325,0.290496988,0.646076663,0.518229708,0.945917942
ENSCAFG00000000444,FLOT1,1966.741182,-1.497346168,0.46139365,-3.245268262,0.0011734,0.101551342
ENSCAFG00000000445,SYNE1,2307.259838,-0.129867367,0.485593729,-0.267440371,0.789130119,0.98416575
ENSCAFG00000000446,PTPRB,506.2627009,-1.733039982,1.564927704,-1.107424948,0.268110244,0.854790514
ENSCAFG00000000447,IER3,6620.061525,-0.034482614,0.704868512,-0.048920633,0.960982546,0.996973598
ENSCAFG00000000448,DDR1,1895.181447,1.789545664,1.217852869,1.469426816,0.141717058,0.727368028
ENSCAFG00000000450,TSPAN8,455.092521,3.007593604,2.476786838,1.214312656,0.224628355,0.814669028
ENSCAFG00000000451,LGR5,46.79955481,4.320398672,1.528131164,2.827243351,NA,NA
ENSCAFG00000000453,ZFC3H1,1372.475482,-0.692269484,0.262215994,-2.640073447,0.008288806,0.27239357
ENSCAFG00000000454,VARS2,5038.043326,0.027327573,0.237616228,0.115007181,0.90843943,0.992720865
ENSCAFG00000000458,RAB21,3876.732115,-0.438240569,0.44248827,-0.99040042,0.32197844,0.886382251
ENSCAFG00000000459,TBC1D15,1262.263887,-0.449751785,0.497094239,-0.904761613,0.365591692,0.904949992
ENSCAFG00000000460,LAPTM4B,11.77952383,-4.377421863,2.084962457,-2.099520712,NA,NA
ENSCAFG00000000462,TPH2,2.116234669,0.400234557,0.928088886,0.431245933,0.666289559,0.969429938
ENSCAFG00000000464,CNOT6,850.9016758,-0.320516622,0.348183693,-0.920538869,0.357291231,0.90046156
ENSCAFG00000000469,POP1,956.9842879,0.053376267,0.262357729,0.203448425,0.838784553,0.989623018
ENSCAFG00000000470,NA,4.746446805,0.312673511,0.817565852,0.382444436,0.702131736,0.972973609
ENSCAFG00000000471,NA,0,NA,NA,NA,NA,NA
ENSCAFG00000000472,C12H6orf15,2.517929602,4.21631969,2.101365076,2.006467005,0.044806446,0.522708434
ENSCAFG00000000473,TRHDE,25.20899342,-4.637893893,2.225910126,-2.083594409,NA,NA
ENSCAFG00000000474,CDSN,10.34464798,6.293481987,2.066353245,3.045695116,NA,NA
