,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000416,C12H6orf136,1647.085652,0.084460457,0.357418627,0.236306815,0.813194599,0.999485158
ENSCAFG00000000417,NUP107,2789.490162,0.675629376,0.580461867,1.163951353,NA,NA
ENSCAFG00000000418,MDM2,3714.997404,1.318407641,0.554905272,2.375914785,0.017505505,0.686934066
ENSCAFG00000000419,AKAP12,4021.783031,0.341399156,1.134225637,0.300997566,0.763416351,0.999485158
ENSCAFG00000000422,ZBTB2,999.4750766,-0.243256574,0.234970335,-1.035265044,0.30054515,0.999485158
ENSCAFG00000000423,RMND1,427.1489104,-0.19700271,0.219947455,-0.895680789,0.370423274,0.999485158
ENSCAFG00000000424,CPSF6,3104.91791,0.017422855,0.174268145,0.09997728,0.920362363,0.999485158
ENSCAFG00000000425,ARMT1,517.909613,0.187215684,0.309552988,0.604793657,0.545316109,0.999485158
ENSCAFG00000000426,LYZ,55.90785477,5.900076914,2.918823728,2.021388568,NA,NA
ENSCAFG00000000427,DHX16,2001.946563,0.127652377,0.243902364,0.523374905,0.600713384,0.999485158
ENSCAFG00000000428,YEATS4,597.9452007,0.433901492,0.490908431,0.883874597,0.376763912,0.999485158
ENSCAFG00000000429,CCDC170,15.77185953,0.338412563,1.720961974,0.196641511,0.844108084,0.999485158
ENSCAFG00000000430,ESR1,20.86386477,0.190706261,1.725715932,0.11050849,0.912006117,0.999485158
ENSCAFG00000000431,FRS2,581.8008228,0.870203448,0.609868169,1.4268714,0.153616966,0.995397391
ENSCAFG00000000432,CCT2,13189.54185,0.833411839,0.586345545,1.42136637,0.155210278,0.997521401
ENSCAFG00000000433,GFPT2,1698.304711,1.551995858,1.954266889,0.794157577,NA,NA
ENSCAFG00000000434,LRRC10,0.244636879,0.402815459,2.828133481,0.142431558,0.886739137,NA
ENSCAFG00000000435,BEST3,0.076968842,0.40281076,3.11653965,0.129249362,0.897160339,NA
ENSCAFG00000000436,RAB3IP,1063.345875,0.877061345,0.685313787,1.279795273,0.200617147,0.999485158
ENSCAFG00000000437,PPP1R18,3698.45339,-0.249393121,0.28116465,-0.887000272,0.375078754,0.999485158
ENSCAFG00000000439,MYRFL,4.567496072,-2.065963203,2.689073292,-0.768280734,NA,NA
ENSCAFG00000000441,CNOT2,2260.142933,0.481550285,0.519677615,0.926632726,NA,NA
ENSCAFG00000000442,MDC1,4326.353874,0.143313598,0.40985246,0.349671191,0.726585477,0.999485158
ENSCAFG00000000443,NA,24806.19809,-0.134291638,0.274172105,-0.489807811,0.624269903,0.999485158
ENSCAFG00000000444,FLOT1,2685.117975,-0.717617006,0.49373035,-1.453459377,0.146096251,0.995397391
ENSCAFG00000000445,SYNE1,2457.656966,-0.256815849,0.537003902,-0.47823833,0.632480584,0.999485158
ENSCAFG00000000446,PTPRB,523.2218714,1.966355607,1.501978268,1.309177136,0.190474355,0.999485158
ENSCAFG00000000447,IER3,5755.346302,1.52932076,0.608939139,2.511450919,0.0120236,0.630703447
ENSCAFG00000000448,DDR1,1284.048958,-0.510838016,1.235262697,-0.413546056,0.679206586,0.999485158
ENSCAFG00000000450,TSPAN8,55.48009646,4.173001435,1.974307176,2.113653582,0.034544866,0.783584575
ENSCAFG00000000451,LGR5,5.79860425,0.597988517,1.676515841,0.356685277,0.721327429,0.999485158
ENSCAFG00000000453,ZFC3H1,1373.407931,0.243358472,0.290637039,0.837327798,0.402408338,0.999485158
ENSCAFG00000000454,VARS2,4982.35546,-0.438053968,0.31464016,-1.392237939,0.163850358,0.999094281
ENSCAFG00000000458,RAB21,3762.466544,0.578952163,0.380818872,1.520282228,0.128440059,0.982746994
ENSCAFG00000000459,TBC1D15,1311.489022,0.405871984,0.472563264,0.858873329,0.390410405,0.999485158
ENSCAFG00000000460,LAPTM4B,19.80256115,0.28913937,2.891423447,0.099998971,NA,NA
ENSCAFG00000000462,TPH2,2.01971486,-0.393316777,1.11175257,-0.353780857,0.723503121,0.999485158
ENSCAFG00000000464,CNOT6,736.579382,0.206385106,0.464399936,0.444412434,0.656744425,0.999485158
ENSCAFG00000000469,POP1,775.2669435,0.102776291,0.361697699,0.284149695,0.776295664,0.999485158
ENSCAFG00000000470,NA,3.616410404,-0.696417441,1.107222637,-0.628976881,0.529364192,0.999485158
ENSCAFG00000000471,NA,0,NA,NA,NA,NA,NA
ENSCAFG00000000472,C12H6orf15,0.31796395,-1.002739245,3.112214015,-0.322194823,0.747305106,NA
ENSCAFG00000000473,TRHDE,25.32430838,3.801025776,2.323305522,1.636042157,NA,NA
ENSCAFG00000000474,CDSN,0.07662525,-0.558974256,3.11653965,-0.179357338,0.857657127,NA
ENSCAFG00000000478,CCHCR1,2205.919094,0.097223083,0.448709247,0.216672786,0.828463358,0.999485158
ENSCAFG00000000479,KCNC2,2.203765825,-0.568513791,1.993093898,-0.28524185,0.77545886,0.999485158
ENSCAFG00000000480,NIPAL2,102.6750207,-2.248813893,1.640341898,-1.370942177,0.170392982,0.999094281
ENSCAFG00000000481,CAPS2,29.9608566,4.077097371,2.13910755,1.905980544,0.05665273,0.876516019
ENSCAFG00000000482,FLT4,586.8040077,0.580556024,1.98834824,0.291979047,0.770302644,0.999485158
