,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000630,VWA7,100.7888699,-0.268959525,0.510398187,-0.52696019,0.598221234,0.990120137
ENSCAFG00000000632,NA,158.7466113,-0.339611449,0.239156764,-1.420036982,0.155596915,0.826730342
ENSCAFG00000000634,NA,19.00929307,0.221291353,0.28453244,0.777736814,0.436724185,0.972372806
ENSCAFG00000000636,VARS1,12456.77789,0.065949476,0.224623527,0.293600038,0.769063547,0.998639729
ENSCAFG00000000637,SLC12A2,2079.126313,-0.70007521,0.60703112,-1.153277298,0.248796585,0.896606303
ENSCAFG00000000638,KLF10,1965.007644,-0.427863287,0.247198327,-1.730850255,0.083478476,0.738543961
ENSCAFG00000000639,HSPA1L,52.6704314,-0.461628672,0.46881121,-0.984679253,0.324781647,0.934653259
ENSCAFG00000000641,NA,1444.302835,0.50524249,0.714166221,0.707457836,0.479282006,0.980666162
ENSCAFG00000000642,NEU1,1985.089219,-0.080152205,0.234362321,-0.342001242,0.732349957,0.998639729
ENSCAFG00000000643,AZIN1,5076.796037,-0.470665018,0.243767994,-1.930790873,0.053508919,0.661868404
