,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000300,PHYKPL,1181.036879,-1.147071313,0.226765932,-5.058393474,4.23E-07,0.000665352
ENSCAFG00000000303,MTFR2,739.5122947,-0.593735892,0.338884078,-1.752032421,0.079768233,0.714295412
ENSCAFG00000000305,BCLAF1,390.6055748,-0.506088843,0.295819483,-1.710802947,0.087117495,0.736184419
ENSCAFG00000000307,COL23A1,360.7158884,-0.259729763,0.271569196,-0.956403622,0.338868356,0.934470174
ENSCAFG00000000308,MAP7,2662.354343,-1.004370761,0.448667029,-2.238566012,0.025184168,0.519613016
ENSCAFG00000000309,CLK4,1212.968423,0.154885138,0.326731502,0.474044091,0.635468466,0.980396722
ENSCAFG00000000310,PIP4K2C,227.4758152,-0.307035768,0.472974531,-0.649159199,0.516235481,0.96391892
ENSCAFG00000000311,ARHGEF25,843.7864306,1.470991484,1.923253137,0.764845488,0.444363557,0.950196011
ENSCAFG00000000312,MAP3K5,1162.317659,-0.266397034,0.383834868,-0.694040735,0.487656663,0.958389246
ENSCAFG00000000314,SLC26A10,1576.410569,0.04025036,0.31851238,0.126369843,0.899439172,0.997657318
ENSCAFG00000000316,PEX7,122.5791611,-0.837502944,1.54036252,-0.543705091,0.586644429,0.973175156
ENSCAFG00000000317,B4GALNT1,13.08873066,-0.196363626,0.595100191,-0.329967339,0.741424641,0.990710791
ENSCAFG00000000318,SLC35D3,872.8006729,0.047774086,0.287741571,0.166031226,0.868132376,0.997151839
ENSCAFG00000000320,IL20RA,1322.608062,-0.115162543,0.396701116,-0.290300528,0.771586335,0.991783037
ENSCAFG00000000322,IL22RA2,1378.683211,-0.454656202,0.451034387,-1.008030019,0.313440051,0.924107983
ENSCAFG00000000323,OS9,1163.682301,-0.420528219,0.342016106,-1.229556769,0.218863127,0.89211484
ENSCAFG00000000326,IFNGR1,8440.678398,-0.191181916,0.724509537,-0.263877709,0.791874153,0.992166356
ENSCAFG00000000327,RPA3,356.5375653,-0.525680561,0.363537791,-1.446013522,0.148173409,0.839980439
ENSCAFG00000000329,OR1X2,26.99776222,-0.561996859,0.575244543,-0.976970343,0.328583835,0.930590354
ENSCAFG00000000330,NA,357.3703272,-0.319641315,0.19143451,-1.669716267,0.094975514,0.755910315
ENSCAFG00000000333,OLIG3,2385.059929,-0.220218905,0.372912385,-0.590537922,0.55483007,0.968189738
ENSCAFG00000000334,TNFAIP3,759.4118633,1.233206944,1.615528355,0.763345898,0.445257136,0.950196011
ENSCAFG00000000335,PROP1,508.8869926,-0.153881308,0.284683887,-0.540533956,0.58882885,0.973175156
ENSCAFG00000000336,NA,18420.67034,0.055725753,0.202551692,0.275118672,0.783225067,0.992090265
ENSCAFG00000000337,ARFGEF3,1516.670039,-1.127610116,0.655613509,-1.71993118,0.085444952,0.731654688
ENSCAFG00000000340,AGAP2,76.70897456,-0.452101719,0.32766084,-1.379785633,0.167652657,0.865498491
ENSCAFG00000000341,HEBP2,306.4962691,-0.488341065,0.427736568,-1.141686498,0.253584355,0.906227354
ENSCAFG00000000344,NHSL1,1073.467656,-0.918398704,0.388683907,-2.362842109,0.018135394,0.444379911
ENSCAFG00000000345,CCDC28A,801.441176,-0.345584397,0.880543139,-0.39246731,0.694712961,0.989462959
ENSCAFG00000000348,TSPAN31,29034.06397,0.068395204,0.363033879,0.188398956,0.850563918,0.995735852
ENSCAFG00000000350,REPS1,841.6833008,0.010192519,0.421527252,0.024179976,0.98070905,0.999203805
ENSCAFG00000000351,CDK4,40.30811036,-0.167192099,0.541654839,-0.308669076,0.757573269,0.991783037
ENSCAFG00000000352,ABRACL,9335.714997,-0.29248063,0.30000863,-0.974907388,0.329606201,0.931844744
ENSCAFG00000000353,HECA,1807.306789,-0.531540141,0.914219548,-0.581414105,0.560961393,0.968651153
ENSCAFG00000000355,TXLNB,6168.063772,0.049966194,0.339231028,0.147292523,0.882901134,0.997394565
ENSCAFG00000000356,CITED2,1441.283697,-0.242263402,0.305133484,-0.79395876,0.42721944,0.950196011
ENSCAFG00000000359,CYP27B1,2025.443213,-0.440401639,0.385403527,-1.142702671,0.25316206,0.905974631
ENSCAFG00000000360,NA,7488.892689,0.317507071,0.339972259,0.933920525,0.35034489,0.93980134
ENSCAFG00000000361,METTL1,361.1835813,2.616491238,1.264294536,2.069526653,0.038496693,0.59677166
ENSCAFG00000000365,NA,184.3074175,0.226656577,0.309075969,0.733336138,0.463353439,0.954746002
ENSCAFG00000000366,TSFM,1799.830439,-1.035483862,1.085871909,-0.953596694,0.34028783,0.934602648
ENSCAFG00000000370,NMBR,1263.367755,-0.195571749,0.388274096,-0.503695073,0.614475671,0.975964727
