,Hugo_Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSCAFG00000000441,SQSTM1,2489.872958,-0.417272675,0.54140287,-0.770724904,0.440870007,0.950196011
ENSCAFG00000000442,TBC1D30,3704.426865,-0.739148213,0.309822894,-2.385712053,0.017046092,0.434215468
ENSCAFG00000000443,WIF1,25986.81754,-0.244095608,0.305875664,-0.798022326,0.424857534,0.950196011
ENSCAFG00000000444,MRNIP,2340.940785,-1.258835654,0.454500535,-2.76971215,0.005610585,0.255731778
ENSCAFG00000000445,SASH1,2556.193777,-0.071529104,0.579347296,-0.123464983,0.901738902,0.99808689
ENSCAFG00000000446,ENPP3,586.9451637,-1.223039935,1.493063641,-0.819147893,0.41270204,0.948661464
ENSCAFG00000000447,NA,6036.962285,0.295276523,0.590087053,0.50039485,0.616797079,0.975964727
ENSCAFG00000000448,UST,1323.463325,1.155368623,1.166259213,0.990661948,0.321850678,0.928738618
ENSCAFG00000000453,TAB2,1368.492599,-0.340232103,0.285770666,-1.190577424,0.233819519,0.897530964
ENSCAFG00000000454,IRAK3,4633.762713,0.019800718,0.262306888,0.075486838,0.939827369,0.99808689
ENSCAFG00000000458,ZC3H12D,4206.736519,-0.282823334,0.396675123,-0.712984802,0.475855162,0.957887873
ENSCAFG00000000459,NA,1403.740884,-0.376953187,0.4265571,-0.883710965,0.37685226,0.945681686
ENSCAFG00000000464,NA,670.6471565,0.102864096,0.36817183,0.279391544,0.77994436,0.991783037
ENSCAFG00000000469,HELB,1024.565605,0.732578597,0.406903312,1.800375115,0.071801428,0.69557019
ENSCAFG00000000478,PPIL4,2227.553857,-0.325342775,0.425025214,-0.765467,0.44399351,0.950196011
ENSCAFG00000000480,MED23,222.7056171,2.346014161,1.655471234,1.417127712,0.156445592,0.851552236
ENSCAFG00000000482,TBC1D9B,913.0038061,1.137942524,1.828812786,0.622230188,0.533790519,0.965906411
ENSCAFG00000000483,GRIP1,713.6143611,0.001846895,0.344179443,0.005366083,0.995718506,0.999777966
ENSCAFG00000000484,KATNA1,565.315314,0.030057503,0.370107045,0.081212999,0.935272562,0.99808689
ENSCAFG00000000487,ARG1,4374.26213,-0.62277605,0.558184859,-1.115716486,0.264543512,0.909477431
ENSCAFG00000000491,LATS1,104.2051164,0.069479126,0.213774423,0.325011408,0.745172438,0.990788325
ENSCAFG00000000493,TRIM39,121.2045438,-0.463101142,0.67940737,-0.681625138,0.495476015,0.960318457
ENSCAFG00000000502,NUP43,50.39256742,-1.174705994,0.575865133,-2.039897757,0.04136051,0.615324482
ENSCAFG00000000506,RASGEF1C,10.10387439,-0.230960236,0.772235692,-0.299079981,0.76487902,0.991783037
ENSCAFG00000000507,PCMT1,2236.287116,0.050581171,0.409745412,0.123445363,0.901754438,0.99808689
ENSCAFG00000000509,RPP21,5751.492022,0.008821367,0.371266816,0.023760181,0.981043902,0.999203805
ENSCAFG00000000512,MAPK9,729.2875743,0.646417735,0.426713329,1.514875892,0.129803837,0.819580963
ENSCAFG00000000513,GNL1,11.98855199,-0.77247185,0.943555389,-0.818682039,0.412967847,0.948661464
ENSCAFG00000000519,CAND1,5.962767434,0.235156448,1.090410091,0.215658723,0.829253778,NA
ENSCAFG00000000522,LRP11,115.634068,2.208755426,2.065498112,1.069357271,0.284908713,0.91054886
ENSCAFG00000000525,NA,1579.985419,-0.569937147,0.803780958,-0.709070228,0.478280897,0.957887873
ENSCAFG00000000529,NA,123.9349545,0.757878699,0.504094811,1.503444755,0.132724393,0.821107086
ENSCAFG00000000530,PPP1R14C,2006.039141,-0.661568486,0.398170996,-1.661518525,0.096609351,0.76002906
ENSCAFG00000000532,IYD,103.2277994,0.426254633,0.326299197,1.306330622,0.191440148,0.878428172
ENSCAFG00000000533,PLEKHG1,16018.88368,-0.460214118,0.240521199,-1.913403558,0.055696409,0.665654141
ENSCAFG00000000534,PPP1R10,202.3686894,-0.868591083,0.764923689,-1.135526452,0.256154805,0.906261409
ENSCAFG00000000540,DYRK2,114.4638242,-0.284221085,0.300115276,-0.947039713,0.343618543,0.937241288
ENSCAFG00000000543,IFNG,1159.272193,0.020992563,0.318076333,0.065998506,0.947379015,0.99808689
ENSCAFG00000000544,IL26,12.30830832,-0.667477615,0.943626187,-0.707353848,0.47934661,0.957887873
ENSCAFG00000000547,IL22,901.9505874,0.028740531,0.175312501,0.163938857,0.869779278,0.997394565
ENSCAFG00000000549,MRPS18B,344.6661403,0.168169285,0.209191053,0.803902857,0.42145308,0.950196011
ENSCAFG00000000550,MDM1,120.9304521,1.076345798,0.683559713,1.574618542,0.11534452,0.790337899
ENSCAFG00000000554,MTHFD1L,403.9324469,0.468968446,0.243624817,1.924961715,0.054234148,0.663677872
ENSCAFG00000000555,ATAT1,2033.490749,0.066962889,0.449666704,0.148916716,0.881619351,0.997394565
ENSCAFG00000000557,RAP1B,936.8925208,0.144097613,0.443902166,0.324615701,0.745471943,0.990834855
ENSCAFG00000000562,C12H6orf136,488.2579817,-0.228028545,0.666219199,-0.342272552,0.73214579,0.990280556
ENSCAFG00000000563,NUP107,1001.631321,0.192032797,0.386355444,0.497036603,0.61916324,0.976165924
ENSCAFG00000000564,MDM2,553.264569,-0.051885513,0.210505731,-0.246480287,0.805310463,0.992653019
ENSCAFG00000000565,AKAP12,37.30796247,-0.317274879,0.528771756,-0.600022364,0.548491331,0.96602411
ENSCAFG00000000566,ZBTB2,2949.559866,-0.008552864,0.304229583,-0.028113188,0.977571876,0.999203805
ENSCAFG00000000567,RMND1,70817.58978,-0.194140815,0.343409689,-0.565332956,0.571847317,0.97018469
ENSCAFG00000000568,CPSF6,68.29833434,0.924875441,0.841090022,1.099615281,0.271499781,0.91047364
ENSCAFG00000000569,ARMT1,1253.158158,-0.337729701,0.771499703,-0.437757395,0.661562158,0.982358834
ENSCAFG00000000570,LYZ,1764.055664,-0.002042398,0.243994108,-0.008370687,0.993321236,0.999777966
ENSCAFG00000000572,DHX16,1390.336715,0.193457111,0.333732155,0.57967777,0.562131937,0.968788946
ENSCAFG00000000575,YEATS4,9969.569034,-0.37161321,0.289076444,-1.285518822,0.198611044,0.882827211
ENSCAFG00000000577,CCDC170,1026.169184,-1.046290216,1.012016434,-1.033866824,0.301198426,0.918834879
ENSCAFG00000000578,ESR1,75.210842,0.52887639,0.279991069,1.8889045,0.058904626,0.672269844
ENSCAFG00000000579,FRS2,383.2539487,-0.088298935,0.378480978,-0.23329821,0.815529848,0.993127888
ENSCAFG00000000580,CCT2,7228.244496,0.258356634,0.403205754,0.640756317,0.521681018,0.964683181
ENSCAFG00000000581,GFPT2,192.708539,-0.275808343,0.388052668,-0.710749768,0.477239314,0.957887873
ENSCAFG00000000582,LRRC10,889.593259,-0.09511611,0.434240632,-0.219040096,0.826618814,0.993127888
