cytokine,shapiro_raw,shapiro_resid_raw,shapiro_resid_log,use_log_original,use_log_residual,use_log
vegf,1.546175592004704e-8,8.654621827099407e-6,0.15081290950766502,TRUE,TRUE,TRUE
il.8,0.08100489880204671,0.06620334223695018,6.416463401993797e-4,FALSE,FALSE,FALSE
kc.like,0.0117723503883726,1.5109561045570233e-4,4.980349732688657e-5,TRUE,FALSE,FALSE
il.10,1.2764303656971636e-17,1.172211182221802e-16,4.2638639949734466e-4,TRUE,TRUE,TRUE
ccl2,7.160023305346165e-4,0.005046620035133977,0.047873599979001036,TRUE,TRUE,TRUE
tnf.a,2.5588483753980557e-16,3.5386209480089566e-15,0.2327074534618485,TRUE,TRUE,TRUE
tgf.b,9.891868294214238e-7,4.807107433813837e-8,0.008071225604346779,TRUE,TRUE,TRUE
