Cytokine,Estimate,SE,t,p-value,Adj. p-value,Resid Shapiro p,Transformation
ccl2,0.0030087177820073063,0.04018389759431826,0.07487371713869587,0.941,0.941,0.048,log-transformed (log1p)
il.10,0.13135221513373624,0.12674821406835757,1.0363239916177096,0.304,0.654,<0.001,log-transformed (log1p)
il.8,1388.8036620474904,1126.3461769215903,1.2330167141359871,0.222,0.654,0.066,raw
kc.like,9.130273083374918,21.016360684566173,0.43443644788985447,0.665,0.776,<0.001,raw
tgf.b,-0.052418924194797295,0.05990969889046708,-0.8749655759518142,0.385,0.654,0.008,log-transformed (log1p)
tnf.a,0.09445706093747333,0.12914949428391398,0.7313777065965507,0.467,0.654,0.233,log-transformed (log1p)
vegf,-0.09929699474377547,0.053699094366041845,-1.8491372324999351,0.069,0.480,0.151,log-transformed (log1p)
